year,voulaient_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,0.0
1803,1.1702034896643454e-08
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,1.729001475325731e-08
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,1.3554183553310395e-08
1810,1.8721014072298203e-08
1811,5.0141535368197765e-09
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,6.227493631882908e-09
1818,1.3113295338484932e-08
1819,1.3456364911235141e-08
1820,1.6613073583471305e-08
1821,1.676452932031225e-08
1822,0.0
1823,9.882686891060644e-10
1824,9.263223965660927e-09
1825,1.8491430608946757e-08
1826,1.6735169694470642e-08
1827,2.7651818612639545e-09
1828,8.255071293206129e-09
1829,1.2002446148073886e-08
1830,0.0
1831,0.0
1832,3.2471927369215337e-08
1833,0.0
1834,0.0
1835,1.5126175867408165e-09
1836,4.032449929525228e-09
1837,4.87052354003481e-09
1838,1.2624323808552163e-08
1839,3.4957374772659477e-09
1840,8.280594876453051e-09
1841,3.852329122366882e-09
1842,3.3541325272778977e-09
1843,1.7720733769266417e-09
1844,4.390849017710252e-09
1845,7.254296274794569e-09
1846,8.196302303531411e-09
1847,1.0786447290911383e-09
1848,3.218088684420195e-09
1849,9.217356655710773e-09
1850,6.788996032014438e-10
1851,2.579775504329973e-09
1852,1.3021090872200602e-09
1853,7.763511611358354e-09
1854,1.454786069388092e-08
1855,1.3798036491152743e-08
1856,8.801221973442352e-09
1857,2.2943092758964667e-08
1858,6.8511463169329545e-09
1859,1.5276520048956854e-09
1860,7.781213007262977e-09
1861,5.659156698811785e-09
1862,4.9697850279528666e-09
1863,3.496234635136375e-09
1864,4.794727948009836e-10
1865,8.943004559114343e-09
1866,2.919367858567057e-09
1867,5.82337378318698e-09
1868,6.915823469455518e-09
1869,3.906815315701806e-09
1870,8.027668307875047e-09
1871,2.1242353653860846e-08
1872,9.071008832961525e-09
1873,2.3944017879529156e-09
1874,1.4339061493728877e-08
1875,2.8607636259891933e-09
1876,3.02300739996042e-09
1877,8.658742167710898e-09
1878,4.22736201599605e-09
1879,1.0385853066452455e-08
1880,2.5671385017744797e-09
1881,4.183504653809678e-09
1882,6.655385131892899e-09
1883,8.21514056781325e-09
1884,4.621187876807653e-09
1885,9.023890079618013e-09
1886,3.872078213618124e-09
1887,2.6115698492645834e-09
1888,8.876860135842435e-09
1889,9.397704836544563e-09
1890,4.5880703680722945e-09
1891,8.286486163910922e-09
1892,5.641661360300532e-09
1893,1.2316833108982905e-09
1894,1.8904617871129403e-09
1895,1.9259566386153892e-08
1896,1.2973464080801023e-08
1897,7.574727511894253e-09
1898,5.092519295146758e-09
1899,3.8693048765026106e-09
1900,5.710158568206225e-09
1901,2.794369402536745e-09
1902,3.928227076954727e-09
1903,1.0800440541913758e-09
1904,1.1824175416563776e-08
1905,4.1286072338664326e-09
