year,pourraient_VERB établir_VERB,pourraient_VERB rétablir_VERB
1800,2.2009151834367913e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,8.951360541686881e-09,0.0
1803,2.3404069793286908e-08,7.801356893821776e-09
1804,2.9662210465630778e-08,0.0
1805,5.685755422035754e-09,5.685755422035754e-09
1806,1.729001475325731e-08,2.881669125542885e-09
1807,4.27043254092041e-08,0.0
1808,3.3991110370834576e-08,1.8128591960930862e-08
1809,2.25903047379461e-08,6.7770917766551975e-09
1810,3.978215445954447e-08,9.360507036149102e-09
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,2.400487453257938e-08,5.3344164641089264e-09
1813,4.026038169513413e-08,0.0
1814,6.293354282149721e-09,5.349351184236184e-08
1815,4.5852800667489646e-08,1.3486118000116676e-08
1816,2.5493642752394408e-08,0.0
1817,1.71256075987003e-08,1.556873407970727e-09
1818,1.7881765401739358e-08,2.384235475716423e-09
1819,4.5544620519422097e-08,9.315945348475907e-09
1820,2.3732962262101864e-08,7.119888678630559e-09
1821,2.1695274909916407e-08,1.97229765852569e-09
1822,2.8071724500478012e-08,3.0076847679083585e-09
1823,4.941343334508019e-09,2.3718449426723964e-08
1824,2.947389532437228e-08,1.1789557774477544e-08
1825,3.3460683113162304e-08,2.641632912414593e-09
1826,1.8496766784892316e-08,5.284790383086602e-09
1827,5.1616730445402936e-08,1.8434546111834038e-09
1828,7.246117661452445e-08,5.503380862137419e-09
1829,5.1439055681612444e-08,1.714635211591542e-09
1830,3.339787468803479e-08,1.7742621594152297e-08
1831,2.6505050598757407e-08,0.0
1832,5.682587200794842e-08,1.6235963684607668e-08
1833,2.6642345218874652e-08,5.791814139399776e-09
1834,3.453776287187793e-08,1.0267983796552471e-08
1835,6.958040899007756e-08,3.781543966852041e-09
1836,3.36037508930076e-08,7.392825018825988e-09
1837,3.1310509740478665e-08,1.1132625488130543e-08
1838,2.4617431648721322e-08,5.680945491803868e-09
1839,4.9639474752893875e-08,1.1885507689157748e-08
1840,2.293087852933695e-08,8.280594876453051e-09
1841,3.723918240439161e-08,4.494383976094696e-09
1842,6.238686722781495e-08,7.379091560011375e-09
1843,3.898561473647533e-08,1.7130041385371442e-08
