year,pouvant_VERB appeler_VERB,pouvant_VERB rappeler_VERB
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,5.851017448321727e-09
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,9.064295980465431e-09,0.0
1809,2.0331274441787173e-08,2.259030518203531e-09
1810,2.8081521108447305e-08,7.020380277111826e-09
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,2.1337665856435706e-08
1813,1.4378708002027452e-08,0.0
1814,0.0,1.5733386149463513e-08
1815,1.0788894222457657e-08,0.0
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,1.0729059418679299e-08,5.0068944545955674e-08
1819,9.315945348475907e-09,1.0351049795076506e-08
1820,2.1359666035891678e-08,4.746592452420373e-09
1821,3.94459531705138e-09,6.903041693817613e-09
1822,1.0025615893027862e-08,4.010246357211145e-09
1823,1.581229902569703e-08,3.9530747564242574e-09
1824,1.8526447931321854e-08,2.863178316658832e-08
1825,7.044354433105582e-09,1.7610886082763955e-09
1826,1.4973572604048968e-08,1.2331177856594877e-08
1827,4.608636583469661e-09,1.566936447261469e-08
1828,2.7516904310687096e-08,3.668920500743411e-09
1829,8.573175946935407e-09,8.57317605795771e-10
1830,3.1310507520032616e-09,0.0
1831,2.182768810143898e-08,7.795603274018958e-09
1832,1.7588959622116818e-08,0.0
1833,1.1583628278799551e-08,1.1583628500844156e-09
1834,2.0535967593104942e-08,2.8003592333902816e-08
1835,3.781543966852041e-09,1.663879345414898e-08
1836,2.9571300075303952e-08,1.008112526790228e-08
1837,7.653680356156656e-09,2.0873671680021744e-09
1838,6.943378316748294e-09,5.680945491803868e-09
1839,1.3283802502428443e-08,4.194885327990505e-09
1840,1.3376346252869098e-08,1.7835128929277744e-08
1841,1.926164561183441e-09,1.2841097074556274e-09
1842,2.683306021822318e-09,1.341653010911159e-09
1843,5.31621990873532e-09,2.3627644285539873e-09
1844,8.232841963717874e-09,6.037417232818143e-09
1845,1.1718478631905782e-08,0.0
1846,1.3465353276842507e-08,1.0538101946622191e-08
1847,2.0494249852731627e-08,1.0247124926365814e-08
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,6.703531951757213e-09,8.379414939696517e-10
1850,7.467895635215882e-09,8.82569484161877e-09
1851,9.029214709244116e-09,4.514607354622058e-09
1852,5.859490670445666e-09,9.114764054629632e-09
1853,1.7915795513800958e-09,1.970737528722566e-08
1854,7.79349651480743e-09,2.5978321716024766e-09
1855,1.6451505047143655e-08,4.2455496895854594e-09
1856,2.5885946719483854e-09,2.5885946719483854e-09
1857,1.0739319655783675e-08,6.345961978126979e-09
1858,1.0766087576996597e-08,9.787352261980686e-09
1859,1.1202780925145817e-08,1.3748867822016564e-08
1860,1.1442959468865865e-08,1.6935580049448618e-08
1861,6.6023493339173456e-09,9.431927239234028e-09
1862,6.325180823552046e-09,1.0391368654438793e-08
1863,1.1487627737949424e-08,1.4484400345793347e-08
1864,1.9178911792039344e-09,3.835782358407869e-09
1865,1.1296426905005319e-08,1.3179164426446732e-08
1866,1.0704348518686402e-08,4.865612801552288e-09
1867,1.6984840200962026e-08,5.82337378318698e-09
1868,5.433861360870651e-09,1.778354707937524e-08
1869,1.6115613732381462e-08,1.3673853160867111e-08
1870,8.601073631098188e-09,5.734048791339319e-09
1871,1.3807530230280918e-08,1.1683295220166201e-08
1872,4.23313739617015e-09,1.69325495846806e-08
1873,1.496501056408306e-08,2.095101514498765e-08
1874,1.0754296120296658e-08,5.377148060148329e-09
1875,7.437985338754061e-09,9.7265964171811e-09
1876,4.836811839936672e-09,1.5115036333668286e-08
1877,2.4739263970730008e-09,1.36065949618569e-08
1878,4.22736201599605e-09,2.294853729267743e-08
1879,2.1993571408529533e-08,1.4051448005147904e-08
1880,4.492492600149944e-09,1.0268554007097919e-08
1881,1.3945015142624584e-09,2.091752193678076e-08
1882,1.5307385581309063e-08,1.1314154946262533e-08
1883,1.3902545781263598e-08,1.0110942305630033e-08
1884,6.601696966868076e-09,2.3766109080725073e-08
1885,3.86738152613475e-09,1.933690718658454e-08
1886,1.1616235084943582e-08,2.5813855941692054e-08
1887,1.697520346510828e-08,2.415702127223085e-08
1888,8.876860135842435e-09,6.974675947901687e-09
1889,1.6915869593958632e-08,9.397704836544563e-09
1890,5.243509182406569e-09,6.554386366985909e-09
1891,1.211101796627645e-08,1.466070642663908e-08
1892,1.3163876211308434e-08,1.6924984080901595e-08
1893,8.005941687372342e-09,2.8328715373504565e-08
