year,grand_ADJ radeau_NOUN
1800,1.2576657937302116e-08
1801,1.904946067554647e-08
1802,0.0
1803,0.0
1804,0.0
1805,1.421438877713399e-08
1806,1.729001475325731e-08
1807,8.540865792383556e-09
1808,6.798221985349073e-09
1809,2.25903047379461e-08
1810,2.106114038724627e-08
1811,2.0056614147279106e-08
1812,2.400487453257938e-08
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,1.8540831092650478e-08
1817,1.401186100480345e-08
1818,8.344824387052086e-09
1819,8.280840013696888e-09
1820,3.322614716694261e-08
1821,4.930744257336528e-09
1822,2.0051231786055723e-08
1823,2.9648061783404955e-09
1824,2.863178316658832e-08
1825,3.522177216552791e-09
1826,3.6112734136395375e-08
1827,1.474763688946723e-08
1828,1.3758452155343548e-08
1829,1.0287811491593857e-08
1830,1.1480519646056564e-08
1831,1.5591206548037917e-08
1832,2.705993873419743e-09
1833,1.853380560135065e-08
1834,8.401078055442213e-09
1835,4.5378527602224494e-09
1836,2.2178475944656384e-08
1837,2.2961039292113128e-08
1838,5.680945491803868e-09
1839,1.0487212875887053e-08
1840,2.1019971874203236e-08
1841,2.247191988047348e-08
1842,2.6162233268678392e-08
1843,1.594865928211675e-08
1844,7.683985892015244e-09
1845,1.2834524554250493e-08
1846,1.2294452567118697e-08
1847,9.707802561820245e-09
1848,6.43617736884039e-09
1849,1.256912263158938e-08
1850,4.073397619208663e-08
1851,7.094382858952031e-09
1852,4.557382027314816e-09
1853,1.1943863675867306e-08
1854,8.832629738719788e-09
1855,9.552486801567284e-09
1856,5.177189343896771e-09
1857,4.393358121745905e-09
1858,6.8511463169329545e-09
1859,7.638259802433822e-09
1860,2.5174511364411956e-08
1861,2.169343282787395e-08
1862,7.680577063240435e-09
1863,1.3485475847119233e-08
1864,5.753673537611803e-09
1865,1.2708479601997169e-08
1866,1.4110277390955162e-08
1867,6.79393608038481e-09
1868,1.531360993567432e-08
1869,7.813630631403612e-09
1870,3.2110673231500186e-08
1871,1.4869648623516696e-08
1872,1.69325495846806e-08
1873,2.5141218884527916e-08
1874,1.0156835150709753e-08
1875,1.5448122780981066e-08
1876,1.269663130187837e-08
1877,1.1751150719163661e-08
1878,1.3285995414946683e-08
1879,3.665595160740054e-09
1880,8.343199908722454e-09
1881,1.2550514016940184e-08
1882,5.989846840748214e-09
1883,9.479008689083912e-09
1884,1.1883054540362536e-08
1885,1.9336907408629145e-08
1886,3.87207848007165e-08
1887,9.793386546164129e-09
1888,3.043495055976564e-08
1889,1.50363277384713e-08
1890,1.7041404731799048e-08
1891,9.561330394092238e-09
1892,1.5044429702015805e-08
1893,2.7097032395673182e-08
1894,6.9316934414587195e-09
1895,1.444467478961542e-08
1896,1.2973464080801023e-08
1897,1.107075575657035e-08
1898,1.0185038590293516e-08
1899,2.5426860617017155e-08
1900,8.824790231898305e-09
1901,7.824234593556412e-09
1902,4.419255628107521e-09
1903,5.940242298052567e-09
1904,5.912087708281888e-09
1905,7.741138396966107e-09
1906,1.800464533019408e-08
1907,7.71426478252124e-09
1908,7.367083831866239e-09
1909,1.1001966782053785e-08
1910,4.809735720812114e-09
1911,7.980560989828689e-09
1912,1.4586379215586476e-08
1913,7.954484182448596e-09
1914,4.687720711604726e-09
1915,1.0602685840410686e-08
1916,6.592477230782379e-09
1917,1.973956464951243e-08
1918,1.1486376294556067e-09
1919,1.1049418269237776e-08
1920,6.815008557481406e-09
1921,5.300923255902035e-09
1922,4.426761179843197e-09
1923,1.0615948120573648e-08
1924,1.2891624656674594e-08
1925,7.698724546756353e-09
1926,4.458455382660986e-09
1927,1.1149224654616319e-08
1928,1.5996457491951332e-08
1929,6.684243825105796e-09
1930,2.4158287814657342e-08
1931,6.843213995466613e-09
1932,1.9727165678773417e-08
1933,1.0323596200123575e-08
1934,2.875579241390369e-08
1935,3.590485242455088e-09
1936,2.424942913137329e-09
1937,7.554670666820584e-09
1938,3.8895642262559704e-09
1939,0.0
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,0.0
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,1.1136883415474585e-08
1947,4.7683483828109274e-09
1948,1.4133454406817236e-08
1949,4.908504269707237e-09
1950,1.4889506072535141e-08
1951,6.396841278899501e-09
1952,4.2179215675730575e-09
1953,5.386913581872932e-09
1954,5.863521668203475e-09
1955,1.2201290200408721e-08
1956,1.3081711713880395e-08
1957,9.718541527092839e-09
1958,9.099467623840951e-09
1959,9.300897829689347e-09
1960,4.152500121534786e-09
1961,1.250668635321972e-08
1962,1.458649934171774e-08
1963,9.052474769788432e-09
1964,4.867174663303331e-09
1965,1.4227313105408257e-08
1966,4.985167278981351e-09
1967,9.367637332502454e-09
1968,9.431972952667067e-09
1969,3.633406214786916e-09
1970,1.0117195081704722e-08
1971,4.624557625731995e-09
1972,6.156176013405457e-09
1973,8.269805285010534e-09
1974,5.06301445213353e-09
1975,5.997054230988397e-08
1976,3.9994687561772935e-09
1977,8.815172591880582e-09
1978,2.3762365408686037e-09
1979,1.1118749476679568e-08
1980,6.822181042309694e-09
1981,9.488324570483542e-09
1982,8.069752976958e-09
1983,1.1367568553133367e-08
1984,4.059305891424003e-09
1985,8.421781494405423e-09
1986,5.3950369172106605e-09
1987,4.277571907795874e-09
1988,3.358070088665954e-08
1989,4.939309850016116e-09
1990,1.0897301838674878e-08
1991,7.033758298025106e-09
1992,7.162927584403178e-09
1993,3.323524400133948e-09
1994,5.274926717646622e-09
1995,2.7112254663563817e-09
