year,fallait_VERB abattre_VERB,fallait_VERB rabattre_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,0.0
1803,5.070882025393075e-08,0.0
1804,7.4155526164076946e-09,7.4155526164076946e-09
1805,8.528632911009026e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,2.400487453257938e-08,0.0
1813,6.039057609541487e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.2676950689183286e-07,0.0
1816,1.3905623319487859e-08,0.0
1817,2.6466848268569265e-08,0.0
1818,3.457141417584353e-08,0.0
1819,2.5877625375869684e-08,0.0
1820,4.153268307049984e-08,0.0
1821,5.325203744632745e-08,9.86148829262845e-10
1822,3.408709403629473e-08,0.0
1823,4.644862983127496e-08,0.0
1824,2.863178316658832e-08,4.210556348027694e-09
1825,4.490776106536032e-08,6.163809906922779e-09
1826,2.4662355713189754e-08,1.7615968683770689e-09
1827,2.5808365222701468e-08,9.217273055917019e-10
1828,4.586150481600271e-08,9.172301251858528e-10
1829,4.2865881511033876e-08,0.0
1830,4.279102583382155e-08,3.1310507520032616e-09
1831,2.8064171431196883e-08,0.0
1832,1.6235963684607668e-08,4.058990921151917e-09
1833,2.6642345218874652e-08,0.0
1834,5.974099792638299e-08,0.0
1835,3.403389570166837e-08,7.563087933704082e-10
1836,4.166864897570122e-08,0.0
1837,5.148839221646995e-08,7.653680356156656e-09
1838,2.840472923537618e-08,3.1560809521380406e-09
1839,2.866504900111977e-08,6.9914751765765e-10
1840,4.0766007458614695e-08,0.0
1841,4.044945711711989e-08,2.5682194149112547e-09
1842,4.695785449371215e-08,3.3541325272778977e-09
1843,4.3120451209688326e-08,3.5441467538532834e-09
1844,4.006649589882727e-08,1.6465684371524958e-09
1845,3.682950477923441e-08,2.7901139176833567e-09
1846,4.27378594736183e-08,5.854501328173001e-10
1847,4.853901458545806e-08,0.0
1848,3.539897619475596e-08,5.63165514222419e-09
1849,1.9272654583346593e-08,3.3517659758786067e-09
1850,3.6660580349234806e-08,2.7155984128057753e-09
1851,2.902247508984601e-08,0.0
1852,3.385483537954315e-08,4.557382027314816e-09
1853,4.120633079196523e-08,5.971931837933653e-10
1854,2.4419623656513068e-08,5.195664343204953e-09
1855,2.600399184871094e-08,2.1227748447927297e-09
1856,3.520488789376941e-08,1.0354378465748937e-09
1857,2.8312753030945714e-08,7.810414537345878e-09
1858,4.306435030798639e-08,4.893676019968041e-10
1859,6.772590666059841e-08,3.055304009791371e-09
1860,3.249800428761773e-08,4.577183909670879e-10
1861,3.8670901147952463e-08,9.431927461278633e-10
1862,2.5300723294208183e-08,9.035972525772706e-10
1863,4.545104914654985e-08,1.9978483312144135e-09
1864,1.582260189536555e-08,4.794727948009836e-10
1865,2.7770381549885315e-08,1.4120533631256649e-09
1866,3.8924902412418305e-08,3.4059290943133647e-09
1867,3.785192959071537e-08,4.85281148598915e-09
1868,3.951899429921468e-08,9.87974813071446e-10
1869,2.490594752657671e-08,0.0
1870,3.2110673231500186e-08,2.8670243956696595e-09
1871,4.6733180880664804e-08,0.0
1872,3.688877114882416e-08,6.047339295989218e-10
1873,3.23244258026989e-08,0.0
1874,1.9716210886144836e-08,5.974609140757536e-10
1875,1.716458086775674e-08,1.1443054281912168e-09
1876,1.1487427897804992e-08,6.04601479992084e-10
1877,2.5976227391311113e-08,1.8554447978047506e-09
1878,3.925407554561389e-08,2.4156354694326865e-09
1879,1.588424503040642e-08,0.0
1880,3.529815373326528e-08,1.2835692508872398e-09
1881,4.9504802035471585e-08,0.0
1882,3.793569547383413e-08,5.324308105514319e-09
1883,2.1485751844352308e-08,0.0
1884,1.9805090900604227e-08,1.9805090900604227e-09
1885,2.127059772760731e-08,1.2891271383708158e-09
1886,1.8069698626277386e-08,0.0
1887,1.8933882017790893e-08,9.140494583448344e-09
1888,2.7264643875923866e-08,0.0
1889,1.8168895721260014e-08,2.5060546970934183e-09
1890,3.080561583601593e-08,0.0
1891,1.9760081571007504e-08,6.374220040683554e-10
1892,2.382034658410248e-08,6.268512375839919e-09
1893,1.7859408174558666e-08,0.0
1894,2.0164925729204697e-08,0.0
1895,2.046328972937772e-08,0.0
1896,2.7126333179694484e-08,0.0
1897,2.3889525024856084e-08,4.661370844871726e-09
1898,2.2633418694795182e-08,5.6583548957434e-10
1899,2.5426860617017155e-08,5.527578395003729e-10
1900,3.9971109089265155e-08,0.0
1901,2.235495522029396e-08,0.0
1902,1.5712908307818907e-08,9.820567692386817e-10
1903,3.2401320737562855e-08,4.320176216765503e-09
1904,3.815983973254333e-08,9.674325340824907e-09
1905,3.251278357652154e-08,0.0
1906,2.1091157265118454e-08,0.0
1907,2.1599941391059474e-08,5.142843373384665e-10
1908,3.290630701258124e-08,6.384805573134145e-09
1909,1.3752458727367411e-08,2.7504918342913243e-09
1910,2.7255168788542505e-08,5.34415089958884e-09
