year,aient_VERB empli_VERB,aient_VERB rempli_VERB
1800,0.0,4.087413785214267e-08
1801,0.0,4.0480102825313224e-08
1802,0.0,6.713520406265161e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,3.460591457837836e-08
1805,0.0,2.2743021688143017e-08
1806,0.0,5.76333825108577e-09
1807,0.0,2.8469550272802735e-08
1808,0.0,4.985362878073829e-08
1809,0.0,3.162642769893864e-08
1810,0.0,4.914266327205041e-08
1811,0.0,4.763445815569867e-08
1812,0.0,1.3336041604361526e-07
1813,0.0,2.5881675469463516e-08
1814,0.0,4.405347908686963e-08
1815,0.0,4.5852800667489646e-08
1816,0.0,9.733936678912869e-08
1817,0.0,1.71256075987003e-08
1818,1.1921177378582115e-09,4.172412104708201e-08
1819,0.0,2.173720581311045e-08
1820,0.0,3.441279616822612e-08
1821,0.0,2.1695274909916407e-08
1822,2.0051231786055723e-09,2.2056354964661296e-08
1823,0.0,5.929612001409623e-08
1824,0.0,3.2842340402794434e-08
1825,0.0,7.308517524506897e-08
1826,0.0,7.48678701256722e-08
1827,0.0,7.005127855563842e-08
1828,0.0,2.2013523448549677e-08
1829,0.0,7.544394975411706e-08
1830,0.0,5.114049628218709e-08
1831,0.0,2.0268567268999504e-08
1832,0.0,5.682587200794842e-08
1833,0.0,3.243415847009601e-08
1834,0.0,4.1071935186209885e-08
1835,0.0,3.857174846189082e-08
1836,0.0,3.629205025390547e-08
1837,6.957890930081589e-10,4.453050195252217e-08
1838,0.0,5.302215910774066e-08
1839,0.0,5.8029243632518046e-08
1840,0.0,4.8409635411417185e-08
1841,0.0,4.044945711711989e-08
1842,6.708265054555795e-10,5.2324466537356784e-08
1843,0.0,4.016699506337318e-08
1844,5.488561272137815e-10,6.037417676907353e-08
1845,0.0,4.910600637231255e-08
1846,0.0,4.976326195560432e-08
1847,0.0,3.182001862001016e-08
1848,2.413566457803995e-09,4.022610866627474e-08
1849,0.0,4.357295679824347e-08
1850,0.0,2.5119284430275002e-08
1851,1.2898877521649865e-09,4.321124080775007e-08
1852,0.0,3.190167419120371e-08
1853,5.971931837933653e-10,6.748282999069488e-08
1854,0.0,4.1565314745639625e-08
1855,0.0,2.7065379271107304e-08
1856,1.0354378465748937e-09,5.228961086345407e-08
1857,0.0,4.930324237761852e-08
1858,0.0,6.802209640000001e-08
1859,1.018434669930457e-09,8.860381939257422e-08
1860,0.0,3.4328881071132855e-08
1861,0.0,3.254015012998934e-08
1862,0.0,5.421583537668084e-08
1863,1.4983863039219614e-09,2.6970951694238465e-08
1864,0.0,2.4932585773740357e-08
1865,0.0,1.8827376990770972e-08
1866,0.0,3.600553455385125e-08
1867,9.7056229719783e-10,2.0867089389753346e-08
1868,0.0,4.9398739321304674e-08
1869,0.0,4.688178378842167e-08
1870,0.0,5.504686839685746e-08
1871,0.0,1.274541272522356e-08
1872,0.0,3.507456725060365e-08
1873,0.0,3.8909028887701425e-08
1874,0.0,3.1067965977626955e-08
1875,0.0,1.602027666081085e-08
1876,0.0,1.5115036333668286e-08
1877,0.0,4.5149157301693776e-08
1878,0.0,6.522216011717319e-08
1879,6.10932526790009e-10,2.3826368433788048e-08
1880,0.0,3.8507078414795615e-08
1881,0.0,2.649552932609822e-08
1882,0.0,1.5972924316542958e-08
1883,0.0,3.349249766415596e-08
1884,0.0,3.6969503014461225e-08
1885,0.0,3.545099502844096e-08
1886,1.2906927748801422e-09,1.8069698626277386e-08
1887,0.0,4.0479331886444925e-08
1888,0.0,4.56524276160053e-08
1889,0.0,4.009687515349469e-08
1890,0.0,3.47382496102e-08
1891,0.0,1.9760081571007504e-08
1892,0.0,3.761107336686109e-08
1893,0.0,3.263960834942736e-08
1894,1.2603078580752936e-09,2.457600345451283e-08
1895,3.0093072478365457e-09,2.768562623600701e-08
1896,0.0,3.833068973335685e-08
1897,0.0,3.3212266714599536e-08
1898,0.0,2.7160103499568322e-08
1899,0.0,2.819064981451902e-08
1900,0.0,3.2703635355346705e-08
1901,0.0,2.8502569193733507e-08
1902,4.910283846193408e-10,1.5712908307818907e-08
1903,5.400220270956879e-10,2.3220946943069976e-08
1904,0.0,1.6123875568041512e-08
1905,0.0,1.909480928929952e-08
1906,0.0,2.006231980544726e-08
1907,0.0,1.131425531042396e-08
1908,0.0,3.5361999550787004e-08
1909,0.0,1.2102163715610459e-08
1910,5.344150677544235e-10,2.5651923252212327e-08
1911,0.0,3.1390207766435196e-08
1912,0.0,2.9693701719679666e-08
1913,5.30298971401777e-10,1.856046338843953e-08
1914,2.0090231700464756e-09,2.209925398233281e-08
1915,0.0,4.123266705846618e-08
1916,0.0,1.2086208478478966e-08
1917,1.0966424435210342e-09,3.5092558192673096e-08
1918,0.0,2.986458014220261e-08
1919,0.0,2.762354434082681e-08
1920,0.0,3.33178178379967e-08
1921,7.572747762196741e-09,2.6504615391331754e-08
1922,0.0,3.541408943874558e-08
1923,0.0,2.653987074552333e-08
1924,0.0,1.804827398643738e-08
1925,0.0,7.698724324711748e-09
1926,0.0,1.671920735191179e-08
