year,pourrait_VERB entrer_VERB,pourrait_VERB rentrer_VERB
1800,7.860410988769218e-08,6.288328968651058e-09
1801,5.9529565277216534e-08,5.000483582762172e-08
1802,8.280008501060365e-08,4.475680270843441e-09
1803,5.265916058760922e-08,1.3652374342143503e-08
1804,5.6852570651244605e-08,2.4718509461507665e-09
1805,5.1171799242411e-08,3.980028751016107e-08
1806,9.797675204481493e-08,2.881669125542885e-09
1807,1.366538526781369e-07,1.4234775136401367e-08
1808,3.3991110370834576e-08,1.3596443970698147e-08
1809,9.487928309681593e-08,4.518061036407062e-09
1810,9.126494404654295e-08,3.042164919975221e-08
1811,1.6546707115594472e-07,0.0
1812,1.0935553973467904e-07,8.00162425207418e-09
1813,6.039057609541487e-08,8.627225156487839e-09
1814,9.125363931161701e-08,6.608021863030444e-08
1815,8.631115377966125e-08,2.6972236000233352e-08
1816,3.476405652236281e-08,2.0858434979231788e-08
1817,1.0119676829845048e-07,2.9580593974287694e-08
1818,5.48374146092101e-08,1.3113295338484932e-08
1819,1.449146935783574e-07,3.001804671498576e-08
1820,1.18664814863223e-07,1.1866481131050932e-08
1821,1.1340711836282935e-07,6.01550809165019e-08
1822,1.884815787889238e-07,4.0102463572111446e-08
1823,1.2946320282480883e-07,5.336650943377208e-08
1824,1.440010208852982e-07,4.5474010335055937e-08
1825,1.3560382683408534e-07,6.692136622632461e-08
1826,1.4797413427913853e-07,3.170874407487645e-08
1827,1.6867609531345806e-07,1.7512819638909605e-08
1828,1.0731592681167967e-07,3.118582370120748e-08
1829,1.3288422451296356e-07,5.572564276690173e-08
1830,1.5446516954398248e-07,2.5048406016026092e-08
1831,2.3386809289149824e-07,1.5591206103948707e-09
1832,2.2730348803179368e-07,6.3590853471851e-08
1833,1.1467792404573629e-07,4.865124125785769e-08
1834,1.4841904771856207e-07,6.72086244435377e-08
1835,1.4596759001506143e-07,5.52105419160398e-08
1836,1.6936290592184378e-07,5.779845224651581e-08
1837,1.050641529332097e-07,7.584100814028716e-08
1838,1.4581094376353576e-07,2.7142295522253335e-08
1839,1.6849455164447136e-07,6.781731087812659e-08
1840,1.4586586871701002e-07,5.095751021144679e-08
1841,1.7720714140523341e-07,4.3017674755674307e-08
1842,1.9655216476621717e-07,5.702025163145663e-08
1843,1.2404512972352677e-07,4.016699506337318e-08
1844,1.5367972139301855e-07,4.006649589882727e-08
1845,1.9140182416776952e-07,3.459741293454499e-08
1846,1.3523897735012724e-07,4.9177810268474786e-08
1847,1.4615636700909818e-07,5.986478157637976e-08
1848,2.0515315668490075e-07,2.091757700384278e-08
1849,1.4161211936425389e-07,4.8600607982507427e-08
1850,1.7855059297744447e-07,4.955967014552698e-08
1851,1.6768541399869719e-07,4.385618268543112e-08
1852,1.6732101926208998e-07,5.7943854159248076e-08
1853,1.3317408331658953e-07,5.6136158832487126e-08
1854,1.527525341771252e-07,3.013485283531736e-08
1855,1.432873091289366e-07,4.404757802944914e-08
1856,1.361600823202025e-07,3.31340110903966e-08
1857,1.698765146329606e-07,3.221796163188628e-08
1858,1.3995914116549102e-07,5.334106845111819e-08
1859,1.6956937543000095e-07,6.619825398956891e-08
1860,1.7622157599817e-07,5.080674014834585e-08
1861,1.980704809056988e-07,6.838147470489275e-08
1862,1.8388203670838266e-07,4.111367601922211e-08
1863,1.3435530377137184e-07,5.993545215687845e-08
1864,1.5870548963903275e-07,5.2262535632507934e-08
1865,1.7415324293779122e-07,4.000817810378976e-08
1866,1.4694151673211309e-07,4.865612979187972e-08
1867,1.358787216076962e-07,4.173417877950669e-08
1868,1.8771521581584238e-07,6.372437866275504e-08
1869,1.4015699889569078e-07,5.030024752272766e-08
1870,1.387639798622331e-07,5.734048613703635e-08
1871,1.5825554555704002e-07,6.585129597169725e-08
1872,1.614639586478006e-07,5.32165849165267e-08
1873,1.8796053780079092e-07,5.6268440573603584e-08
1874,1.7983573741275904e-07,6.811054475974743e-08
1875,1.2873435650817555e-07,6.064819046969205e-08
1876,1.2152489148320456e-07,4.5949711591219966e-08
1877,1.5214646964523126e-07,5.3807898581226254e-08
1878,1.4735375941654638e-07,2.6571990829893366e-08
1879,1.5273313636043895e-07,3.726688291294522e-08
1880,1.5210295600809332e-07,3.5939940801199555e-08
1881,1.478171611779544e-07,3.5559789779426865e-08
1882,1.397630882138401e-07,3.660461800336634e-08
1883,1.5735153624518716e-07,5.624211496524367e-08
1884,1.7362462756409514e-07,4.4891539374702916e-08
1885,1.2697901752289908e-07,4.5119449509911647e-08
1886,1.3810412724524213e-07,2.774989482645651e-08
1887,1.351487384226857e-07,5.092561039532484e-08
1888,1.2300792207042832e-07,3.867775077992519e-08
1889,1.321943869925235e-07,6.01453109538852e-08
1890,1.389529984408e-07,5.177965434199905e-08
1891,1.306715091686783e-07,7.075384189647593e-08
1892,1.3728042347338487e-07,5.140180192597654e-08
1893,1.0099802949525838e-07,4.187723234849727e-08
1894,1.386338652764607e-07,5.608369946230596e-08
1895,1.4143743953809462e-07,4.393588426410133e-08
1896,1.3916988450546341e-07,6.781583294923621e-08
1897,1.6664401414345775e-07,4.8944393427063915e-08
1898,1.7654066652994516e-07,4.187182511827814e-08
1899,1.0778777692621588e-07,4.2562355417885556e-08
1900,1.3600559611859353e-07,5.502516486899367e-08
1901,1.369241005022559e-07,5.588739071527016e-08
1902,1.3159561262909847e-07,5.695929417015577e-08
1903,1.3176537549952627e-07,4.590187074882124e-08
1904,1.4511488188873045e-07,4.460938995975994e-08
1905,1.3727618863867974e-07,3.715746643706552e-08
1906,1.1368647534482079e-07,4.3211148437194424e-08
1907,1.0337114986214146e-07,3.445705232252294e-08
1908,1.360454717769244e-07,4.125566732682273e-08
1909,1.2377212499359302e-07,4.015717891547865e-08
1910,1.5498036987082742e-07,2.8323999146095957e-08
1911,1.330093510887309e-07,4.788336838146279e-08
1912,1.3023553435687063e-07,5.261515312326992e-08
1913,1.357565366788549e-07,3.1287640922528226e-08
1914,1.3058649983577197e-07,2.8795998474606677e-08
1915,1.1191723814363286e-07,4.358881966481931e-08
1916,1.274545553542339e-07,4.504859418830165e-08
1917,1.261138748986923e-07,5.702540661900457e-08
1918,1.1830967849846274e-07,3.2161853624756986e-08
1919,1.3351380800941115e-07,2.762354434082681e-08
1920,1.1282624967634547e-07,4.921950491620919e-08
1921,1.2949398353612196e-07,2.499006690470651e-08
1922,1.150957942286368e-07,3.8365264742878935e-08
1923,1.210218130154317e-07,3.503262746562541e-08
1924,1.1731378180002139e-07,3.867487308184536e-08
1925,1.4737558728938893e-07,4.5092530598367375e-08
1926,1.4824364313881233e-07,5.795991953050361e-08
1927,1.3490561912021803e-07,5.351628118432927e-08
1928,1.3825510336573643e-07,4.227635130860108e-08
1929,1.0583386256257654e-07,6.015819309368453e-08
1930,1.4494972333523037e-07,3.7812974085227324e-08
1931,1.437074956811557e-07,5.2464642408267537e-08
1932,1.6877686448424356e-07,5.4797684612140074e-08
1933,1.4108914569987974e-07,3.555905436769535e-08
1934,1.1142869738023364e-07,4.193552882725271e-08
1935,1.2566698615046334e-07,5.146362269670135e-08
1936,1.1882220007919386e-07,3.15242587589637e-08
1937,1.0072894696122603e-07,5.288269733227935e-08
1938,1.685477855062345e-07,5.186085871855539e-08
1939,1.3611705185212486e-07,1.988226472349197e-08
1940,9.889553354014424e-08,3.550096039361961e-08
1941,1.0625409174735978e-07,1.7709016475464523e-08
1942,1.3350532412914617e-07,5.461581054078124e-08
1943,1.0161323160673419e-07,4.064529335323641e-08
1944,8.996921252446555e-08,6.105053529381621e-08
1945,1.7428033061150927e-07,5.664110602765504e-08
1946,1.1415305323225766e-07,4.454753366189834e-08
1947,1.454346261198225e-07,3.695469885656166e-08
1948,1.793861486021342e-07,6.52313261184645e-08
1949,1.6001723679437418e-07,4.0249734212238764e-08
1950,1.414503145724666e-07,4.4668517773516214e-08
1951,1.162092786444191e-07,4.051332780363737e-08
1952,1.1388388543309702e-07,4.112473561690422e-08
1953,1.4436928097438795e-07,4.740483916521043e-08
1954,1.4756530219983688e-07,3.615838295445428e-08
1955,1.5767821537338023e-07,2.9095383879962355e-08
1956,1.3256135389383417e-07,3.1396108823855684e-08
1957,1.369430862041554e-07,2.47381048978923e-08
1958,1.2987422337573662e-07,3.887954491688106e-08
1959,1.2711225849670882e-07,3.1778064624177205e-08
1960,1.4949000615160912e-07,3.391208380776334e-08
1961,1.3548910260396951e-07,3.057190056665604e-08
1962,1.6679345549164282e-07,4.058852098864918e-08
1963,1.5518527618496591e-07,2.392439668597035e-08
1964,1.2715493369341857e-07,2.4335873760605864e-08
1965,1.3461226444633212e-07,3.3926667697414814e-08
1966,1.4567766015716188e-07,4.154306054715562e-08
1967,1.3952849542420154e-07,3.5498416650625586e-08
1968,1.5180985712959227e-07,3.188905139950293e-08
1969,1.8167031612392748e-07,2.4071315607443466e-08
1970,1.6003562564037566e-07,3.081145649730388e-08
1971,1.27946094607978e-07,2.980270608077262e-08
1972,1.4056602992695844e-07,2.8728821988011077e-08
1973,1.4279197557698353e-07,2.4809416743210022e-08
1974,1.5076531667546078e-07,2.81278591529599e-08
1975,1.4507159562526795e-07,2.056132863970106e-08
1976,1.5940740638598072e-07,2.1140049710766107e-08
1977,1.2517544689671922e-07,1.9981058585472056e-08
1978,1.3603954585050815e-07,2.257424647211792e-08
1979,1.4864012598536647e-07,2.2822696621460636e-08
1980,1.3530659259686217e-07,2.2740602290127754e-08
1981,1.271435507987917e-07,2.340453342242199e-08
1982,1.2849530151015642e-07,1.8622506203769262e-08
1983,1.338846971066232e-07,2.9681984869966982e-08
1984,1.3859630598744843e-07,2.3196033538397387e-08
1985,1.1489716200685507e-07,3.0679345286444004e-08
1986,1.228869450642378e-07,2.517683839187157e-08
1987,1.2221633483022742e-07,1.8943532964499354e-08
1988,1.1453418125029202e-07,2.1587593934668803e-08
1989,1.273244407684615e-07,2.250130037850795e-08
1990,1.1769085972446192e-07,2.397406362319998e-08
1991,1.0785095838627967e-07,1.992898113201136e-08
1992,1.2011678052203933e-07,3.636563050690711e-08
1993,1.1576943848012888e-07,3.268132431344384e-08
1994,1.3029068668402033e-07,2.7429617688312646e-08
1995,1.2525860881851258e-07,2.6570008415660595e-08
1996,1.11566123450757e-07,2.7758080278772468e-08
1997,1.2274929872546636e-07,2.972834600711849e-08
1998,1.263554310071413e-07,2.6224711291433778e-08
1999,1.2705159235792962e-07,2.2851006420410158e-08
