year,auront_VERB envoyé_VERB,auront_VERB renvoyé_VERB
1800,0.0,3.144164484325529e-09
1801,2.1430643926123594e-08,0.0
1802,3.3567602031325805e-08,4.475680270843441e-09
1803,1.1702034896643454e-08,0.0
1804,1.4831105232815389e-08,9.887403784603066e-09
1805,1.9900143755080535e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,1.7081731584767113e-08,2.8469551160981155e-09
1808,6.798221985349073e-09,9.064295980465431e-09
1809,5.6475762733043666e-08,0.0
1810,7.020380365929668e-08,7.020380277111826e-09
1811,4.512738271955641e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.1577788444915313e-08,0.0
1816,3.244645441213834e-08,0.0
1817,4.0478710161551135e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,3.1053151161586356e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,8.480879643002481e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,3.755420863171821e-08,0.0
1824,4.884245186076441e-08,8.421112696055388e-10
1825,1.6730341556581152e-08,1.7610886082763955e-09
1826,5.989429041619587e-08,1.2331177856594877e-08
1827,5.8068820862899884e-08,0.0
1828,5.319934714975716e-08,4.586150570418113e-09
1829,2.914879893012312e-08,2.2290258527846163e-08
1830,4.174734158368665e-08,0.0
1831,5.3010101197514814e-08,0.0
1832,4.329590197471589e-08,1.3529969367098715e-09
1833,2.548398292390175e-08,1.1583628500844156e-09
1834,5.600718555598405e-09,9.334530925997342e-10
1835,3.025235173481633e-08,0.0
1836,5.040562456315456e-08,0.0
1837,6.54041727443655e-08,0.0
1838,3.850418650586107e-08,5.680945491803868e-09
1839,2.307186797168015e-08,5.5931801412612e-09
1840,3.567025785855549e-08,1.2739377330817092e-09
1841,3.467096121312352e-08,0.0
1842,3.3541326160957396e-08,0.0
1843,2.4809025944705354e-08,1.7720733769266417e-09
1844,1.920996517412732e-08,1.6465684371524958e-09
1845,2.17628883802945e-08,0.0
1846,1.5221703009160592e-08,0.0
1847,3.020205241455187e-08,0.0
1848,2.172209789819135e-08,8.045221711050488e-10
1849,2.4300303991253713e-08,4.1897072478036534e-09
1850,3.869727649430388e-08,6.788996032014438e-10
1851,3.353708066811123e-08,4.514607354622058e-09
1852,2.408901877970493e-08,6.510545436100301e-10
1853,2.269334054005867e-08,1.7915795513800958e-09
1854,3.16935526711859e-08,1.558699391779328e-09
1855,1.6451505047143655e-08,5.306937111981824e-10
1856,1.1389816201301528e-08,1.0354378465748937e-09
1857,2.3431244500216053e-08,4.881509085841174e-10
1858,3.474509924217273e-08,0.0
1859,2.189634606963864e-08,1.5276520048956854e-09
1860,1.327383358784573e-08,0.0
1861,4.385846352761291e-08,0.0
1862,1.3102160245637151e-08,0.0
1863,3.1965573299430616e-08,0.0
1864,2.445311331200628e-08,0.0
1865,2.165148416111151e-08,4.706844358715045e-10
1866,4.184427027098536e-08,1.4596839292835284e-09
1867,2.9602150064533816e-08,2.426405742994575e-09
1868,4.989272639477349e-08,0.0
1869,3.4672986259920435e-08,4.883519366671862e-09
1870,3.268407766654491e-08,1.7202146374017957e-09
1871,3.611200227737754e-08,0.0
1872,4.4145576083565174e-08,6.047339295989218e-10
1873,1.496501056408306e-08,0.0
1874,3.1665429389704514e-08,0.0
1875,3.1468399441791917e-08,5.149374260327022e-09
1876,3.506688628363008e-08,1.209202959984168e-09
1877,1.36065949618569e-08,0.0
1878,3.140326043649111e-08,4.831270938865373e-09
1879,2.016077260691418e-08,1.8327975581655664e-08
1880,2.888030792291829e-08,6.417846254436199e-10
1881,2.9284532132578533e-08,6.972507571312292e-10
1882,1.4641846846075168e-08,2.6621540527571597e-09
1883,1.64302811356265e-08,6.319338941018771e-10
1884,1.1883054540362536e-08,3.300848483434038e-09
1885,3.287274097374393e-08,8.379326565943757e-09
1886,1.677900662855336e-08,0.0
1887,3.525619263200497e-08,1.9586774424595887e-09
1888,3.4873380627686856e-08,1.9021844099853524e-09
1889,3.696430539434914e-08,6.265136742733546e-10
1890,1.9007721618891082e-08,2.6217545912032847e-09
1891,1.211101796627645e-08,0.0
1892,1.817868522380195e-08,1.8805537127519756e-09
1893,3.263960834942736e-08,1.847525021858587e-09
1894,2.898708117982096e-08,0.0
1895,2.6481902892783182e-08,1.8055843487019274e-09
1896,3.951009475144929e-08,4.1279202278587945e-09
1897,2.0393496669157685e-08,1.7480140668268973e-09
1898,6.7900258748920805e-09,5.6583548957434e-10
1899,3.758753308602536e-08,4.9748205555033564e-09
1900,5.4506056557102056e-08,0.0
1901,2.738482152153665e-08,2.235495566438317e-09
1902,2.455141867585553e-08,1.9641135384773634e-09
1903,1.6200660368781428e-08,1.0800440541913758e-09
