year,pouvant_VERB ouvrir_VERB,pouvant_VERB rouvrir_VERB
1800,2.829747991484055e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,8.951360541686881e-09,6.713520406265161e-09
1803,1.1702034896643454e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,3.695740957709859e-08,0.0
1806,0.0,0.0
1807,3.701041606518629e-08,0.0
1808,9.064295980465431e-09,0.0
1809,1.129515236897305e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,9.536941902865692e-09,0.0
1819,1.035105001712111e-09,1.035105001712111e-09
1820,1.542642635854463e-08,0.0
1821,8.875339574387908e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,2.174191138237802e-08,8.894418535021487e-09
1824,1.1789557774477544e-08,0.0
1825,4.4027217427355936e-09,8.805443485471187e-09
1826,9.688783109140786e-09,0.0
1827,8.295545583791863e-09,0.0
1828,1.7427371545863934e-08,0.0
1829,1.457439946506156e-08,1.714635211591542e-09
1830,1.6698937344017395e-08,0.0
1831,4.677361609140007e-09,0.0
1832,1.8941957335982806e-08,1.352996914505411e-08
1833,1.1583628278799551e-08,1.1583628500844156e-09
1834,1.7735608537350345e-08,0.0
1835,1.285724948729694e-08,0.0
1836,2.2178475944656384e-08,0.0
1837,1.87863058442872e-08,0.0
1838,2.2723781967215473e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,1.6561189752906103e-08,0.0
1841,8.346713542550788e-09,0.0
1842,1.6770663080478698e-08,0.0
1843,1.3585895075607368e-08,0.0
1844,1.5916826967554698e-08,2.7442805805577564e-09
1845,1.5066614622583074e-08,0.0
1846,1.4050803187615202e-08,0.0
1847,9.707802561820245e-09,0.0
1848,2.011305433313737e-08,0.0
1849,6.703531951757213e-09,0.0
1850,3.4623880651452055e-08,0.0
1851,3.1602251482354404e-08,0.0
1852,1.5625309046640723e-08,6.510545436100301e-10
1853,1.1943863675867306e-08,0.0
1854,3.3252252507054436e-08,1.0391328908454511e-09
1855,2.0697054736729115e-08,0.0
1856,3.6240324075009767e-09,0.0
1857,1.0739319655783675e-08,4.881509085841174e-10
1858,1.663849857891364e-08,0.0
1859,2.189634606963864e-08,0.0
1860,9.612086238064421e-09,0.0
1861,1.650587222457034e-08,0.0
1862,1.1746764450037972e-08,0.0
1863,1.748117206545885e-08,0.0
1864,2.1576274988888144e-08,0.0
1865,2.871175119878444e-08,0.0
1866,6.811858188626729e-09,0.0
1867,7.76449837758264e-09,0.0
1868,2.6181332657415624e-08,0.0
1869,1.8069020057964735e-08,0.0
1870,2.2362790730312554e-08,8.027668307875047e-09
1871,2.3366590440332402e-08,0.0
1872,1.4513614310374123e-08,0.0
1873,1.2570609442263958e-08,0.0
1874,2.3300975371398636e-08,3.5847653734322193e-09
1875,1.8881038954532414e-08,0.0
1876,2.539326260375674e-08,1.813804439976252e-09
1877,2.4739264858908427e-08,0.0
1878,2.6571990829893366e-08,0.0
1879,3.421222061206208e-08,0.0
1880,2.3104245627791897e-08,0.0
1881,1.045876096839038e-08,0.0
1882,1.6638463051776853e-08,2.6621540527571597e-09
1883,1.8958017378167824e-08,1.8958017378167824e-09
1884,9.902545450302114e-09,1.9805090900604227e-09
1885,2.3848851782304337e-08,6.445635691854079e-10
1886,2.710454793941608e-08,0.0
1887,2.285123557044244e-08,0.0
1888,2.1558090423923204e-08,1.268122939990235e-09
1889,2.0674951528576457e-08,0.0
1890,1.7696843102044113e-08,0.0
1891,1.9760081571007504e-08,0.0
1892,2.6954603882245465e-08,0.0
1893,1.23168328869383e-08,0.0
1894,6.301539290376468e-09,0.0
1895,2.347259631108045e-08,0.0
1896,1.2973464080801023e-08,5.89702897624278e-10
1897,1.1070755867592652e-08,5.826713556089658e-10
1898,2.8857609635224435e-08,0.0
1899,1.9346524382513053e-08,0.0
1900,1.038210584169974e-08,0.0
1901,2.0678333711998675e-08,1.676621730339889e-09
1902,2.9461702411026636e-08,0.0
1903,2.1600881083827517e-08,0.0
1904,3.33226779503093e-08,0.0
1905,1.5998352864698973e-08,1.0321518084666081e-09
1906,2.41776678677752e-08,0.0
1907,3.034277540336916e-08,5.142843373384665e-10
1908,2.553922229253658e-08,0.0
1909,2.3654228797909127e-08,0.0
1910,4.275320542035388e-09,0.0
1911,3.032613093978398e-08,5.320374141248863e-10
1912,1.4586379215586476e-08,0.0
1913,1.484837142129436e-08,0.0
1914,1.0714789944188396e-08,0.0
1915,2.3561523843085297e-09,1.1780761921542648e-09
1916,1.3184954461564757e-08,0.0
1917,1.0966424213165737e-08,0.0
1918,1.4932290071101306e-08,1.1486376294556067e-09
1919,5.524709134618888e-09,2.762354567309444e-09
1920,1.3630017114962811e-08,0.0
1921,1.060184651180407e-08,0.0
1922,2.951174238319254e-08,0.0
1923,6.369568872344189e-09,0.0
1924,1.933743654092268e-08,1.289162443462999e-09
1925,2.969508017258704e-08,0.0
1926,2.452150482668003e-08,1.1146138456652466e-09
1927,1.1149224654616319e-08,0.0
1928,1.1426041446327417e-08,0.0
1929,2.0052731031228177e-08,1.1140406375176326e-09
1930,2.520864939015155e-08,0.0
