year,pouvait_VERB amener_VERB,pouvait_VERB ramener_VERB
1800,1.1633408547595536e-07,2.5153315874604232e-08
1801,1.4287095950749062e-07,3.5717739876872656e-08
1802,7.832440473976021e-08,6.713520406265161e-09
1803,2.7304748684287006e-08,3.705644502360883e-08
1804,9.640218934237055e-08,1.730295728918918e-08
1805,5.685755510853596e-08,4.5486043376286034e-08
1806,7.204172902675055e-08,1.729001475325731e-08
1807,1.679703558465917e-07,3.4163463169534225e-08
1808,9.970725756147658e-08,2.039466551195801e-08
1809,1.1069249694628525e-07,7.90660692473466e-08
1810,7.020380365929668e-08,9.360507036149102e-09
1811,2.2312983105621242e-07,1.7549536934780008e-08
1812,2.3471432086807908e-07,5.867858021701977e-08
1813,1.6104152678053651e-07,4.888760685162197e-08
1814,7.237357380063258e-08,6.293354282149721e-09
1815,1.0788894400093341e-07,1.4295284245235962e-07
1816,9.965696534663948e-08,2.0858434979231788e-08
1817,1.4323235575375293e-07,3.580808893843823e-08
1818,2.455762455610966e-07,5.0068944545955674e-08
1819,1.6975721450762649e-07,8.9019032145643e-08
1820,3.298881665614317e-07,6.645229433388522e-08
1821,2.7710783001566597e-07,9.368413600441272e-08
1822,2.095353721642823e-07,5.213320264374488e-08
1823,3.221755946469784e-07,6.226093063332883e-08
1824,2.593702674857923e-07,2.3579115548955087e-08
1825,3.213986587979889e-07,3.522177394188475e-08
1826,2.7833229410134663e-07,3.52319382557198e-08
1827,3.1799592647985264e-07,4.3321183085254233e-08
1828,3.136927091418329e-07,8.6219628769868e-08
1829,3.000611741299508e-07,5.1439055681612444e-08
1830,3.162361394970503e-07,3.965997663613052e-08
1831,4.6461795477625856e-07,5.14509785887185e-08
1832,3.138952990866528e-07,1.352997003323253e-07
1833,3.6604265574169403e-07,5.560141858040879e-08
1834,2.8283628239478276e-07,5.414027981487379e-08
1835,3.373137360540568e-07,4.689114518896531e-08
1836,3.19235624601788e-07,6.317505096831155e-08
1837,2.6439985845172487e-07,7.584100814028716e-08
1838,3.0298377851067926e-07,6.690891751759409e-08
1839,3.3838739454949973e-07,4.47454411300896e-08
1840,3.9937947349244496e-07,5.223144583510475e-08
1841,3.698235957472207e-07,3.5955071808757566e-08
1842,4.2127905430788815e-07,9.659901678560345e-08
1843,3.5264258713141317e-07,7.383638944702398e-08
1844,3.9517641425845795e-07,7.135129465041246e-08
1845,4.1963315311477345e-07,1.1606874039671311e-07
1846,4.6718920998500835e-07,7.493761700061441e-08
1847,3.3222258366549795e-07,8.413428531639511e-08
1848,3.676666437968379e-07,3.539897619475596e-08
1849,3.5277335541650245e-07,1.516674075219271e-07
1850,3.781470923058805e-07,5.0238568860550004e-08
1851,3.5923375207858044e-07,7.28786559989203e-08
1852,3.1706355230198824e-07,4.296959943417278e-08
1853,3.3263660270677065e-07,5.6733352238325097e-08
1854,3.049854910841532e-07,7.06610379097583e-08
1855,3.0992512733973854e-07,5.837630823180007e-08
1856,4.0071444118439103e-07,5.487820686767009e-08
1857,4.007719098808593e-07,5.369659916709679e-08
1858,3.919834625776275e-07,5.236233491245912e-08
1859,4.343623913882766e-07,6.772590666059841e-08
1860,4.2522037801973056e-07,5.2637613379147297e-08
1861,3.9944211494002957e-07,9.47908702642053e-08
1862,3.469813520950993e-07,7.138418567365079e-08
1863,3.471261607046472e-07,7.04241571725106e-08
1864,3.926882072846638e-07,5.753673448793961e-08
