year,pourrait_VERB appeler_VERB,pourrait_VERB rappeler_VERB
1800,5.69093799640541e-07,3.772997558826319e-08
1801,4.071822274909209e-07,4.7623651688866175e-09
1802,3.4462738085494493e-07,8.951360541686881e-09
1803,6.377609338414914e-07,3.315576790896557e-08
1804,7.835767519281944e-07,7.909923027682453e-08
1805,3.01345039588341e-07,3.695740957709859e-08
1806,5.388721433519095e-07,8.645007376628655e-09
1807,4.868293217441533e-07,7.971474502710407e-08
1808,6.775561018912413e-07,2.4926814390369145e-08
1809,4.721373727534228e-07,3.6144488291256494e-08
1810,4.7504573785772664e-07,3.042164919975221e-08
1811,7.922362783574499e-07,2.757784400841956e-08
1812,6.881397212055163e-07,3.7340914360584065e-08
1813,9.23113077533344e-07,7.476928232108548e-08
1814,7.237357522171806e-07,5.97868634599763e-08
1815,9.062671324500116e-07,5.3944472000466703e-08
1816,8.551958217140054e-07,2.7811246638975717e-08
1817,8.298135298900888e-07,1.401186100480345e-08
1818,9.370045290779672e-07,2.98029441125891e-08
1819,8.094521035673097e-07,4.45095160728215e-08
1820,8.092940220194578e-07,4.746592452420373e-08
1821,9.95024151961843e-07,5.9168929311681495e-08
1822,1.2000662081845803e-06,5.9151133768864383e-08
1823,8.667116162541788e-07,6.720227219148e-08
1824,1.0063229183288058e-06,5.3895121254754486e-08
1825,9.131244382842851e-07,3.169959583715354e-08
1826,1.080739707504108e-06,5.549030035467695e-08
1827,9.34631486870785e-07,7.465990847776993e-08
1828,1.2189988183308742e-06,8.530240336313e-08
1829,1.3168398709240137e-06,7.458663020543099e-08
1830,1.2524202475105994e-06,8.662573947049168e-08
1831,1.208318508361117e-06,6.392394169552063e-08
1832,1.0999865480698645e-06,2.841293600397421e-08
1833,1.5661065617678105e-06,4.054269808762001e-08
1834,1.3245698937680572e-06,4.387229424196448e-08
1835,1.5103486248335685e-06,5.445423312266939e-08
1836,1.4825974403720465e-06,4.435695188931277e-08
1837,1.7158158698293846e-06,7.305785487687899e-08
1838,1.5022944808151806e-06,2.1461350030449466e-08
1839,1.7506654330645688e-06,8.94908822601792e-08
1840,1.4592956176784355e-06,5.286841542329057e-08
1841,1.725843503663782e-06,9.374000597972554e-08
1842,1.5865047089391737e-06,3.4882980060046975e-08
1843,1.6184936839636066e-06,7.50177733266355e-08
1844,1.7393250573149999e-06,4.8299337862545144e-08
1845,1.7929272644323646e-06,6.305657507255091e-08
1846,1.705416252661962e-06,5.444686124178588e-08
1847,1.771134634509508e-06,5.986478157637976e-08
1848,1.5623820672772126e-06,3.620349886546137e-08
1849,1.79654659859807e-06,5.9493846293889874e-08
1850,1.6354691751985229e-06,6.585326417507531e-08
1851,2.1515327262022765e-06,5.095056465620473e-08
1852,2.050170678558061e-06,6.185018008864063e-08
1853,2.0352342744445195e-06,5.1955808544335014e-08
1854,1.8028955537374713e-06,7.793496337171746e-08
1855,2.0410479919519275e-06,7.323573214534917e-08
1856,1.7628328805585625e-06,6.73034605824796e-08
1857,2.130290567947668e-06,4.1004675210842834e-08
1858,2.0440884327399544e-06,5.334106845111819e-08
1859,2.1570447188423714e-06,8.198399115144639e-08
1860,2.2565516246686457e-06,3.7990627532735743e-08
1861,2.4494715944456402e-06,7.687020797675359e-08
1862,2.411700961602037e-06,5.91856199605445e-08
1863,2.193637556047179e-06,3.7459656709870615e-08
1864,2.556069375714287e-06,6.664672014267126e-08
1865,2.249871613457799e-06,4.89511826629041e-08
1866,2.378311592110549e-06,7.93094869777633e-08
1867,2.3987447548279306e-06,4.076361648230886e-08
1868,2.376079464738723e-06,3.408512938563035e-08
1869,2.3250433969224105e-06,4.688178378842167e-08
1870,2.2827248358225916e-06,6.020751186497364e-08
1871,1.996781293200911e-06,5.8416475212652585e-08
1872,2.4594528440502472e-06,7.619647846013322e-08
1873,2.512924766051583e-06,9.338167217265436e-08
1874,2.4286787265737075e-06,7.468261742360482e-08
1875,2.6696645818446996e-06,5.89317288302027e-08
1876,2.5193744477292057e-06,7.013377256726017e-08
1877,2.510416834411444e-06,8.596894218726447e-08
1878,2.5859378638415365e-06,7.0657335982105e-08
1879,2.587910103102331e-06,9.652733723441997e-08
1880,2.5055271635210374e-06,7.187988160239911e-08
1881,2.4801208837743616e-06,7.042232397225234e-08
1882,2.6002589947893284e-06,5.657077295495583e-08
1883,2.4582227524660993e-06,8.467914369703067e-08
1884,2.787896619338426e-06,6.139578090369469e-08
1885,2.4635219233459793e-06,8.830520670244368e-08
1886,2.4723219667066587e-06,5.679048342699389e-08
1887,2.2975286810833495e-06,5.223139609711325e-08
1888,2.4874232167348964e-06,4.438430423192585e-08
1889,2.509187197574647e-06,6.703696442400542e-08
1890,2.7010626126866555e-06,7.013193226157455e-08
1891,2.3310522010433488e-06,6.055508805502541e-08
1892,2.4923604087234708e-06,6.39388275658348e-08
1893,2.5366518912051106e-06,4.557228194812524e-08
1894,2.6132483981200494e-06,5.356308463433379e-08
1895,2.7119876904180273e-06,8.004757034996146e-08
1896,2.5716942673170706e-06,6.663642437843009e-08
1897,2.487424126229598e-06,6.933789364893528e-08
1898,2.641319952090271e-06,6.790025963709923e-08
1899,2.4050493721006205e-06,4.9748205555033564e-08
1900,2.740356876529404e-06,6.384995288044593e-08
1901,2.6529744445724646e-06,5.588739071527016e-08
1902,2.234670091638691e-06,7.316322836459221e-08
1903,2.6704090032581007e-06,8.856360977915756e-08
1904,2.8399520033417502e-06,7.524475620357407e-08
1905,2.64592108578654e-06,7.483100716854096e-08
1906,2.8010085770802107e-06,7.870602303228225e-08
1907,2.8295924039412057e-06,7.714265137792609e-08
1908,2.8225751975696767e-06,7.023286485718927e-08
1909,2.587112476248876e-06,7.811396329771014e-08
1910,2.5208357783412794e-06,6.092331972240572e-08
1911,2.743717004705104e-06,8.83182096345081e-08
1912,2.503647920093499e-06,7.553660452686017e-08
1913,2.6085406261699973e-06,9.704471182203633e-08
1914,2.4195335299737053e-06,8.638799187110635e-08
1915,2.111112507918733e-06,7.539687629787295e-08
1916,2.391970383541775e-06,1.087758718654186e-07
1917,2.5420172278245445e-06,4.934890895924582e-08
1918,2.102006874338258e-06,1.1716103642811504e-07
1919,2.3618131308467127e-06,1.0036554698444888e-07
1920,2.6654256544134114e-06,6.66356356759934e-08
1921,2.487647634552559e-06,9.465934169838874e-08
1922,2.5977710720326286e-06,7.894391274021473e-08
1923,2.537211685194052e-06,9.448194049355152e-08
1924,2.5099993763433304e-06,8.895220560134476e-08
1925,2.426198079774622e-06,1.0118323956476161e-07
1926,2.537975660743541e-06,1.1480522488227507e-07
1927,2.4784726520010736e-06,7.246995892273844e-08
1928,2.477165708114626e-06,8.341010016010841e-08
1929,2.5277581698901486e-06,6.572840050012019e-08
1930,2.4714979645068524e-06,8.087774716614149e-08
1931,2.4954920263553504e-06,6.957267828511249e-08
1932,2.6642633201845456e-06,1.3261039555345633e-07
1933,2.5889285097946413e-06,8.373583426646292e-08
1934,2.61078639596235e-06,1.1981580883002607e-07
1935,2.818530902004568e-06,1.3045429625435645e-07
1936,2.7462479010864627e-06,8.972288867425959e-08
1937,2.657985078258207e-06,1.1583829007122404e-07
1938,2.8782776553271106e-06,8.81634605320869e-08
1939,2.685635308807832e-06,9.482311469355409e-08
1940,2.7285025225864956e-06,7.353770570261986e-08
1941,2.5058257051568944e-06,1.151085982087352e-07
1942,2.7884407245437615e-06,9.709477666319799e-08
1943,3.3271076063101646e-06,9.870999662098257e-08
1944,2.9754103252344066e-06,1.6065931163211644e-07
1945,2.9213738343969453e-06,1.0456819410364915e-07
1946,2.851042154361494e-06,1.0301616981678308e-07
1947,3.0088278890616493e-06,1.537792400085891e-07
1948,2.7919008971366566e-06,9.893417995954223e-08
1949,2.6388117930764565e-06,1.295845066806578e-07
1950,2.9236607588245533e-06,1.1805251176610909e-07
1951,2.781559715003823e-06,1.2900295587314758e-07
1952,2.5803135486057727e-06,9.49032354924384e-08
1953,3.0091300686763134e-06,9.911921239336152e-08
1954,2.843808033503592e-06,1.1824768364476768e-07
1955,2.9536508918681648e-06,9.948744406074184e-08
1956,2.816928827087395e-06,8.895564462818584e-08
1957,2.9367665774771012e-06,9.983592264006802e-08
1958,2.7579660581977805e-06,1.0174859710332385e-07
1959,3.1437032248504693e-06,1.4648912838310935e-07
1960,2.978726570290746e-06,1.1973041580404242e-07
1961,3.0134167445794446e-06,1.2020315409699833e-07
1962,3.1976144327927614e-06,1.1986297465682583e-07
1963,3.1670729185862e-06,1.2673464766521647e-07
1964,2.9890536552557023e-06,1.08294635481343e-07
1965,3.174332277922076e-06,1.1983775038970634e-07
1966,3.0769560908083804e-06,1.0247288173559355e-07
1967,3.017858489329228e-06,1.0255097748768094e-07
1968,3.382934437468066e-06,1.0779397996429907e-07
1969,2.879020257751108e-06,1.0309790354767756e-07
1970,3.291767370683374e-06,1.200267263357091e-07
1971,3.1488100376009243e-06,1.0328179200769227e-07
1972,3.2735467812017305e-06,1.0311595133316587e-07
1973,3.214197704437538e-06,1.0750747492238588e-07
1974,3.152007820972358e-06,1.0069773281884409e-07
1975,3.1333179322245996e-06,8.85279405338224e-08
1976,3.124156592093641e-06,1.2626894374534459e-07
1977,3.196381612724508e-06,1.2164937857050973e-07
1978,3.327919330331497e-06,1.116831143121999e-07
1979,3.4591014355100924e-06,1.1118749654315252e-07
1980,3.3667463412712095e-06,1.142715291280183e-07
1981,3.532186838128837e-06,1.3220397931945627e-07
1982,3.632630296124262e-06,1.2601229570918804e-07
1983,3.3578535294509493e-06,1.1557028045672268e-07
1984,3.6197411645844113e-06,1.1134096666864934e-07
1985,3.4890235838247463e-06,1.2993605480460246e-07
1986,3.4911884085886413e-06,1.216880605170445e-07
1987,3.480721261439612e-06,1.1243903230706564e-07
1988,3.4054428397212178e-06,1.2532797200037749e-07
1989,3.4756278637360083e-06,1.1579938075101381e-07
1990,3.5339949135959614e-06,1.3512654106762056e-07
1991,3.4172342111560283e-06,1.2133233440181357e-07
1992,3.5709947496798122e-06,1.3003467813632597e-07
1993,3.8724597288819496e-06,1.2684785133387777e-07
1994,3.5711252621695166e-06,1.1499339791498642e-07
1995,3.569057071217685e-06,1.1170248370717673e-07
1996,3.649119889814756e-06,1.3345230343020376e-07
1997,3.6287760849518236e-06,1.1555695778042718e-07
1998,3.726769818968023e-06,1.4495113020984718e-07
1999,3.6776409615413286e-06,1.3116476793584297e-07
2000,3.6545957300404552e-06,1.2856472153544019e-07
2001,3.525999318299e-06,1.358175722998567e-07
2002,3.5746386402024655e-06,1.2223607370742684e-07
2003,3.5298003240313847e-06,1.2209083877223748e-07
2004,3.3921296562766656e-06,1.167269658708392e-07
2005,3.3165611057484057e-06,1.2115086178710044e-07
2006,3.2996651952998945e-06,1.49891192791074e-07
2007,3.234330051782308e-06,1.3661119169228186e-07
2008,3.012564320670208e-06,1.1452512893583844e-07
2009,2.998239551743609e-06,1.0776115288990695e-07
2010,2.617926156744943e-06,9.211396445607534e-08
2011,2.103184669977054e-06,7.380265998335744e-08
2012,2.0592324290191755e-06,7.080845421114645e-08
2013,2.0937961835443275e-06,7.056486595047318e-08
2014,2.0517593384283828e-06,5.998283114649894e-08
2015,2.0104339455429e-06,6.450234479871142e-08
2016,1.918889438456972e-06,5.67547182583894e-08
2017,1.8399181271888665e-06,5.2073154677145794e-08
2018,1.7990241758525372e-06,5.4468948462726985e-08
2019,1.7589060234968201e-06,4.846876677788714e-08
