year,doivent_VERB égaler_VERB,doivent_VERB régaler_VERB
1800,6.288328968651058e-09,0.0
1801,9.524730337773235e-09,0.0
1802,4.475680270843441e-09,0.0
1803,2.3404069793286908e-08,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,1.7081731584767113e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.710836710662079e-08,0.0
1810,3.2761775514700275e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,2.3353100786493997e-08,0.0
1818,1.1921176934492905e-08,0.0
1819,2.898294049202832e-08,0.0
1820,1.1866481131050932e-08,0.0
1821,3.550135829755163e-08,0.0
1822,1.5038423839541792e-08,1.0025615893027862e-09
1823,2.569498569471307e-08,0.0
1824,1.431589158329416e-08,0.0
1825,3.434122675116669e-08,0.0
1826,2.2019960965735663e-08,8.807984341885344e-10
1827,9.217273166939322e-09,0.0
1828,5.503380862137419e-09,9.172301251858528e-10
1829,6.001223074036943e-09,0.0
1830,1.2524203008013046e-08,3.1310507520032616e-09
1831,6.236482441579483e-09,0.0
1832,2.705993873419743e-09,0.0
1833,1.1583628278799551e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,1.9664028627630614e-08,3.781543966852041e-09
1836,6.048674894287842e-09,0.0
1837,5.5663127440652715e-09,0.0
1838,9.468243078458727e-09,0.0
1839,1.5381244722334486e-08,6.9914751765765e-10
1840,3.1848443882154243e-09,0.0
1841,1.3483152372373297e-08,0.0
1842,9.391571076378114e-09,0.0
1843,1.063243981747064e-08,0.0
1844,1.0428266250528395e-08,0.0
1845,9.48638767539478e-09,1.1160455892778032e-09
1846,8.196302303531411e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,5.63165514222419e-09,0.0
1849,1.508294644736452e-08,0.0
1850,1.5614691761811628e-08,6.788996032014438e-10
1851,7.094382858952031e-09,0.0
1852,2.3437962681782665e-08,0.0
1853,1.0152284346531815e-08,0.0
1854,8.313063126763609e-09,0.0
1855,2.653468555990912e-09,1.0613874223963649e-09
1856,1.2942972915652717e-08,0.0
1857,4.393358121745905e-09,9.763018171682347e-10
1858,8.808616946964776e-09,0.0
1859,4.582956236731661e-09,0.0
1860,2.288591982591015e-09,1.373155145145688e-09
1861,5.659156698811785e-09,1.4147891747029462e-09
1862,3.6143890103090826e-09,0.0
1863,6.99246927027275e-09,0.0
1864,4.794728170054441e-09,0.0
1865,1.5061901947888146e-08,0.0
1866,1.0217787504984699e-08,0.0
1867,7.279217228983725e-09,0.0
1868,6.915823469455518e-09,0.0
1869,3.4184632902167778e-09,0.0
1870,1.548193218070537e-08,4.013834153937523e-09
1871,6.37270636261178e-09,0.0
1872,4.8378714367913744e-09,0.0
1873,4.788803575905831e-09,0.0
1874,7.169530746864439e-09,0.0
1875,8.58229043387837e-09,0.0
1876,7.859819461941697e-09,0.0
1877,1.36065949618569e-08,0.0
1878,7.2469061862534545e-09,0.0
1879,3.0546627449723474e-09,0.0
1880,4.492492600149944e-09,0.0
1881,6.972507571312292e-10,0.0
