year,devaient_VERB accompagner_VERB,devaient_VERB raccompagner_VERB
1800,2.2009151834367913e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,3.315576790896557e-08,0.0
1804,3.460591457837836e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,1.0818429529990681e-07,0.0
1808,5.211970233176544e-08,0.0
1809,2.4849335034105025e-08,2.259030518203531e-09
1810,2.574139479349924e-08,0.0
1811,6.518399686683551e-08,2.5070767684098882e-09
1812,2.400487453257938e-08,2.6672082320544632e-09
1813,2.300593315851529e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,3.89218364205135e-08,0.0
1818,6.795070817133819e-08,3.5763532135746345e-09
1819,1.2421260464634543e-08,1.035105001712111e-09
1820,3.20394981656591e-08,0.0
1821,6.7058117281249e-08,9.86148829262845e-10
1822,9.323822780515911e-08,1.0025615893027862e-09
1823,1.1562743651438723e-07,9.882686891060644e-10
1824,6.400046004273463e-08,8.421112696055388e-10
1825,6.163810439829831e-08,0.0
1826,8.807984386294265e-08,1.7615968683770689e-09
1827,1.0692036767068203e-07,1.8434546111834038e-09
1828,6.879226077671774e-08,0.0
1829,8.315980437600956e-08,0.0
1830,7.827626546941246e-08,0.0
1831,3.1182413096075834e-08,0.0
1832,1.393586899212096e-07,0.0
1833,1.2626155410089268e-07,0.0
1834,1.23215812664057e-07,0.0
1835,1.0663953986522756e-07,0.0
1836,8.333729795140243e-08,0.0
1837,8.140732177253085e-08,6.957890930081589e-10
1838,1.249808008196851e-07,0.0
1839,9.22874718867206e-08,0.0
1840,9.681927082283437e-08,1.2739377330817092e-09
1841,9.438206660661308e-08,2.5682194149112547e-09
1842,1.0464893307471357e-07,0.0
1843,1.3526826592169527e-07,0.0
1844,1.1745520822614708e-07,0.0
1845,1.4173778595250042e-07,5.580227946389016e-10
1846,1.4167893880312477e-07,0.0
1847,1.2566211182729603e-07,5.393223645455691e-10
1848,1.126331028444838e-07,0.0
1849,1.6507446787272784e-07,0.0
1850,8.011015495412721e-08,0.0
1851,9.609663464971163e-08,0.0
1852,1.4844043505490845e-07,6.510545436100301e-10
1853,8.181546462537881e-08,5.971931837933653e-10
1854,1.2521550729616138e-07,0.0
1855,1.003011078637428e-07,5.306937111981824e-10
1856,1.0354378332522174e-07,0.0
1857,9.714202775512604e-08,4.881509085841174e-10
1858,9.004364187603642e-08,4.893676019968041e-10
1859,8.096555603742672e-08,0.0
1860,1.0069804545764782e-07,0.0
1861,8.724532563064713e-08,4.715963730639317e-10
1862,1.1069066374602698e-07,0.0
1863,9.040263648785185e-08,9.989241656072068e-10
1864,7.479775376850739e-08,0.0
1865,7.295609094626343e-08,9.41368871743009e-10
1866,1.1531502508432823e-07,4.865612912574591e-10
1867,5.483676801532056e-08,0.0
1868,8.397785933311752e-08,4.93987406535723e-10
