year,devront_VERB établir_VERB,devront_VERB rétablir_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,4.518061036407062e-09,0.0
1810,4.680253518074551e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,3.113746815941454e-09,0.0
1818,1.1921176934492905e-08,1.1921177378582115e-09
1819,3.1053151161586356e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.0847637454958203e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,9.882686891060644e-10,0.0
1824,8.421112696055388e-10,0.0
1825,1.7610886082763955e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,7.337841001486822e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,4.2096257146795324e-08,0.0
1832,3.111892965534935e-08,0.0
1833,2.7800709290204395e-08,5.791814139399776e-09
1834,8.401078055442213e-09,0.0
1835,1.663879345414898e-08,0.0
1836,3.1587525484155776e-08,1.3441500135158435e-09
1837,1.3219993100221927e-08,0.0
1838,2.2723781967215473e-08,6.312161904276081e-10
1839,1.4682098203877558e-08,0.0
1840,1.2102408852854296e-08,0.0
1841,2.5682194149112547e-09,0.0
1842,1.8783142152756227e-08,0.0
1843,1.8311423488626133e-08,1.1813822142769936e-09
1844,3.841992946007622e-09,0.0
1845,2.0646844234306627e-08,0.0
1846,1.2294452567118697e-08,0.0
1847,1.0247124926365814e-08,5.393223645455691e-10
1848,1.206783295515379e-08,2.413566457803995e-09
1849,1.3407063903514427e-08,1.6758829879393033e-09
1850,1.8330290174617403e-08,6.788996032014438e-10
1851,2.3862924081186065e-08,1.2898877521649865e-09
1852,6.705861466116403e-08,1.3021090872200602e-09
1853,6.688563303214323e-08,0.0
1854,5.0917510208137173e-08,0.0
1855,2.812676669350367e-08,0.0
1856,1.9673318973900678e-08,0.0
1857,8.78671624349181e-09,0.0
1858,2.5447114637699997e-08,0.0
1859,6.619825576592575e-09,0.0
1860,1.9224172476128842e-08,0.0
1861,4.1500481273715195e-08,9.431927461278633e-10
1862,1.490935552794781e-08,0.0
1863,1.1987090431375691e-08,0.0
1864,6.233146443435089e-09,1.9178911792039344e-09
1865,4.283228349777346e-08,0.0
1866,5.5954547661940524e-08,1.4596839292835284e-09
1867,2.6690463172940326e-08,0.0
1868,4.00129813726835e-08,0.0
1869,6.8369265804335555e-09,4.883519144627257e-10
1870,4.587239033071455e-09,0.0
1871,1.0939812256083314e-07,3.18635318130589e-09
1872,4.8378716144270584e-08,1.2094678591978436e-09
1873,2.9331422624068182e-08,5.986004469882289e-10
1874,2.7483201492373155e-08,5.974609140757536e-10
1875,2.2886109007913547e-08,0.0
1876,4.6554312405078235e-08,6.04601479992084e-10
1877,1.855444864418132e-08,0.0
1878,1.7513357875031943e-08,1.8117265465633636e-09
1879,1.8938909107646396e-08,0.0
1880,8.664092376875487e-08,0.0
1881,1.8825771164188154e-08,0.0
1882,1.7304001787010748e-08,1.3310770263785798e-09
1883,3.222862687835004e-08,6.319338941018771e-10
1884,1.9144920315739e-08,6.601696966868076e-10
1885,3.480643329112354e-08,1.2891271383708158e-09
1886,2.3877817056927597e-08,4.5174246565693466e-09
1887,3.0685946228459215e-08,3.264462256069578e-09
1888,3.297119732792453e-08,2.53624587998047e-09
1889,2.7566601445982997e-08,1.2530273485467092e-09
1890,2.0318598359381213e-08,6.554386478008212e-10
1891,3.378336543846672e-08,1.2748440081367107e-09
1892,1.5044429702015805e-08,2.5074049503359674e-09
1893,3.079208354961338e-08,1.2316833108982905e-09
1894,3.591877373310126e-08,1.2603078580752936e-09
1895,1.625025980445116e-08,6.018614495673091e-10
1896,3.656158042986135e-08,0.0
1897,2.3889525024856084e-08,0.0
1898,3.055511754723739e-08,1.13167097914868e-09
1899,2.3768587098516036e-08,3.8693048765026106e-09
1900,2.2321527737290126e-08,1.038210628578895e-09
1901,2.9061443029831935e-08,1.676621730339889e-09
1902,2.3078333910575566e-08,1.4730852093691738e-09
1903,4.428180488957878e-08,3.2401321625741275e-09
1904,4.192207825326477e-08,2.1498500757388683e-09
1905,1.651442893546573e-08,1.5482277682110634e-09
1906,4.4754404626701216e-08,0.0
1907,2.7257069490360664e-08,4.114274698707732e-09
1908,4.0764529529724314e-08,1.4734167219643268e-09
1909,2.6954818821423032e-08,1.1001967115120692e-09
1910,3.366815093386322e-08,0.0
