year,pourrait_VERB accompagner_VERB
1800,0.0
1801,0.0
1802,0.0
1803,5.851017448321727e-09
1804,0.0
1805,2.842877711017877e-09
1806,2.0171682990621775e-08
1807,5.693910232196231e-09
1808,1.3596443970698147e-08
1809,0.0
1810,4.680253518074551e-09
1811,0.0
1812,0.0
1813,0.0
1814,3.4613449884091096e-08
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,5.175524897538253e-09
1820,9.493184904840746e-09
1821,2.9584463767662328e-09
1822,9.023054303725075e-09
1823,0.0
1824,7.57900142644985e-09
1825,2.641632912414593e-09
1826,1.0569580766173203e-08
1827,3.6869092223668076e-09
1828,3.668920500743411e-09
1829,7.715858174606183e-09
1830,9.39315203396518e-09
1831,0.0
1832,1.8941957335982806e-08
1833,6.950177322551099e-09
1834,1.9602515166639023e-08
1835,3.025235173481633e-09
1836,2.016224964762614e-09
1837,5.5663127440652715e-09
1838,8.837027110075724e-09
1839,1.3982950353153e-09
1840,7.0066574764382494e-09
1841,3.852329122366882e-09
1842,6.037438549100216e-09
1843,8.269675610961258e-09
1844,1.6465684371524958e-09
1845,3.348136878855712e-09
1846,2.9272506640865004e-09
1847,9.707802561820245e-09
1848,8.045221711050488e-10
1849,1.6758829879393033e-09
1850,1.5614691761811628e-08
1851,8.384270167027807e-09
1852,5.859490670445666e-09
1853,1.0152284346531815e-08
1854,9.352196350675968e-09
1855,5.306937111981824e-09
1856,1.0872097000458325e-08
1857,5.857811125054013e-09
1858,4.893676130990343e-09
1859,1.2221216039165483e-08
1860,6.865775947773045e-09
1861,9.431927461278633e-10
1862,8.584174260306554e-09
1863,6.493007020935693e-09
1864,8.63051052846231e-09
1865,3.765475486972036e-09
1866,6.811858188626729e-09
1867,1.6984840200962026e-08
1868,3.457911734727759e-09
1869,1.4650557433881772e-09
1870,5.734048791339319e-09
1871,6.37270636261178e-09
1872,5.442605477412599e-09
1873,2.9930022904522957e-09
1874,0.0
1875,4.577221712764867e-09
1876,2.3579458385825092e-08
1877,1.0514186854493346e-08
1878,7.2469061862534545e-09
1879,1.221865053580018e-09
1880,1.9253538763308597e-09
1881,3.4862537301449947e-09
1882,1.3310770263785798e-09
1883,3.791603475633565e-09
1884,6.601696966868076e-09
1885,5.156508553483263e-09
1886,7.098810428374236e-09
1887,1.1752064210668323e-08
1888,1.268122939990235e-09
1889,2.192797943223468e-08
1890,6.554386366985909e-09
1891,2.5496880162734215e-09
1892,5.014809900671935e-09
1893,3.695050043717174e-09
1894,3.150769645188234e-09
1895,1.2037228991346183e-09
1896,2.358811590497112e-09
1897,5.826713556089658e-10
1898,3.3950129374460403e-09
1899,1.1607914629507832e-08
1900,6.748368974740515e-09
1901,1.0618603774048552e-08
1902,6.874397495693074e-09
1903,2.7001101354784396e-09
1904,5.374625189347171e-09
1905,4.64468330463319e-09
1906,7.716276506641861e-09
1907,2.057137349353866e-09
1908,1.964555629285769e-09
