year,tout_DET aide_NOUN
1800,1.2576657937302116e-08
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,1.9900143755080535e-08
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,6.7770917766551975e-09
1810,3.978215445954447e-08
1811,7.521230305229665e-09
1812,1.0668832484128643e-08
1813,3.738464116054274e-08
1814,3.1466771410748606e-09
1815,2.6972235556144142e-08
1816,0.0
1817,1.401186100480345e-08
1818,9.536941902865692e-09
1819,1.2421260464634543e-08
1820,5.933240565525466e-09
1821,2.5639868894700157e-08
1822,2.0051231786055723e-08
1823,2.569498569471307e-08
1824,2.6105450245950124e-08
1825,2.905796270269434e-08
1826,2.7304751237799962e-08
1827,1.4747637222534138e-08
1828,4.035812395386529e-08
1829,2.1432940089383123e-08
1830,8.349468672008697e-09
1831,7.795602829929749e-09
1832,1.488296597074168e-08
1833,1.853380560135065e-08
1834,1.8669062740173104e-08
1835,3.403389570166837e-08
1836,4.637317374545091e-08
1837,3.4093664558199066e-08
1838,1.199310784016916e-08
1839,2.516931019158619e-08
1840,2.4204817705708592e-08
1841,2.118780972892864e-08
1842,1.0062397137744483e-08
1843,7.088293119128508e-09
1844,2.085653250105679e-08
1845,1.0602433153650281e-08
1846,3.1614306283955784e-08
1847,1.4022381478184798e-08
1848,1.689496542667257e-08
1849,1.3407064125559032e-08
1850,3.6660580349234806e-08
1851,3.998652076120379e-08
1852,6.510545436100301e-09
1853,3.0456852595506234e-08
1854,3.4291384842788375e-08
1855,2.0166361025530932e-08
1856,2.3815069694066437e-08
1857,1.269192401176511e-08
1858,1.4191660291373864e-08
1859,2.3423997630445115e-08
1860,2.0139609091529564e-08
1861,1.6505872502126095e-08
1862,9.487771457372673e-09
1863,2.8469338886338846e-08
1864,8.63051052846231e-09
1865,1.5061901947888146e-08
1866,1.9462451206209153e-08
1867,1.8925964795357686e-08
1868,1.679557115608077e-08
1869,2.197583626184496e-08
1870,1.490852596930381e-08
1871,8.496941816815706e-09
1872,2.8422494580127022e-08
1873,9.577607151811662e-09
1874,4.002988163165355e-08
1875,2.6891177895560503e-08
1876,3.204387932775887e-08
1877,3.7108894734849684e-08
1878,3.865016834359025e-08
1879,1.649517855639715e-08
1880,1.3477477134316018e-08
1881,3.974329487732575e-08
1882,1.7304001787010748e-08
1883,1.5798347186013473e-08
1884,1.4523733327109767e-08
1885,1.4180398189012067e-08
1886,1.1616234640854373e-08
1887,2.1545450867854754e-08
1888,2.028996703984376e-08
1889,3.3831737411560425e-08
1890,1.4419650362640368e-08
1891,1.5935550212731187e-08
1892,2.068609084027173e-08
1893,2.7097032229139728e-08
1894,1.764431001305411e-08
1895,1.2639090440913492e-08
1896,1.8280790214930676e-08
1897,1.981082675683865e-08
1898,3.3384293995908365e-08
1899,1.6029977345510815e-08
1900,1.7130474816440255e-08
1901,1.3412973398629902e-08
1902,2.8970675469697227e-08
1903,1.0800440541913758e-08
1904,1.2361637935498493e-08
1905,2.115911179600971e-08
1906,4.6812078990932093e-08
1907,3.80570401858904e-08
1908,2.1610112144188065e-08
1909,1.760314710663735e-08
1910,2.1911018666109783e-08
1911,1.0108711090417444e-08
1912,1.8753915753677575e-08
1913,2.7575546790448158e-08
1914,2.0759905794420774e-08
1915,5.890381071793627e-09
1916,1.4283700666695154e-08
1917,7.676497215669542e-09
1918,1.033773866510046e-08
1919,1.5653342622101718e-08
1920,1.2872793941909322e-08
1921,1.741731836535365e-08
1922,1.475587119159627e-08
1923,9.554353308516284e-09
1924,7.734974438733389e-09
1925,1.6497267552040284e-08
1926,8.916910765321973e-09
1927,2.0068604111855848e-08
1928,5.713020723163709e-09
1929,1.4482528065684619e-08
1930,1.155396367469308e-08
1931,9.124285327288817e-09
1932,4.383814644626227e-09
1933,9.176529758292418e-09
1934,8.38710612072191e-09
1935,7.180970484910176e-09
1936,7.274828739411987e-09
1937,1.1332006444320086e-08
1938,1.6854778905894818e-08
1939,3.058810094103137e-09
1940,1.2678914806940611e-08
1941,1.1806010835613279e-08
1942,2.730790527039062e-08
1943,1.7419411690866582e-08
1944,9.639558484764166e-09
1945,1.089252021913012e-08
1946,4.1763312808029696e-09
1947,3.5762612871081956e-09
1948,8.697510267552389e-09
1949,3.9268033269479474e-09
1950,3.190608444114673e-09
1951,3.1984206394497505e-09
1952,5.272402070488624e-09
1953,1.0773827385790469e-09
1954,4.886268278880834e-09
1955,4.6928039232341234e-09
1956,9.593255967388359e-09
1957,0.0
1958,1.4062813857851353e-08
1959,4.650448914844674e-09
1960,8.997083078554624e-09
1961,1.667558180429296e-08
1962,1.0147130691251505e-08
1963,1.7458343215537298e-08
1964,1.520992087833406e-08
1965,7.1136563306595235e-09
1966,7.754704767215514e-09
1967,1.2818872074937815e-08
1968,4.042274182047834e-09
1969,1.998373500011752e-08
1970,7.81783243697376e-09
1971,2.0553589941130213e-09
1972,9.747278983951446e-09
1973,2.7566018356850464e-09
1974,5.06301445213353e-09
1975,1.2565256390928425e-08
1976,1.542652228181396e-08
1977,1.2928919823629315e-08
1978,6.534650265344055e-09
1979,9.948354584565777e-09
1980,2.8425752862659692e-09
1981,5.06043967840597e-09
1982,6.828252629986764e-09
1983,1.2630632317822688e-08
1984,7.538710988796993e-09
1985,4.210890747202711e-09
1986,3.5966913891627428e-09
1987,5.49973533381376e-09
1988,5.396898483667201e-09
1989,6.036934507847036e-09
1990,1.6345953479657283e-09
1991,2.344586080837985e-09
1992,4.407955389584828e-09
1993,1.661762283333701e-09
1994,6.857404755145069e-09
1995,2.7112254663563817e-09
1996,4.804283193493575e-09
1997,4.794894259418925e-09
1998,1.0489884183506604e-08
1999,3.1991408688814005e-09
2000,2.2090157481002848e-09
2001,5.257454194218525e-09
2002,6.571832411594869e-09
2003,5.000307390368164e-09
2004,3.0833539332864035e-09
2005,3.602999676388663e-09
2006,9.471147199846541e-09
2007,5.192823504529542e-09
2008,4.683183785214595e-09
2009,4.291373478793048e-09
2010,3.3066551718974324e-09
2011,1.911985902935953e-09
2012,6.468080293586809e-09
2013,3.0680376017500066e-09
2014,4.763979266630969e-09
2015,3.989835684059528e-09
2016,4.764082017771898e-09
2017,3.018733624182701e-09
2018,3.6140534453998896e-09
2019,4.591777846840728e-09
