year,devront_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,1.9900143755080535e-08
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,0.0
1818,5.960588467246453e-09
1819,2.070210003424222e-09
1820,0.0
1821,0.0
1822,3.0076847679083585e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,5.503380862137419e-09
1829,8.573175946935407e-09
1830,1.0436835840010872e-09
1831,1.091384405071949e-08
1832,2.570694235259907e-08
1833,8.108539617524002e-09
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,1.3441500135158435e-09
1837,0.0
1838,4.418513555037862e-09
1839,2.7965900706306e-09
1840,3.821813088222825e-09
1841,1.926164561183441e-09
1842,4.695785538189057e-09
1843,2.3627644285539873e-09
1844,6.037417232818143e-09
1845,7.254296274794569e-09
1846,6.439951683034906e-09
1847,5.3932236454556914e-09
1848,2.413566457803995e-09
1849,1.6758829879393033e-09
1850,6.788996032014438e-10
1851,5.8044946626978344e-09
1852,1.3021090872200602e-09
1853,1.6721408258035808e-08
1854,1.0391328686409906e-08
1855,4.776243400783642e-09
1856,6.73034605824796e-09
1857,1.9526036343364694e-09
1858,6.361778659424999e-09
1859,4.582956236731661e-09
1860,2.288591982591015e-09
1861,3.3011746669586728e-09
1862,4.9697850279528666e-09
1863,5.9935452156878455e-09
1864,4.315255264231155e-09
1865,9.88437331983505e-09
1866,1.4596838404656864e-08
1867,2.0867089389753346e-08
1868,1.778354707937524e-08
1869,1.3185501579471293e-08
1870,4.013834153937523e-09
1871,4.248470908407853e-09
1872,3.628403577593531e-09
1873,6.584604861359367e-09
1874,2.9873046258899194e-09
1875,5.149374260327022e-09
1876,1.269663130187837e-08
1877,6.184816214727107e-09
1878,1.2078177347163432e-09
1879,4.887460214320072e-09
1880,5.776061406947974e-09
1881,5.5780060570498335e-09
1882,5.324308105514319e-09
1883,4.423537092179686e-09
1884,2.6406787867472303e-09
1885,7.090199094506033e-09
1886,8.38950331427668e-09
1887,3.9173548849191775e-09
1888,5.07249175996094e-09
1889,3.132568426877924e-09
1890,9.831579994568074e-09
1891,7.649063604731055e-09
1892,1.8805537127519756e-09
1893,3.079208221734575e-09
1894,9.452309157609307e-09
1895,6.018614495673091e-09
1896,2.948514543632541e-09
1897,5.2440420894583895e-09
1898,7.921697076085366e-09
1899,6.633094074004475e-09
1900,2.07642125715779e-09
1901,6.147612641171918e-09
1902,6.874397495693074e-09
1903,2.7001101354784396e-09
1904,4.837162670412454e-09
1905,7.741138396966107e-09
1906,1.2860461140462576e-08
1907,6.1714118260169926e-09
1908,4.4202499438483756e-09
1909,8.251475058784763e-09
