year,pourraient_VERB égaler_VERB
1800,3.144164484325529e-09
1801,0.0
1802,4.475680270843441e-09
1803,1.950339267864365e-08
1804,2.4718509461507665e-09
1805,1.421438877713399e-08
1806,5.76333825108577e-09
1807,3.4163463169534225e-08
1808,2.2660739951163578e-09
1809,1.3554183553310395e-08
1810,2.8081521108447305e-08
1811,2.0056614147279106e-08
1812,2.6672083208723052e-08
1813,4.026038169513413e-08
1814,2.8320094713762956e-08
1815,0.0
1816,2.3176038865813098e-09
1817,3.113746815941454e-09
1818,3.5763532135746345e-09
1819,2.3807414706311647e-08
1820,0.0
1821,2.5639868894700157e-08
1822,2.3058916553964082e-08
1823,1.680056804787e-08
1824,4.210556348027694e-09
1825,1.1447076175841175e-08
1826,4.403992281964975e-09
1827,3.6869092223668076e-09
1828,1.0089530988466322e-08
1829,1.3717081692732336e-08
1830,1.5655253093882493e-08
1831,2.9623292263636358e-08
1832,1.2176972319366541e-08
1833,1.1583628278799551e-08
1834,2.5203233278148218e-08
1835,1.0588323107185715e-08
1836,1.68018754465038e-08
1837,1.8090515752078318e-08
1838,1.8936486156917454e-08
1839,1.3982949909063791e-08
1840,1.4013314952876499e-08
1841,1.1556987367100646e-08
1842,2.6162233268678392e-08
1843,2.1855571574747046e-08
1844,1.5916826967554698e-08
1845,8.37034175305007e-09
1846,1.8148954339380907e-08
1847,1.240441438454809e-08
1848,8.04522137798358e-09
1849,3.4355601030711114e-08
1850,1.968808760466345e-08
1851,7.739326512989919e-09
1852,1.3021090872200602e-08
1853,6.569124799682413e-09
1854,6.234797567117312e-09
1855,1.1675261646360013e-08
1856,1.4496129630003907e-08
1857,1.4156376515472857e-08
1858,1.2723557318849998e-08
1859,2.0877910955618972e-08
1860,1.4189270203246451e-08
1861,4.2443675241088386e-09
1862,1.1294965851504912e-08
1863,6.493007020935693e-09
1864,8.63051052846231e-09
1865,9.413688495385486e-09
1866,8.271541673821048e-09
1867,8.73506067478047e-09
1868,8.89177353968762e-09
1869,8.30198221279943e-09
1870,9.17447806614291e-09
1871,4.248470908407853e-09
1872,5.442605477412599e-09
1873,7.781805422268917e-09
1874,1.7923826867161097e-09
1875,4.577221712764867e-09
1876,6.650616057868319e-09
1877,1.1751150275074451e-08
1878,9.058632954861423e-09
1879,6.720257683667796e-09
1880,7.701415505323439e-09
1881,4.8807553554297556e-09
1882,6.655385131892899e-09
1883,1.0110942305630033e-08
1884,3.9610181801208455e-09
1885,1.2246707647989297e-08
1886,3.872078213618124e-09
1887,4.570247291724172e-09
1888,8.242799331981132e-09
1889,2.5060546970934183e-09
1890,1.9663159989136147e-09
1891,3.1871101313640793e-09
1892,4.387958441043338e-09
1893,4.926733243593162e-09
1894,6.301539290376468e-09
1895,8.426059849853118e-09
1896,2.358811590497112e-09
1897,5.2440420894583895e-09
1898,1.13167097914868e-09
1899,2.2110313580014918e-09
1900,4.15284251431558e-09
1901,6.706486921359556e-09
1902,2.455141867585553e-09
1903,2.7001101354784396e-09
1904,6.987012746151322e-09
1905,3.6125313851442797e-09
1906,9.259531807970234e-09
1907,3.0857059130084963e-09
1908,3.929111258571538e-09
1909,4.400786846048277e-09
1910,3.740905363258662e-09
1911,5.852411444351446e-09
1912,3.646594803896619e-09
1913,1.590896969716482e-09
1914,5.357394972094198e-09
1915,0.0
1916,2.197492410260793e-09
1917,7.676496771580332e-09
1918,1.1486376294556067e-09
1919,4.603924352863942e-09
1920,1.514446346106979e-09
