year,eurent_VERB établi_VERB,eurent_VERB rétabli_VERB
1800,2.5153315874604232e-08,1.2576657937302116e-08
1801,9.524730337773235e-09,1.4287095950749062e-08
1802,8.951360541686881e-09,8.951360541686881e-09
1803,3.510610468993036e-08,0.0
1804,3.9549615138412264e-08,2.4718509461507665e-09
1805,5.685755510853596e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,1.366538526781369e-07,2.8469550272802735e-08
1808,1.3596443970698147e-08,4.5321479902327155e-09
1809,4.969867006821005e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,4.011322829455821e-08,1.0028307073639553e-08
1812,1.8670457180292033e-08,2.6672083208723052e-08
1813,2.300593315851529e-08,1.7254450312975678e-08
1814,6.293354459785405e-08,0.0
1815,4.8550024445148665e-08,2.4275012222574333e-08
1816,3.7081662185300956e-08,6.952811659743929e-09
1817,2.3353100786493997e-08,2.6466848268569265e-08
1818,6.199012148044858e-08,7.152706427149269e-09
1819,7.14222423425781e-08,1.0351049795076506e-08
1820,2.0173018810965004e-08,2.3732962262101864e-09
1821,1.1537941446704281e-07,5.621048160264763e-08
1822,5.1130641054442094e-08,7.017931125119503e-09
1823,4.348382276475604e-08,1.9765373782121287e-09
1824,6.652678763430231e-08,2.5263338088166165e-09
1825,5.459374818883589e-08,9.68598712347557e-09
1826,2.290075862276808e-08,7.927186018719112e-09
1827,3.594736597278825e-08,3.6869092223668076e-09
1828,5.595103758082587e-08,1.4675682002973645e-08
1829,2.4004892296147773e-08,4.286587973467704e-09
1830,2.7135772739939057e-08,4.174734336004349e-09
1831,2.8064171431196883e-08,3.1182412207897414e-09
1832,2.976593194148336e-08,9.470978667991403e-09
1833,4.865124125785769e-08,1.7375443306377747e-08
1834,2.7070139907436896e-08,1.213489042584115e-08
1835,3.403389570166837e-08,1.1344631900556124e-08
1836,4.368487438455304e-08,2.688300027031687e-09
1837,4.87052354003481e-08,1.530736071231331e-08
1838,3.219202682203104e-08,5.049729523420865e-09
1839,4.264799713382672e-08,6.9914749545318955e-09
1840,4.0129037870428874e-08,1.6561189752906103e-08
1841,5.393260948949319e-08,1.0272877659645019e-08
1842,4.8299508392801727e-08,3.018719141323345e-08
1843,3.603215859016018e-08,9.451057714215949e-09
1844,4.610391357573462e-08,7.1351298203126134e-09
1845,2.7343116215661212e-08,7.254296274794569e-09
1846,3.1614305839866574e-08,9.952652035849496e-09
1847,2.3730184040005042e-08,1.0247124926365814e-08
1848,5.63165514222419e-09,3.218088551193432e-08
1849,4.1897074254393374e-08,5.865590679832167e-09
1850,2.5119284430275002e-08,7.467895635215882e-09
1851,1.3543821175687754e-08,2.579775504329973e-09
1852,4.231854688896419e-08,6.510545436100301e-09
1853,1.4929829816878737e-08,5.3747388761848924e-09
1854,4.46827144173767e-08,1.1430461910322265e-08
1855,3.3964397516683675e-08,3.714855978387277e-09
1856,4.4523826403519706e-08,5.177189343896771e-09
1857,1.610898081594314e-08,1.610898081594314e-08
1858,2.3489644007668176e-08,2.4468380654951716e-09
1859,3.666364989385329e-08,9.675129142294736e-09
1860,2.5632230560290736e-08,1.830873586072812e-08
1861,2.263662679524714e-08,7.073945429425521e-09
1862,1.7620147119146168e-08,1.1746764450037972e-08
1863,1.8480097452311384e-08,6.99246927027275e-09
1864,4.027571520737183e-08,4.315255264231155e-09
1865,3.435996376310868e-08,1.1296426905005319e-08
1866,5.2548617901493344e-08,7.298419202328432e-09
1867,1.7955402498159856e-08,2.329349513274792e-08
1868,2.0747471296544973e-08,4.44588676984381e-09
1869,1.2697149998075474e-08,3.906815315701806e-09
1870,2.121598008386627e-08,1.204150201772336e-08
1871,2.0180236148803488e-08,1.0621176826930423e-08
1872,2.6003558417642125e-08,4.8378714367913744e-09
1873,1.496501056408306e-08,1.1972008939764578e-09
1874,1.7923827755339516e-08,5.974609251779839e-09
1875,8.58229043387837e-09,4.005069165202713e-09
1876,2.2370254981751714e-08,6.04601479992084e-10
1877,2.2265338017746217e-08,1.4843558382438005e-08
1878,3.01954443671093e-08,7.850815109122777e-09
1879,1.5273313280772527e-08,7.331190321480108e-09
1880,2.631317030932223e-08,7.059631101924424e-09
1881,1.9523021421719022e-08,2.091752326904839e-09
1882,2.0631693686823382e-08,7.986462158271479e-09
1883,1.2006744043446815e-08,4.423537092179686e-09
1884,5.281357573494461e-09,4.621187876807653e-09
1885,1.8692343672910283e-08,1.2891271383708158e-09
1886,2.5168509054651622e-08,6.4534639854230136e-09
1887,2.0892558794116667e-08,5.876032105334161e-09
1888,2.2192152115962926e-08,1.0779045211961602e-08
1889,2.6940087494153886e-08,3.132568426877924e-09
1890,1.9007721618891082e-08,1.9663159989136147e-09
1891,1.0836173736095134e-08,1.2748440081367107e-09
1892,1.1283322720601063e-08,1.2537024751679837e-09
1893,1.4780200174868696e-08,1.847525021858587e-09
1894,1.0082462864602348e-08,2.520615716150587e-09
1895,1.1435367319734269e-08,1.8055843487019274e-09
1896,1.2973464080801023e-08,1.7691086373616827e-09
1897,1.1070755867592652e-08,2.330685422435863e-09
1898,1.867257104493092e-08,0.0
1899,2.7085134135518274e-08,2.7637891975018647e-09
1900,1.7130474816440255e-08,1.038210628578895e-09
1901,1.8442838367604963e-08,4.470991132876634e-09
1902,1.178468167495339e-08,4.910283846193408e-10
1903,1.1340462791054051e-08,4.860198465905796e-09
1904,1.3974025492302644e-08,0.0
1905,1.4450125540577119e-08,5.160759042333041e-10
1906,9.259531807970234e-09,1.1317205839134203e-08
