year,faut_VERB accompagner_VERB,faut_VERB raccompagner_VERB
1800,1.2576657937302116e-08,0.0
1801,3.333655484993869e-08,0.0
1802,0.0,0.0
1803,1.755305234496518e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,1.421438877713399e-08,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,3.172503681980743e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,5.664018942752591e-08,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.1921176934492905e-08,0.0
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,9.861488514673056e-09,0.0
1822,9.023054303725075e-09,0.0
1823,7.906149512848515e-09,0.0
1824,4.210556348027694e-09,0.0
1825,2.201360693732113e-08,0.0
1826,2.554315514657901e-08,0.0
1827,7.373818444733615e-09,0.0
1828,9.172301251858528e-10,0.0
1829,8.573175946935407e-09,0.0
1830,0.0,0.0
1831,1.5591206103948707e-09,0.0
1832,1.0823975493678972e-08,0.0
1833,4.6334514003376626e-09,0.0
1834,1.120143711119681e-08,0.0
1835,7.563087933704082e-10,0.0
1836,8.736974699274924e-09,0.0
1837,7.653680356156656e-09,0.0
1838,0.0,0.0
1839,5.5931801412612e-09,0.0
1840,1.2739377552861697e-08,0.0
1841,5.1364388298225094e-09,0.0
1842,6.708265054555795e-09,0.0
1843,3.5441467538532834e-09,0.0
1844,5.488561161115513e-09,0.0
1845,8.37034175305007e-09,0.0
1846,4.6836010625384006e-09,5.854501328173001e-10
1847,1.4561703842730367e-08,0.0
1848,4.82713291560799e-09,0.0
1849,7.54147322368226e-09,0.0
1850,1.0183494048021657e-08,0.0
1851,2.579775504329973e-09,0.0
1852,8.463708844885787e-09,0.0
1853,1.3735443005202796e-08,0.0
1854,1.0391328686409906e-08,5.195664454227256e-10
1855,1.4859423913549108e-08,0.0
1856,9.318940286107136e-09,0.0
1857,1.0251168802710708e-08,0.0
1858,1.468102794888182e-08,0.0
1859,7.638259802433822e-09,0.0
1860,1.1900677776566226e-08,0.0
1861,1.4619487842537637e-08,0.0
1862,5.873382225018986e-09,4.517986262886353e-10
1863,1.6981710260211003e-08,0.0
1864,7.671564716815737e-09,0.0
1865,1.2708479601997169e-08,0.0
1866,9.244664589402873e-09,0.0
1867,1.455843445796745e-08,0.0
1868,3.457911734727759e-09,0.0
