year,durent_VERB accompagner_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,2.2650237241350624e-08
1819,2.070210003424222e-09
1820,0.0
1821,2.9584463767662328e-09
1822,0.0
1823,0.0
1824,0.0
1825,2.641632912414593e-09
1826,0.0
1827,0.0
1828,5.503380862137419e-09
1829,8.573175946935407e-09
1830,3.1310507520032616e-09
1831,0.0
1832,2.705993873419743e-09
1833,5.791814139399776e-09
1834,4.667265685043276e-09
1835,2.0420337421001022e-08
1836,0.0
1837,6.957890930081589e-10
1838,1.009945904684173e-08
1839,6.9914751765765e-10
1840,5.095750932326837e-09
1841,1.0272877659645019e-08
1842,8.720745015011744e-09
1843,4.7255288571079745e-09
1844,1.4270259640625227e-08
1845,1.0044410636567136e-08
1846,7.025401593807601e-09
1847,3.775256551818984e-09
1848,7.24069959545659e-09
1849,9.217356655710773e-09
1850,3.394498016007219e-09
1851,0.0
1852,2.6042181744401205e-09
1853,7.763511611358354e-09
1854,3.63696517347023e-09
1855,4.2455496895854594e-09
1856,5.177189343896771e-09
1857,3.905207268672939e-09
1858,5.872411001917044e-09
1859,1.018434669930457e-09
1860,2.746310290291376e-09
1861,3.772770984511453e-09
1862,4.9697850279528666e-09
1863,8.990317823531768e-09
1864,6.712618905169165e-09
1865,1.1296426905005319e-08
1866,2.432806400776144e-09
1867,1.067618526917613e-08
1868,4.939874287401835e-09
1869,4.395167341186834e-09
1870,9.17447806614291e-09
1871,0.0
1872,3.0236697590169115e-09
1873,8.979006871356887e-09
1874,6.572069999322139e-09
1875,9.154443425529735e-09
1876,1.209202959984168e-09
1877,8.040260901509555e-09
1878,3.0195443923020093e-09
1879,1.221865053580018e-09
1880,0.0
1881,5.5780060570498335e-09
1882,1.9966155395678697e-09
1883,4.423537092179686e-09
1884,3.300848483434038e-09
1885,6.445635691854079e-10
1886,5.162771099520569e-09
1887,3.9173548849191775e-09
1888,1.9021844099853524e-09
1889,0.0
1890,3.9326319978272295e-09
1891,6.374220040683554e-10
1892,4.387958441043338e-09
1893,3.079208221734575e-09
1894,6.301539290376468e-09
1895,6.018614495673091e-09
1896,1.7691086373616827e-09
1897,3.4960281336537946e-09
1898,0.0
1899,9.39688327150634e-09
1900,3.114631885736685e-09
1901,2.235495566438317e-09
1902,9.820567692386817e-10
1903,0.0
1904,5.374625189347171e-10
1905,0.0
1906,0.0
1907,5.65712765521198e-09
1908,4.4202499438483756e-09
1909,0.0
1910,2.137660271017694e-09
1911,3.7242617878519013e-09
1912,6.772247651554153e-09
1913,4.772690687104841e-09
1914,4.68772043404897e-09
1915,1.1780761921542648e-09
1916,5.493730803607377e-09
1917,1.0966424435210342e-09
1918,6.89182577673364e-09
1919,4.603924352863942e-09
