year,voulaient_VERB entrer_VERB,voulaient_VERB rentrer_VERB
1800,3.458580977167003e-08,3.144164395507687e-08
1801,6.191074675143682e-08,4.7623651688866175e-09
1802,3.5805442166747525e-08,0.0
1803,1.755305234496518e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,3.695740957709859e-08,2.842877711017877e-09
1806,2.5935023018064385e-08,5.76333825108577e-09
1807,5.124519120158766e-08,2.8469551160981155e-09
1808,3.852325747288887e-08,2.2660739951163578e-09
1809,4.969867006821005e-08,0.0
1810,2.106114038724627e-08,2.3401267590372754e-09
1811,5.0141537144554604e-08,3.259199843341776e-08
1812,5.3344164641089264e-09,1.8670457180292033e-08
1813,1.1502966401621961e-07,1.1502966579257645e-08
1814,5.97868634599763e-08,0.0
1815,8.90083740046066e-08,4.045835311217161e-08
1816,5.0987285504788815e-08,0.0
1817,4.670620157298799e-08,9.341240669868967e-09
1818,5.48374146092101e-08,1.7881765401739358e-08
1819,4.0369094733705424e-08,9.315945348475907e-09
1820,3.9159388620646496e-08,4.746592452420373e-09
1821,9.2697987952306e-08,1.3806083387635226e-08
1822,9.323822780515911e-08,1.7043547018147365e-08
1823,7.510841726343642e-08,3.9530746676064155e-08
1824,6.82110155025839e-08,3.115811608722652e-08
1825,1.0654586191094495e-07,4.842993561737785e-08
1826,7.222546827279075e-08,7.0463874735082754e-09
1827,4.516463647519231e-08,2.1199728195142598e-08
1828,6.879226077671774e-08,3.3020285172824515e-08
1829,5.401101077495696e-08,3.086343269842473e-08
1830,1.0019362406410437e-07,3.444155893816969e-08
1831,7.327867024287116e-08,2.0268567268999504e-08
1832,9.065079353831607e-08,4.19429042608499e-08
1833,6.602667923516492e-08,3.359252431778259e-08
1834,4.85395617033646e-08,4.1071935186209885e-08
1835,1.2025310525132227e-07,2.4201881387853064e-08
1836,9.879502727017098e-08,3.49478987970997e-08
1837,7.51452233771488e-08,3.1310509740478665e-08
1838,1.1235648145202504e-07,3.029837714052519e-08
1839,8.180025901083354e-08,3.635567225046543e-08
1840,1.598791925516707e-07,2.4204817705708592e-08
1841,8.410918894696806e-08,2.760835826620678e-08
1842,1.3081117344881932e-07,3.3541326160957396e-08
1843,7.797122947295065e-08,2.8943864194275193e-08
1844,9.330554462394502e-08,3.896878553177885e-08
1845,8.426144404438674e-08,3.0691253982695343e-08
1846,1.0596647115335145e-07,3.102885770545072e-08
1847,8.629157832729106e-08,4.530307862182781e-08
1848,8.849743693417622e-08,2.976732105253177e-08
1849,1.4328799124996294e-07,1.1731181359664333e-08
1850,8.350465208195601e-08,5.159636984330973e-08
1851,1.0061124555704737e-07,3.0957306051959677e-08
1852,7.161600024119252e-08,9.114764054629632e-09
1853,8.062107781370287e-08,1.3735443005202796e-08
1854,7.014146774508845e-08,2.909572138776184e-08
