year,voulant_VERB envoyer_VERB,voulant_VERB renvoyer_VERB
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,3.213406074564773e-08,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,1.1387820464392462e-08,0.0
1808,3.852325747288887e-08,0.0
1809,4.518061036407062e-09,0.0
1810,1.6380887757350138e-08,4.680253518074551e-09
1811,2.757784400841956e-08,0.0
1812,6.401299401659344e-08,2.6672082320544632e-09
1813,4.888760685162197e-08,2.8757416448144113e-09
1814,1.8880061958270744e-08,2.2026739543434815e-08
1815,0.0,0.0
1816,2.3176038865813098e-08,0.0
1817,3.113746815941454e-09,1.556873407970727e-09
1818,2.1458118837358597e-08,4.768470951432846e-09
1819,1.449147024601416e-08,0.0
1820,6.882559233645225e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,2.606660132187244e-08,7.017931125119503e-09
1823,6.226093063332883e-08,0.0
1824,3.2842340402794434e-08,0.0
1825,1.4969252504215547e-08,6.163809906922779e-09
1826,6.1655889282974385e-09,8.807984341885344e-10
1827,4.7008093417844066e-08,4.608636583469661e-09
1828,3.5771975603893225e-08,0.0
1829,2.4004892296147773e-08,8.57317605795771e-10
1830,2.6092090266160994e-08,2.0873671680021744e-09
1831,2.182768810143898e-08,0.0
1832,2.705993829010822e-08,5.411987746839486e-09
1833,2.548398292390175e-08,2.3167257001688313e-09
1834,3.9205030333278046e-08,0.0
1835,3.6302822081779595e-08,7.563087933704082e-10
1836,3.2259599436201825e-08,4.704525213838906e-09
1837,2.7831564608504777e-08,6.957890930081589e-10
1838,3.7241754569095065e-08,3.787297142565649e-09
1839,2.586845759822154e-08,2.0974426639952526e-09
1840,2.0383003729307347e-08,0.0
1841,1.1556987367100646e-08,8.988767952189392e-09
1842,1.8783142152756227e-08,6.037438549100216e-09
1843,1.594865928211675e-08,5.906911071384968e-10
1844,2.360081374774836e-08,5.488561272137815e-10
1845,2.17628883802945e-08,1.1160455892778032e-09
1846,1.9319854160926297e-08,0.0
1847,2.6426795862732888e-08,0.0
1848,2.4135664355995345e-08,0.0
1849,9.217356655710773e-09,3.3517659758786067e-09
1850,1.765138968323754e-08,1.2220192857625989e-08
1851,1.3543821175687754e-08,6.449438760824933e-10
1852,2.4089017225392695e-08,3.2552727180501506e-09
1853,2.2096148244443725e-08,8.957897534855874e-09
1854,2.8576154775805662e-08,1.0391328908454511e-09
1855,1.4859423913549108e-08,2.653468555990912e-09
1856,2.019103817474388e-08,8.801221973442352e-09
1857,3.026535466688074e-08,4.881508974818871e-09
1858,1.9574704523961373e-08,1.0766087576996597e-08
1859,1.0693564256314403e-08,0.0
1860,2.197048232233101e-08,4.577183909670879e-10
1861,2.075024119196911e-08,0.0
1862,2.0782737308877586e-08,4.066187830886747e-09
1863,1.5982786205626098e-08,8.990317823531768e-09
1864,1.8699439108260663e-08,1.9178911792039344e-09
1865,1.97687466396701e-08,9.41368871743009e-10
1866,1.216403244796993e-08,2.919367858567057e-09
1867,1.2132028714972876e-08,7.76449837758264e-09
1868,1.3337659976464522e-08,5.433861360870651e-09
1869,1.1720445725060813e-08,7.813630631403612e-09
1870,2.2362790730312554e-08,2.8670243956696595e-09
1871,2.1242354542039266e-09,0.0
1872,1.3908880269752899e-08,6.652073114565837e-09
1873,1.3169209889252187e-08,1.1972008939764578e-09
1874,2.4495896866483235e-08,5.974609140757536e-10
1875,1.5448122780981066e-08,5.721527140956084e-10
1876,1.0882827083946722e-08,3.02300739996042e-09
1877,1.5462040536817767e-08,6.184815992682502e-10
1878,7.850815109122777e-09,6.039088673581716e-10
1879,1.6495178334352545e-08,1.832797580370027e-09
1880,2.0537108014195837e-08,6.417846254436199e-10
1881,1.1156012114099667e-08,4.183504653809678e-09
1882,1.2645232194685718e-08,1.3310770263785798e-09
1883,1.3270612164717477e-08,6.319338941018771e-10
1884,6.601696966868076e-09,5.281357573494461e-09
1885,9.66845359329227e-09,6.445635691854079e-10
1886,8.38950331427668e-09,0.0
1887,2.0239665943222462e-08,5.876032105334161e-09
1888,1.2047168373996442e-08,1.268122939990235e-09
1889,6.265136742733546e-10,1.8795409673089125e-09
1890,7.865263995654459e-09,1.9663159989136147e-09
1891,1.0836174402228949e-08,0.0
1892,1.692498341476778e-08,6.268512375839919e-10
1893,8.621783287310336e-09,6.158416554491453e-10
1894,8.82215478448245e-09,0.0
1895,1.0833506536300774e-08,6.018614495673091e-10
1896,1.7691086373616827e-09,0.0
1897,2.330685422435863e-09,5.826713556089658e-10
1898,5.6583546736987955e-09,0.0
1899,8.291367592505594e-09,4.9748205555033564e-09
1900,6.7483690857628176e-09,1.038210628578895e-09
1901,3.353243460679778e-09,0.0
1902,9.820567470342212e-09,0.0
1903,3.2401321625741275e-09,5.400220270956879e-10
1904,2.1498500757388683e-09,0.0
1905,8.773290316455018e-09,3.6125313851442797e-09
1906,4.115347618238729e-09,1.5432553013283723e-09
1907,3.599990305858114e-09,0.0
1908,4.4202499438483756e-09,4.911389073214423e-10
1909,8.801573692096554e-09,3.300590023513905e-09
1910,9.085056262847502e-09,4.275320542035388e-09
1911,2.6601871816467337e-09,0.0
1912,3.646594803896619e-09,5.209421227725386e-10
1913,1.0075680734189518e-08,1.060597942803554e-09
1914,9.37544086809794e-09,4.018046340092951e-09
1915,0.0,0.0
1916,1.538244731591476e-08,1.0987462051303964e-09
1917,4.386569774084137e-09,0.0
1918,4.594550517822427e-09,1.1486376294556067e-09
1919,1.5653341733923298e-08,0.0
1920,3.028892692213958e-09,1.514446346106979e-09
1921,5.300923366924337e-09,7.572747429129834e-10
1922,1.1066902949607993e-08,2.951174193910333e-09
1923,4.246379248229459e-09,0.0
1924,9.02413699321869e-09,0.0
1925,9.898360353588487e-09,0.0
1926,3.343841648018042e-09,0.0
1927,5.574612327308159e-09,2.2298449753321847e-09
1928,5.713020723163709e-09,3.4278122562625413e-09
