year,devraient_VERB accompagner_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,1.600324850414836e-08
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,3.113746815941454e-09
1818,0.0
1819,0.0
1820,1.779972080839798e-08
1821,1.0847637454958203e-08
1822,2.0051231786055723e-09
1823,0.0
1824,4.210556348027694e-09
1825,7.924898959288385e-09
1826,1.7615968683770689e-09
1827,2.7651818612639545e-09
1828,3.668920500743411e-09
1829,4.286587973467704e-09
1830,9.39315203396518e-09
1831,4.677361609140007e-09
1832,5.411987746839486e-09
1833,0.0
1834,3.733812370398937e-09
1835,1.5126175867408165e-09
1836,6.720750067579218e-10
1837,6.957891152126194e-09
1838,6.312161904276081e-10
1839,8.38977065598101e-09
1840,1.9109065441114126e-09
1841,1.3483152372373297e-08
1842,1.0062397137744483e-08
1843,7.678984559333912e-09
1844,1.0977122322231025e-08
1845,7.812318791877715e-09
1846,1.3465353276842507e-08
1847,5.393223645455691e-10
1848,8.04522137798358e-09
1849,1.005529792763582e-08
1850,1.2220192857625989e-08
1851,2.579775504329973e-09
1852,6.510545436100301e-10
1853,3.5831591027601917e-09
1854,5.195664343204953e-09
1855,2.1227748447927297e-09
1856,4.141751386299575e-09
1857,2.4407544874094356e-09
1858,1.3702292633865909e-08
1859,7.129042689513199e-09
1860,3.661747127736703e-09
1861,1.8863854922557266e-09
1862,1.8071945051545413e-09
1863,4.994620828036034e-10
1864,6.233146443435089e-09
1865,8.001635798393636e-09
1866,2.919367858567057e-09
1867,0.0
1868,6.915823469455518e-09
1869,6.348574999037737e-09
1870,1.0894693147633916e-08
1871,4.248470908407853e-09
1872,7.256807155187062e-09
1873,1.2570609442263958e-08
1874,5.974609140757536e-10
1875,8.010138330405425e-09
1876,6.04601479992084e-10
1877,5.566334504436554e-09
1878,3.0195443923020093e-09
1879,7.94212251520321e-09
1880,4.492492600149944e-09
1881,1.045876096839038e-08
1882,0.0
1883,3.159669414998234e-09
1884,4.621187876807653e-09
1885,6.445635580831777e-09
1886,2.5813855497602844e-09
1887,9.140494583448344e-09
1888,1.0779045211961602e-08
1889,3.132568426877924e-09
1890,5.898947996740844e-09
1891,8.92390783491237e-09
1892,1.8805537127519756e-09
1893,1.847525021858587e-09
1894,3.780923574225881e-09
1895,1.2037228991346183e-09
1896,7.076434549446731e-09
1897,6.992056267307589e-09
1898,8.487532454637403e-09
1899,9.39688327150634e-09
1900,5.710158568206225e-09
1901,6.147612641171918e-09
1902,4.910283735171106e-09
1903,2.1600881083827517e-09
1904,3.2247751136083025e-09
1905,7.741138396966107e-09
1906,4.629765903985117e-09
1907,1.0285686968813934e-08
1908,1.4243028090277221e-08
1909,1.6502950117569526e-09
1910,4.809735720812114e-09
1911,5.852411444351446e-09
1912,5.2094213387476884e-09
1913,3.181793939432964e-09
1914,4.018046340092951e-09
1915,5.890381071793627e-09
1916,7.69122365795738e-09
1917,9.869782324756216e-09
1918,1.4932290071101306e-08
1919,4.603924352863942e-09
1920,1.2115570768855832e-08
1921,3.7863738810983705e-09
1922,5.902348387820666e-09
1923,0.0
1924,9.02413699321869e-09
1925,7.698724324711748e-09
1926,8.916910765321973e-09
1927,5.574612327308159e-09
1928,5.713020723163709e-09
1929,1.6710609784809094e-08
1930,1.470504518152893e-08
1931,1.3686427990933225e-08
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,1.1981580172459871e-08
1935,3.590485242455088e-09
1936,0.0
1937,2.5182236296217297e-09
1938,1.1668692678767911e-08
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,1.47255123650325e-08
1950,1.1698897850465073e-08
1951,1.0661401539380222e-08
1952,1.0544803918932644e-09
1953,7.54167928107563e-09
1954,8.795282724349818e-09
1955,1.220129064449793e-08
1956,8.72114158667614e-10
1957,4.417518795207798e-09
1958,7.445019267748876e-09
1959,9.300897829689347e-09
1960,1.5225833038812198e-08
1961,9.72742331128984e-09
1962,1.0781326054143392e-08
1963,6.466053470433053e-09
1964,9.125952438182594e-09
1965,8.755269398363907e-09
1966,9.970334780007306e-09
1967,4.437302081328198e-09
1968,3.1439910674890825e-09
1969,4.087581828571274e-09
1970,9.657322941336588e-09
1971,8.735275613958038e-09
1972,9.234264020108185e-09
1973,1.543697081274331e-08
1974,1.2938814464291681e-08
1975,7.4249242310031605e-09
1976,7.998937512354587e-09
1977,5.876781727920388e-09
1978,8.910887139279566e-09
1979,7.022368020415115e-09
1980,8.527726080842513e-09
1981,6.958104314946922e-09
1982,1.0552754226011984e-08
1983,1.0736036948344463e-08
1984,9.278413592994639e-09
1985,1.0226449020933615e-08
1986,1.558566253834215e-08
1987,1.711028652096047e-08
1988,1.4991384134077634e-08
1989,1.4817929994137558e-08
1990,1.3076762783725826e-08
1991,1.6998249918742658e-08
