year,doit_VERB aller_VERB,doit_VERB râler_VERB
1800,8.143385912262602e-07,0.0
1801,9.834284355747513e-07,0.0
1802,7.81006178840471e-07,0.0
1803,6.943207608856028e-07,0.0
1804,6.995338139859086e-07,0.0
1805,9.409925496584037e-07,0.0
1806,1.132495981437387e-06,0.0
1807,8.455456850242626e-07,0.0
1808,8.361813002011331e-07,0.0
1809,6.573778819074505e-07,0.0
1810,7.207590329016966e-07,0.0
1811,6.844319386800635e-07,0.0
1812,8.668426971780718e-07,0.0
1813,8.627225156487839e-07,0.0
1814,7.992559858394088e-07,0.0
1815,6.770031291125633e-07,0.0
1816,1.3882447547075571e-06,0.0
1817,9.061002970156551e-07,0.0
1818,8.4521150256478e-07,0.0
1819,8.560318178751913e-07,0.0
1820,8.959192996371712e-07,0.0
1821,8.066697319009108e-07,0.0
1822,8.221005032282847e-07,0.0
1823,7.125417482711782e-07,0.0
1824,9.330593115919328e-07,0.0
1825,8.576501500101585e-07,0.0
1826,6.667644356639357e-07,0.0
1827,8.231024821725441e-07,0.0
1828,9.227335340256104e-07,0.0
1829,7.150028977775946e-07,0.0
1830,7.869374485380831e-07,0.0
1831,1.0321377885702532e-06,0.0
1832,7.820322025509086e-07,0.0
1833,7.390354994640802e-07,0.0
1834,7.570304774162651e-07,0.0
1835,7.910990120763017e-07,0.0
1836,8.864669212016452e-07,0.0
1837,9.18441628527944e-07,0.0
1838,7.404165671687224e-07,0.0
1839,7.78850335336756e-07,0.0
1840,7.325141950786929e-07,0.0
1841,8.154096917678544e-07,0.0
1842,7.701088406975032e-07,0.0
1843,8.062933716246334e-07,0.0
1844,8.792675316726672e-07,0.0
1845,9.246437571164279e-07,0.0
1846,8.120193228933203e-07,0.0
1847,8.0898354326564e-07,0.0
1848,7.433785071953025e-07,0.0
1849,8.639177053737512e-07,0.0
1850,6.931564939804957e-07,0.0
1851,6.855753440504486e-07,7.094382858952031e-09
1852,7.024878527772671e-07,6.510545436100301e-10
1853,7.876977861087653e-07,0.0
1854,9.191130629915278e-07,0.0
1855,8.167376108758617e-07,1.0613874223963649e-09
1856,1.036473236126767e-06,0.0
1857,1.0051027174995397e-06,0.0
1858,7.952223768370459e-07,0.0
1859,9.267755558539648e-07,0.0
1860,7.735440590295184e-07,0.0
1861,1.0134606327483198e-06,0.0
1862,9.92601599136833e-07,0.0
1863,8.515828540112125e-07,0.0
1864,9.253824941879429e-07,0.0
1865,8.54292238727794e-07,0.0
1866,8.500225590069022e-07,0.0
1867,7.521857696701773e-07,0.0
1868,7.587646564388706e-07,0.0
1869,8.428954174632963e-07,0.0
1870,8.463455856144719e-07,5.160643912205387e-09
1871,7.00997702551831e-07,0.0
1872,7.698262720623461e-07,0.0
1873,7.452575800925842e-07,0.0
1874,7.510083719353133e-07,0.0
1875,7.695454087297549e-07,0.0
1876,7.327769822040864e-07,0.0
1877,7.35993125999812e-07,1.8554447978047506e-09
1878,7.053655508570955e-07,0.0
1879,7.245659503496427e-07,0.0
1880,7.662908387828793e-07,0.0
1881,7.920768325675454e-07,0.0
1882,8.246022389357677e-07,0.0
1883,7.99396389083995e-07,0.0
1884,7.341087098211574e-07,0.0
1885,7.238448915813933e-07,0.0
1886,7.537645956290362e-07,0.0
1887,7.136114845707198e-07,0.0
1888,7.684824936404766e-07,0.0
1889,7.624671525263693e-07,0.0
1890,7.871818183957657e-07,0.0
1891,7.120003715499479e-07,0.0
1892,8.10518656635395e-07,0.0
1893,7.303881943698798e-07,0.0
1894,7.479927148779097e-07,1.2603078580752936e-09
1895,7.824198746675393e-07,0.0
1896,7.294624992937315e-07,5.89702897624278e-10
1897,7.568900741716789e-07,5.826713556089658e-10
1898,7.797212902005413e-07,5.6583548957434e-10
1899,7.738609610896674e-07,0.0
1900,7.900782748038182e-07,5.191053142894475e-10
1901,8.276922471850412e-07,0.0
1902,6.889128485454421e-07,4.910283846193408e-10
1903,8.208334634218772e-07,0.0
1904,7.900699188212457e-07,0.0
1905,7.916604545243899e-07,0.0
1906,8.318146456076647e-07,5.144184522798412e-10
1907,8.069121122389333e-07,5.142843373384665e-10
1908,7.381817681562097e-07,0.0
1909,8.460512503916107e-07,0.0
1910,8.374283879675204e-07,1.068830135508847e-09
1911,9.04995658856933e-07,0.0
1912,8.564288691559341e-07,0.0
1913,8.373420996576897e-07,0.0
1914,8.163330562638293e-07,6.696743715117748e-10
1915,7.692837584727386e-07,0.0
1916,9.646992111811414e-07,1.0987462051303964e-09
1917,1.0812894970513298e-06,0.0
1918,8.201272407859506e-07,0.0
1919,1.0506155376788229e-06,1.8415696745321952e-09
1920,9.079105893761152e-07,7.572231730534895e-10
1921,8.966133009380428e-07,0.0
1922,8.573160812375136e-07,7.377935484775833e-10
1923,8.726309488338302e-07,0.0
1924,8.585822115492192e-07,0.0
1925,7.654732030459854e-07,1.0998177923937646e-09
1926,7.423328156619391e-07,0.0
1927,8.506858648615889e-07,0.0
1928,7.803986363796866e-07,2.2852082448565625e-09
1929,7.486353297281312e-07,0.0
1930,7.783170303810039e-07,3.1510811737689437e-09
1931,8.200451588891156e-07,0.0
1932,7.912785235930642e-07,0.0
1933,8.190052653844759e-07,0.0
1934,7.823971941434138e-07,0.0
1935,8.377799076697556e-07,0.0
1936,6.704967177029175e-07,1.2124714565686645e-09
1937,7.000661526035401e-07,2.5182236296217297e-09
1938,7.001215749369294e-07,0.0
1939,6.836440320512338e-07,0.0
1940,6.719824909851013e-07,0.0
1941,8.057602371991379e-07,0.0
1942,7.97997699919506e-07,0.0
1943,7.54841153138841e-07,0.0
1944,8.25788845304487e-07,0.0
1945,8.801156354820705e-07,2.178504043826024e-09
1946,9.424587688044994e-07,0.0
1947,8.27308440420893e-07,0.0
1948,8.240891133937112e-07,0.0
1949,8.648784159959177e-07,9.817008317369869e-10
1950,9.114504564422532e-07,0.0
1951,9.083514100893808e-07,2.1322803522849654e-09
1952,7.370817911578342e-07,0.0
1953,8.42513316001714e-07,1.0773827385790469e-09
1954,8.629149306216277e-07,9.772536113672459e-10
1955,9.263595188713225e-07,1.8771215692936494e-09
