year,peut_VERB apporter_VERB,peut_VERB rapporter_VERB
1800,4.0559720559940615e-07,1.0061326065624598e-06
1801,5.286225359668606e-07,1.100106373996823e-06
1802,5.102275508761522e-07,1.5060663827171084e-06
1803,4.310249721584114e-07,1.2423661246430129e-06
1804,6.05603474923555e-07,1.1889602546943934e-06
1805,7.050336989777861e-07,9.580497817296418e-07
1806,7.492339477721544e-07,1.2996327996006585e-06
1807,1.0249038950860268e-06,9.224134487340052e-07
1808,3.9429687603842467e-07,1.0718530347730848e-06
1809,3.975893605456804e-07,1.1182200978510082e-06
1810,3.2761775514700275e-07,8.822277663966815e-07
1811,3.6603321973416314e-07,7.195310445240466e-07
1812,4.3475495203892933e-07,8.695099040778587e-07
1813,5.86651310641173e-07,9.691249260868062e-07
1814,2.9578765747828584e-07,6.765355919924332e-07
1815,2.751168040049379e-07,1.1813839364549494e-06
1816,5.376841158977186e-07,1.4461847968050279e-06
1817,3.035903262116335e-07,8.640647592983441e-07
1818,5.316845204106357e-07,1.4007383697389741e-06
1819,5.247982244327432e-07,1.0527018048378523e-06
1820,5.814575843032799e-07,8.887994340511796e-07
1821,6.972072128519358e-07,9.693842457636492e-07
1822,7.739775469417509e-07,1.192045715470158e-06
1823,6.522573130496312e-07,8.943831630858767e-07
1824,4.943192948303476e-07,7.52005348658713e-07
1825,3.795146028551244e-07,7.396571959361609e-07
1826,3.7610092817885743e-07,8.984143846646475e-07
1827,6.8392165530895e-07,6.47052559088479e-07
1828,4.283464818399807e-07,8.777892048783542e-07
1829,5.529698796635785e-07,9.79914034360263e-07
1830,8.704321317054564e-07,9.153105224868341e-07
1831,7.702055881964043e-07,8.060653726715827e-07
1832,4.3295901264173153e-07,8.009741918613145e-07
1833,5.78023048092291e-07,7.807365705048142e-07
1834,5.404693297350605e-07,7.122247325241915e-07
1835,4.401717319524323e-07,7.600903586535424e-07
1836,6.115882342783152e-07,7.352500688284636e-07
1837,5.761133934356621e-07,7.827627541701077e-07
1838,6.230104077076248e-07,7.820768814781331e-07
1839,4.810135010302474e-07,6.858637107143295e-07
1840,5.051163043390261e-07,8.866606435731228e-07
1841,4.815411216441134e-07,7.563406256849703e-07
1842,5.433694809653389e-07,7.137593911465956e-07
1843,5.723796903112088e-07,6.798854883527383e-07
1844,5.269018856779439e-07,7.168060847106972e-07
1845,5.54674670638633e-07,6.054547156963963e-07
1846,5.901337090108427e-07,9.618945568945492e-07
1847,5.344684836927627e-07,5.991871603328036e-07
1848,6.580991112059564e-07,6.774076837245957e-07
1849,5.103063926981122e-07,5.421481432676956e-07
1850,5.879270474906662e-07,4.779453206538165e-07
1851,4.824180450668791e-07,5.643258873533341e-07
1852,4.459723754735023e-07,5.957148800916912e-07
1853,5.082113716525782e-07,6.742311029483972e-07
1854,5.169686119188555e-07,5.471034683068865e-07
1855,4.71256015543986e-07,5.986224778098403e-07
1856,5.275555849948432e-07,5.430871397038572e-07
1857,5.140229291100695e-07,5.159755005479383e-07
1858,5.603259296549368e-07,5.90177307913109e-07
1859,5.127818667460815e-07,4.817196099793364e-07
1860,5.37819119017513e-07,5.414808583736885e-07
1861,5.819499051540333e-07,5.734611931984546e-07
1862,5.751396656705765e-07,4.920087235404935e-07
1863,5.748808575845032e-07,5.748808575845032e-07
1864,5.173511681277887e-07,5.211869051890972e-07
1865,5.747057230109931e-07,6.33541276329197e-07
1866,4.977521825821896e-07,5.556530027206463e-07
1867,4.911045152766746e-07,5.406031959864777e-07
1868,5.300485099724028e-07,5.670975156135682e-07
1869,5.396288429437845e-07,4.780965241479862e-07
1870,4.5757710154248343e-07,4.770728310177219e-07
1871,4.7476663667112007e-07,3.781139241709752e-07
1872,5.35189542461012e-07,4.78949289117736e-07
