year,voulait_VERB avoir_VERB,voulait_VERB ravoir_VERB
1800,3.144164395507687e-07,6.288328968651058e-09
1801,3.1907845254863787e-07,4.7623651688866175e-09
1802,2.304975339484372e-07,1.7902721083373763e-08
1803,2.7304750460643845e-07,0.0
1804,3.806650568094483e-07,1.4831105232815389e-08
1805,2.899735136452364e-07,1.421438877713399e-08
1806,3.688536480694893e-07,0.0
1807,6.405649060070573e-07,0.0
1808,5.325273946255038e-07,0.0
1809,5.534624847314262e-07,0.0
1810,3.9080117630874156e-07,0.0
1811,6.418116527129314e-07,1.2535384286138651e-08
1812,4.56092607237224e-07,0.0
1813,5.061305046183406e-07,5.751483289628823e-09
1814,7.583491878904169e-07,6.293354282149721e-09
1815,5.340502866602037e-07,0.0
1816,3.870398472827219e-07,2.3176038865813098e-09
1817,5.153250981493329e-07,6.227493631882908e-09
1818,5.149948378857516e-07,4.768470951432846e-09
1819,4.978854803994182e-07,1.035105001712111e-09
1820,6.49096534743876e-07,9.493184904840746e-09
1821,7.277778308889538e-07,9.86148829262845e-10
1822,6.987854135331872e-07,1.804610860745015e-08
1823,6.967294439164107e-07,1.087095569118901e-08
1824,7.39373717806302e-07,2.7789671008804362e-08
1825,7.370155685748614e-07,1.584979791857677e-08
1826,7.275394864336704e-07,7.927186018719112e-09
1827,7.567381317130639e-07,7.373818444733615e-09
1828,6.86088128531992e-07,6.420610709767516e-09
1829,1.1179421335327788e-06,1.7146351893870815e-08
1830,8.04680041710526e-07,1.1480519646056564e-08
1831,6.033797035343014e-07,1.5591206548037917e-08
1832,8.172101502168516e-07,2.705993829010822e-08
1833,6.370995606630458e-07,1.1583628500844156e-09
1834,8.699782938492717e-07,6.534171426153534e-09
1835,7.888300501690537e-07,4.5378527602224494e-09
1836,5.867214554200473e-07,8.064899859050456e-09
1837,8.092027314887673e-07,2.852735292435682e-08
1838,7.549345468760293e-07,1.64116205070286e-08
1839,7.040415539449896e-07,5.5931801412612e-09
1840,8.554491728318681e-07,2.8663599493938818e-08
1841,7.274481390595611e-07,1.4125206782011901e-08
1842,8.412164334004046e-07,9.391571076378114e-09
1843,7.726239914518374e-07,1.8902115428431898e-08
1844,9.149431434707367e-07,5.488561161115513e-09
1845,1.0747519354481483e-06,2.7901139176833567e-09
1846,8.664662232149567e-07,3.33706573485415e-08
1847,8.645337743473647e-07,7.550513103637968e-09
1848,7.152202101678995e-07,6.43617736884039e-09
1849,7.348746748903068e-07,3.3517659758786067e-09
1850,6.483491006292752e-07,6.1100964288129944e-09
1851,7.732876952104561e-07,6.449438760824933e-10
1852,7.610827879034332e-07,7.161600201754936e-09
1853,6.993132046773098e-07,1.6721408258035808e-08
1854,6.91023387844325e-07,7.79349651480743e-09
1855,7.833039035176625e-07,1.4328730202350926e-08
1856,7.869327873777365e-07,3.6240324075009767e-09
1857,7.322263400055817e-07,7.322263684272912e-09
1858,7.384556965917e-07,2.936205500958522e-09
1859,8.106740096991416e-07,1.0693564256314403e-08
1860,8.595951612733188e-07,2.288591982591015e-09
1861,7.620997166668531e-07,1.9335450573976232e-08
1862,7.418533414238482e-07,6.776979422085105e-09
1863,7.631780363226426e-07,6.493007020935693e-09
1864,6.64069830236258e-07,4.315255264231155e-09
1865,6.867285833322967e-07,3.765475486972036e-09
1866,6.553980824719474e-07,3.8924903300596725e-09
1867,7.560680046481139e-07,4.85281148598915e-10
1868,6.490994337582379e-07,4.939874287401835e-09
1869,6.382759352163703e-07,8.30198221279943e-09
1870,7.683625540266803e-07,1.3188312664169644e-08
1871,6.255873472582607e-07,2.1242354542039266e-09
1872,6.646025667578215e-07,7.861540751719076e-09
1873,7.267009323186358e-07,6.584604861359367e-09
1874,7.456312118847563e-07,4.779687312606029e-09
1875,7.066086027407437e-07,9.7265964171811e-09
1876,6.336223350444925e-07,2.418405919968336e-09
1877,5.807542038382962e-07,6.184816214727107e-09
1878,6.19006584656745e-07,6.6429977074733415e-09
1879,7.636656391696306e-07,3.0546627449723474e-09
1880,5.949343631073134e-07,3.8507077526617195e-09
1881,5.794153707938676e-07,3.4862537301449947e-09
1882,6.35589287867333e-07,1.3976308999019693e-08
1883,6.016010729581467e-07,8.847074184359371e-09
1884,5.888713872082008e-07,7.922036360241691e-09
1885,5.71727866827132e-07,1.0313017106966527e-08
1886,6.124337232904509e-07,3.2267319927115068e-09
1887,5.601817179012869e-07,7.1818169189441505e-09
1888,6.511811534437584e-07,2.53624587998047e-09
1889,5.488259944286256e-07,1.3783300722991498e-08
1890,5.427032192528713e-07,4.5880703680722945e-09
1891,5.029259568800626e-07,6.374220040683554e-10
1892,4.6825786625959154e-07,6.8953633913793055e-09
1893,4.791248215951782e-07,0.0
1894,4.6316313273564447e-07,0.0
1895,4.760724152674811e-07,4.213029924926559e-09
1896,5.159900524631666e-07,4.1279202278587945e-09
1897,4.4283024180913344e-07,0.0
1898,4.611559347722505e-07,0.0
1899,4.5381418090073566e-07,5.527578395003729e-09
1900,4.656374699152366e-07,2.07642125715779e-09
1901,4.0909569065661344e-07,3.353243460679778e-09
1902,3.604148446356703e-07,1.4730852093691738e-09
1903,4.4929834075446706e-07,5.400220270956879e-09
1904,3.7891106785536977e-07,4.299700151477737e-09
1905,4.5105034018888546e-07,5.160758931310738e-09
1906,4.351980180672399e-07,1.18316245689698e-08
1907,4.4382738906278973e-07,3.0857059130084963e-09
1908,4.5135666937312635e-07,2.4556945366072114e-09
1909,3.8946964764363656e-07,3.300590023513905e-09
1910,4.216534819079243e-07,0.0
1911,4.4318716163616045e-07,1.0108711201439746e-08
1912,4.4905212348567147e-07,2.0837684910901544e-09
1913,3.828758678992017e-07,2.6514948014977335e-09
1914,4.4868181703350274e-07,6.696743715117748e-10
1915,3.0629979619334335e-07,2.3561523843085297e-09
1916,3.955486249651585e-07,1.0987462051303964e-09
1917,3.3337929039589653e-07,0.0
1918,3.9742860735714203e-07,8.040463406189247e-09
1919,3.7015550446994894e-07,3.6831393490643904e-09
1920,3.725538135768147e-07,1.514446346106979e-09
1921,3.483463899556227e-07,0.0
1922,3.600432592065772e-07,7.377935484775833e-10
1923,3.9491325765084184e-07,8.492758496458919e-09
1924,3.2357976920138753e-07,5.156649773851996e-09
1925,4.399271062993648e-07,3.299453377181294e-09
1926,3.655933369373088e-07,1.1146138456652466e-09
1927,4.403943876241101e-07,4.4596899506643695e-09
1928,4.124800909721671e-07,5.713020723163709e-09
1929,3.698614818858914e-07,1.1140406375176326e-09
1930,4.264462916125922e-07,1.0503603542488804e-09
1931,3.2049052833826863e-07,5.7026783295555106e-09
1932,3.78104004994384e-07,4.383814644626227e-09
1933,4.03767302259439e-07,2.2941324395731044e-09
1934,3.546547873156669e-07,1.1981580172459871e-09
1935,3.4708023122220766e-07,0.0
1936,2.570439505689137e-07,4.849885826274658e-09
1937,3.3618286465753044e-07,0.0
1938,3.176477605393302e-07,1.2965214457594243e-09
1939,3.0129280048640794e-07,4.588215141154706e-09
1940,2.510425076707179e-07,0.0
1941,2.7448973582977487e-07,0.0
1942,2.2453167503044824e-07,0.0
1943,3.8322704654092377e-07,8.709705845433291e-09
1944,3.084658715124533e-07,3.2131861615880553e-09
1945,3.7034567412774777e-07,0.0
1946,3.0765639280616597e-07,1.3921104269343232e-09
1947,3.7193117918832286e-07,3.5762612871081956e-09
1948,3.163719384247088e-07,1.4133454406817236e-08
1949,2.7978472871836857e-07,0.0
1950,2.9459951633725723e-07,0.0
1951,2.9638695764333534e-07,0.0
1952,3.1318066362473473e-07,0.0
1953,2.7365521759747935e-07,0.0
1954,3.1565292601953843e-07,6.840775057526116e-09
1955,2.6842837996809976e-07,9.385607846468247e-10
1956,2.389592737017665e-07,0.0
1957,2.738861724083108e-07,2.6505113659425206e-09
1958,2.456856407206942e-07,8.272243445794913e-10
1959,2.7050108997173083e-07,0.0
1960,2.5399458536412567e-07,2.7683333403416555e-09
1961,2.688937570383132e-07,3.47407969059077e-09
1962,2.87924819986074e-07,1.9025869768540815e-09
1963,2.7092764298686234e-07,5.1728425987107585e-09
1964,2.914220829097758e-07,1.2167936658258327e-09
1965,2.768854017176636e-07,2.188817349590977e-09
1966,3.2292805940414837e-07,1.6617224263271169e-09
1967,3.0518776839016937e-07,2.9582012395223956e-09
1968,3.2293280582962325e-07,1.7965663401398047e-09
1969,2.6750953452392423e-07,2.2708788183223305e-09
1970,2.6718592494034965e-07,2.7592350626548523e-09
1971,2.4664308284627623e-07,1.0276794970565106e-09
1972,2.2572646685148356e-07,3.0780880067027283e-09
1973,2.3541380755887076e-07,1.6539611902288698e-09
1974,2.2727309101355786e-07,5.625571675160757e-10
1975,2.3245723923537298e-07,6.8537762132336866e-09
1976,2.1482861711774603e-07,5.713526873840635e-10
1977,1.9628451752851106e-07,1.1753563677885381e-09
1978,2.180197071766088e-07,2.3762365408686037e-09
1979,1.9662630279526638e-07,1.1703946700691858e-09
1980,2.1262464144911064e-07,5.116635559687666e-09
1981,1.9672458506647672e-07,3.1627747087981106e-09
1982,2.1602107835860807e-07,2.483000915987077e-09
1983,2.04616242172051e-07,6.315316047889041e-10
1984,2.0586480786732864e-07,5.799008495621649e-10
1985,2.1956786611099233e-07,6.015558051686298e-10
1986,2.40978323517993e-07,1.7983456945813714e-09
1987,2.2304482172330609e-07,0.0
1988,2.1227801028089743e-07,0.0
1989,2.2446420189226046e-07,0.0
1990,2.0650387000387127e-07,3.2691906959314565e-09
1991,2.0573742176566157e-07,5.861465202094962e-10
1992,2.1598981447823462e-07,5.509944167592096e-10
1993,2.1547516837472358e-07,1.661762283333701e-09
1994,2.3578921570788225e-07,1.0549853213248639e-09
1995,2.2232048024761752e-07,1.626735190995987e-09
