year,put_VERB envoyer_VERB,put_VERB renvoyer_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,3.095537337571841e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,3.213406074564773e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,2.881669125542885e-09,0.0
1807,2.562259560079383e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,2.25903047379461e-08,2.259030518203531e-09
1810,2.3401266702194334e-08,0.0
1811,3.259199843341776e-08,0.0
1812,2.400487453257938e-08,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354459785405e-08,3.776012391654149e-08
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,1.0898113522728181e-08,0.0
1818,4.530047448270125e-08,1.4305412854298538e-08
1819,4.5544620519422097e-08,5.175524897538253e-09
1820,4.2719332071783356e-08,0.0
1821,3.550135829755163e-08,0.0
1822,1.804610860745015e-08,0.0
1823,4.249555374258307e-08,5.929612356680991e-09
1824,3.115811608722652e-08,0.0
1825,3.6982861217893515e-08,8.805443041381977e-10
1826,1.7615968683770689e-09,0.0
1827,7.373818533551457e-08,0.0
1828,7.979902250099258e-08,5.503380862137419e-09
1829,2.2290258527846163e-08,0.0
1830,5.218418053232199e-08,5.218417697960831e-09
1831,2.494592976631793e-08,0.0
1832,6.088486514954639e-08,0.0
1833,4.2859426230279496e-08,1.1583628500844156e-09
1834,5.1339920759119195e-08,0.0
1835,4.159698363537245e-08,3.025235173481633e-09
1836,4.5701099793404865e-08,4.704525213838906e-09
1837,2.5048407792382932e-08,0.0
1838,8.205810786421353e-08,7.574594285131298e-09
1839,4.4046291947097416e-08,0.0
1840,5.923810419972142e-08,1.9109065441114126e-09
1841,5.457466301095337e-08,0.0
1842,6.909512961783548e-08,6.037438549100216e-09
1843,4.548321541619771e-08,5.31621990873532e-09
1844,1.004406726679008e-07,1.0428266250528395e-08
1845,4.51998474204629e-08,1.674068439427856e-09
1846,3.33706573485415e-08,0.0
1847,7.604445073638999e-08,0.0
1848,2.815827571112095e-08,8.045221711050488e-10
1849,4.1897074254393374e-08,4.1897072478036534e-09
