year,doit_VERB accompagner_VERB,doit_VERB raccompagner_VERB
1800,2.1694735607979965e-07,0.0
1801,3.1907845254863787e-07,0.0
1802,4.4756802708434407e-07,0.0
1803,1.735801902214007e-07,0.0
1804,2.2493843232496147e-07,0.0
1805,1.847870549909203e-07,0.0
1806,2.420601958874613e-07,0.0
1807,2.6761378535411495e-07,0.0
1808,3.6257182500776253e-07,0.0
1809,2.1460789412230952e-07,0.0
1810,1.9657065308820165e-07,0.0
1811,1.278609147448151e-07,0.0
1812,1.8670458246106136e-07,0.0
1813,2.01301915581098e-07,0.0
1814,2.517341783914162e-07,0.0
1815,1.8071398244501324e-07,0.0
1816,1.8540831092650478e-07,0.0
1817,2.319741412293297e-07,1.556873407970727e-09
1818,1.3590141634267638e-07,2.384235475716423e-09
1819,1.770029598446854e-07,0.0
1820,1.4358441546846734e-07,0.0
1821,1.8835442006093217e-07,0.0
1822,1.6442010064565693e-07,2.0051231786055723e-09
1823,1.6701740435109969e-07,0.0
1824,1.9536980744305765e-07,0.0
1825,2.3158315798355034e-07,0.0
1826,1.7439809596453415e-07,0.0
1827,1.9909309401100472e-07,0.0
1828,1.5134297370877903e-07,9.172301251858528e-10
1829,1.7317815093065292e-07,0.0
1830,2.3795985271135578e-07,1.0436835840010872e-09
1831,2.3698633810909087e-07,0.0
1832,2.3406846594298258e-07,0.0
1833,1.737544295110638e-07,2.3167257001688313e-09
1834,1.8669061319087632e-07,0.0
1835,1.3159773004645103e-07,7.563087933704082e-10
1836,2.1237569569620973e-07,6.720750067579218e-10
1837,1.4889886301716615e-07,6.957890930081589e-10
1838,1.35711474058553e-07,0.0
1839,1.852740894037197e-07,0.0
1840,1.3694830158783589e-07,0.0
1841,1.9967906439433136e-07,0.0
1842,1.777690243898178e-07,2.683306021822318e-09
1843,1.6539351577193884e-07,0.0
1844,1.756339571556964e-07,0.0
1845,1.6461672203149647e-07,0.0
1846,1.8324588779705664e-07,5.854501328173001e-10
1847,1.9469537448912888e-07,0.0
1848,1.6734061603074224e-07,0.0
1849,1.8686095870634745e-07,0.0
1850,1.2491753409449302e-07,0.0
1851,1.257640604990229e-07,0.0
1852,1.8880581365010585e-07,0.0
1853,2.01851293013533e-07,0.0
1854,1.7405476171461487e-07,5.195664454227256e-10
1855,1.783130869625893e-07,0.0
1856,2.2779632047331688e-07,5.177189232874468e-10
1857,1.8549734193129552e-07,4.881509085841174e-10
1858,1.7274676622491825e-07,9.787352039936081e-10
1859,1.2577667973801e-07,0.0
1860,1.3960411138214113e-07,0.0
1861,1.6977469385892618e-07,0.0
1862,1.9608060597420263e-07,9.035972525772706e-10
1863,1.992853668753014e-07,0.0
1864,1.7452809686346882e-07,9.589455896019672e-10
1865,1.289675424231973e-07,4.706844358715045e-10
1866,1.780814358198768e-07,0.0
1867,1.252025327858064e-07,0.0
1868,1.239908442585147e-07,0.0
1869,1.4259876479627565e-07,0.0
1870,1.5137888453864434e-07,0.0
1871,1.5613130699421163e-07,0.0
1872,1.7295390364324703e-07,6.047339295989218e-10
1873,1.1373408170811672e-07,1.7958012854535355e-09
1874,1.2128457171911577e-07,0.0
1875,1.607749169352246e-07,0.0
1876,1.2636171220492542e-07,6.04601479992084e-10
1877,1.4101379974817974e-07,6.184815992682502e-10
1878,1.7090620474391471e-07,6.039088673581716e-10
1879,1.1852090864294951e-07,6.10932526790009e-10
1880,1.3284942212976603e-07,0.0
1881,1.9662471117953828e-07,1.3945015142624584e-09
1882,1.0715169906916344e-07,6.655385131892899e-10
1883,1.1817164136118663e-07,1.2638677882037541e-09
1884,1.34014442210173e-07,6.601696966868076e-10
1885,1.334246633177827e-07,0.0
1886,1.2584254704961495e-07,0.0
1887,1.5604129544044554e-07,0.0
1888,1.490044496677001e-07,0.0
1889,1.4159209626996017e-07,0.0
1890,1.5599439961988537e-07,0.0
1891,1.4087025590470148e-07,0.0
1892,1.6674242431236053e-07,0.0
1893,1.3425348299733741e-07,0.0
1894,1.5375755424429371e-07,0.0
1895,1.3902999285164697e-07,6.018614495673091e-10
1896,1.4152870164707565e-07,0.0
1897,1.2760501988395845e-07,5.826713556089658e-10
1898,1.6182895024030586e-07,0.0
1899,1.6085253662367904e-07,0.0
1900,1.4690679961404385e-07,0.0
1901,1.1959900803049095e-07,0.0
1902,1.1981092029600404e-07,4.910283846193408e-10
1903,1.1934486110476428e-07,0.0
1904,1.279160812828195e-07,0.0
1905,1.3521189146104007e-07,0.0
1906,1.1162880753090576e-07,5.144184522798412e-10
1907,1.1519968978745965e-07,5.142843373384665e-10
1908,1.7140747843313875e-07,0.0
1909,1.155206561520572e-07,0.0
1910,1.3360376271975838e-07,0.0
1911,1.5695103172674862e-07,0.0
1912,1.2815176830827113e-07,0.0
1913,1.3522624442430242e-07,0.0
1914,1.3996194070386991e-07,6.696743715117748e-10
1915,1.4608144738303963e-07,0.0
1916,1.4942948212137708e-07,1.0987462051303964e-09
1917,1.6230308119702386e-07,0.0
1918,2.0330885774910712e-07,0.0
1919,1.5377106876712787e-07,0.0
1920,1.665891034008382e-07,7.572231730534895e-10
1921,1.1586303827471056e-07,0.0
1922,1.4829650751835288e-07,0.0
1923,1.592392209204263e-07,0.0
1924,9.926550603722717e-08,0.0
1925,1.53974497152376e-07,0.0
1926,1.1814906741847153e-07,0.0
1927,1.7615775504964404e-07,0.0
1928,1.3711249380321533e-07,0.0
1929,1.347989240230163e-07,0.0
1930,1.3864756454040617e-07,0.0
1931,1.3914535657022498e-07,0.0
1932,1.9288783903448348e-07,0.0
1933,1.8582473160222435e-07,1.1470662197865522e-09
1934,1.4737344145032694e-07,0.0
1935,2.2261008325585863e-07,1.196828414151696e-09
1936,1.52771406192187e-07,0.0
1937,2.0019878377297573e-07,1.2591118148108649e-09
1938,1.659547450572063e-07,0.0
1939,1.5905811778793577e-07,0.0
1940,1.1157445101162011e-07,0.0
1941,1.5052663115966425e-07,0.0
1942,1.6688164805600536e-07,0.0
1943,1.3935529352693266e-07,0.0
1944,1.2531425852557732e-07,0.0
1945,1.1110370934375169e-07,0.0
1946,1.252899437531596e-07,1.3921104269343232e-09
1947,1.8000514501181897e-07,0.0
1948,1.5764237559778849e-07,0.0
1949,1.4332832165564469e-07,0.0
1950,1.7016577658068854e-07,0.0
1951,1.4925961977496627e-07,0.0
1952,1.455182996323856e-07,0.0
1953,1.260537771941017e-07,0.0
1954,1.270429663691175e-07,9.772536113672459e-10
1955,1.398455538037524e-07,9.385607846468247e-10
1956,1.3168923373996222e-07,0.0
1957,1.5638016748198424e-07,8.835037701437898e-10
1958,1.1829308022015539e-07,0.0
1959,1.7284168052356108e-07,0.0
1960,1.6125541435485502e-07,0.0
1961,1.6050248063947947e-07,0.0
1962,1.0971584885055563e-07,0.0
1963,1.4742600740191847e-07,0.0
1964,1.764350798794112e-07,6.083968329129164e-10
1965,1.7510538441456447e-07,0.0
1966,1.7226523141289363e-07,0.0
1967,1.553055710701301e-07,0.0
1968,1.6034354644034465e-07,1.3474247273492779e-09
1969,1.5124054186799185e-07,1.3625273131978588e-09
1970,1.9268658491000679e-07,0.0
1971,2.281448416852072e-07,5.138397485282553e-10
1972,2.005887438372156e-07,5.130146862875051e-10
1973,2.001292926934184e-07,1.102640756478479e-09
1974,1.9633245074146544e-07,0.0
1975,2.2960149692607956e-07,0.0
1976,1.6454957574296714e-07,0.0
1977,1.4750722243661585e-07,0.0
1978,1.710890273898258e-07,0.0
1979,1.7087762671508244e-07,5.851973350345929e-10
1980,1.8192481832102203e-07,5.685150683554241e-10
1981,1.4295741834757791e-07,6.325549528618524e-10
1982,1.8436281834510737e-07,1.8622506869903077e-09
1983,1.6419821236013377e-07,6.315316047889041e-10
1984,2.7835241667162336e-07,1.1598016991243298e-09
1985,1.924978505485342e-07,0.0
1986,2.1160533947295335e-07,0.0
1987,2.0532344535695302e-07,6.110816852533674e-10
1988,2.908328724515741e-07,1.1993107618124554e-09
1989,1.909866540472649e-07,0.0
1990,3.4816881111510156e-07,0.0
1991,2.8955636821592634e-07,2.344586080837985e-09
1992,1.9835799491829675e-07,0.0
1993,2.3652415848118835e-07,0.0
1994,2.6110888029506896e-07,0.0
1995,2.6461560764801106e-07,5.422450821690461e-10
1996,2.530255756028055e-07,1.067618438099771e-09
1997,2.4693707700862433e-07,9.58978896292706e-10
1998,2.7798193968919804e-07,1.43043876743576e-09
1999,2.4313470703418716e-07,4.570201161957499e-10
2000,2.5933843517123023e-07,1.7672125984802278e-09
2001,2.449097280532442e-07,8.762423564512289e-10
2002,2.5980642703871126e-07,1.3143663935011318e-09
2003,2.1001291372613196e-07,8.333845835650777e-10
2004,2.2464435289748508e-07,2.2023955992267474e-09
2005,2.310423496965086e-07,2.251874686720612e-09
2006,2.586034781870694e-07,1.6471559671771274e-09
2007,2.0691403790351615e-07,2.3966877371606188e-09
2008,2.2181261272180564e-07,2.1287198670449925e-09
2009,2.1981367126500118e-07,4.76819250749827e-10
2010,1.955650361651351e-07,3.3066551718974324e-09
2011,2.141424317869678e-07,1.529588788962144e-09
2012,1.7838284804838622e-07,1.3617010852229328e-09
2013,1.8491898856609623e-07,2.2313000336282585e-09
2014,1.7042053457316797e-07,3.2481677347817595e-09
2015,1.7178459188471606e-07,1.10828768384863e-09
2016,1.6529293134226464e-07,1.0356699942093428e-09
2017,1.554647752755045e-07,2.0124890642847504e-09
2018,1.559205884404946e-07,2.8396134332808742e-09
2019,1.2907997870570398e-07,1.2754939326953263e-09
