year,veut_VERB assembler_VERB,veut_VERB rassembler_VERB
1800,3.144164395507687e-08,1.5720821977538435e-08
1801,1.1905912700171939e-08,1.6668277424969347e-08
1802,2.2378401354217203e-08,6.042168365638645e-08
1803,1.950339223455444e-09,4.4857802805609026e-08
1804,2.4718509461507665e-09,2.4718509461507665e-08
1805,1.1371510844071508e-08,2.2743021688143017e-08
1806,1.152667650217154e-08,3.458002950651462e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,9.064295980465431e-09
1809,0.0,3.840352036377226e-08
1810,1.8721014072298203e-08,2.3401267590372754e-09
1811,2.757784400841956e-08,7.521230305229665e-09
1812,2.400487453257938e-08,1.600324850414836e-08
1813,2.5881675469463516e-08,5.751483289628823e-09
1814,1.2586708564299443e-08,0.0
1815,2.6972236000233352e-08,5.664169577812572e-08
1816,1.3905623319487859e-08,3.7081662185300956e-08
1817,1.556873407970727e-09,1.5568733857662664e-08
1818,0.0,7.152706427149269e-09
1819,2.070210003424222e-09,3.415846494547736e-08
1820,0.0,3.322614716694261e-08
1821,8.875339574387908e-09,1.1833785507064931e-08
1822,1.0025615893027862e-09,2.105379337535851e-08
1823,1.9765373782121287e-09,7.906149512848515e-09
1824,2.5263338088166165e-09,2.2737005167527968e-08
1825,5.283265824829186e-09,2.0252518773133943e-08
1826,1.7615968683770689e-09,7.486786390842326e-08
1827,2.7651818612639545e-09,2.3043183361437514e-08
1828,3.0268594741755805e-08,1.0089530988466322e-08
1829,4.286587973467704e-09,4.286588028978855e-09
1830,9.39315203396518e-09,1.461157062010443e-08
1831,3.897801548191637e-08,1.091384405071949e-08
1832,2.1647950987357945e-08,3.3824923750813696e-08
1833,2.0850531967653296e-08,2.548398292390175e-08
1834,2.8003592777992026e-09,1.4935249481595747e-08
1835,1.285724948729694e-08,1.9664028627630614e-08
1836,7.392825018825988e-09,1.6801875224459195e-08
1837,1.2524203896191466e-08,1.7394727436226276e-08
1838,1.8936486156917454e-08,1.8936486156917454e-08
1839,1.8177836125232716e-08,6.292327547896548e-09
1840,1.0828470564661075e-08,8.917564464638872e-09
1841,1.0914932957462042e-08,2.24719207686519e-08
1842,1.0733224087289273e-08,1.8783142152756227e-08
1843,8.269675610961258e-09,1.8902115428431898e-08
1844,9.879410178825765e-09,1.4270259640625227e-08
1845,3.459741293454499e-08,2.0646844234306627e-08
1846,1.3465353276842507e-08,1.2294452789163302e-08
1847,1.6179670936367074e-08,1.1325769655456952e-08
1848,1.689496542667257e-08,2.333114274000181e-08
1849,0.0,2.513824481908955e-09
1850,5.431196825611551e-09,1.0183494048021657e-08
1851,5.159551008659946e-09,1.2253933867611977e-08
