year,pouvait_VERB assurer_VERB,pouvait_VERB rassurer_VERB
1800,8.174827570428533e-08,1.5720821977538435e-08
1801,2.500241578218265e-07,0.0
1802,8.280008501060365e-08,2.2378401354217203e-09
1803,7.996391104825307e-08,0.0
1804,1.6314216111368296e-07,0.0
1805,1.8762992226584174e-07,0.0
1806,6.916005901302924e-08,1.152667650217154e-08
1807,1.537355700520493e-07,5.693910232196231e-09
1808,4.5321478125970316e-08,9.064295980465431e-09
1809,1.0843346842648316e-07,4.518061036407062e-09
1810,8.89248141788812e-08,2.3401267590372754e-09
1811,1.6295999216708879e-07,0.0
1812,2.507175622668001e-07,6.401299401659344e-08
1813,2.041776525629757e-07,1.7254450312975678e-08
1814,2.171207285073251e-07,2.8320094713762956e-08
1815,1.6722786710943183e-07,6.203614333344376e-08
1816,1.367386346373678e-07,4.8669683394564345e-08
1817,1.4323235575375293e-07,4.670620334934483e-09
1818,1.9073883095188648e-07,9.536941902865692e-09
1819,1.397391713453544e-07,2.070210003424222e-09
1820,1.8630375109296438e-07,5.933240565525466e-09
1821,1.8046523564407835e-07,2.9584463767662328e-09
1822,2.2357123441452131e-07,1.5038423839541792e-08
1823,1.877710502640184e-07,3.854247765389118e-08
1824,2.4000172516025486e-07,2.3579115548955087e-08
1825,2.130917238218899e-07,3.0819052199149155e-08
1826,1.5766292449370667e-07,2.2019960965735663e-08
1827,1.3641563612054597e-07,2.8573547083965423e-08
1828,1.9720447141935438e-07,2.935136400594729e-08
1829,2.297611132462407e-07,2.5719527840806222e-08
1830,2.2126091892005206e-07,2.1917355041978226e-08
1831,2.1671776551102084e-07,2.3386808933878456e-08
1832,1.8671357793209609e-07,2.705993873419743e-09
1833,1.4016190164056752e-07,1.853380560135065e-08
1834,2.072265914421223e-07,1.8669062740173104e-08
1835,2.677332986422698e-07,4.5378527602224494e-09
1836,1.2702217588866915e-07,4.032449929525228e-09
1837,1.8160095294206258e-07,1.2524203896191466e-08
1838,1.7610931024591991e-07,5.049729523420865e-09
1839,1.642996636519456e-07,2.6567605004856887e-08
1840,1.9300156850476924e-07,2.1019973317493168e-08
1841,1.8555385850049788e-07,2.8250413564023802e-08
1842,2.36130929920364e-07,2.3478927246856074e-08
1843,1.8606769458529016e-07,5.31621990873532e-09
1844,2.3161729245657625e-07,1.0428266250528395e-08
1845,1.9474995838208997e-07,1.562463758375543e-08
1846,2.4823086164360575e-07,2.3418005312692003e-08
