year,grand_ADJ éveil_NOUN,grand_ADJ réveil_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,2.145373123596528e-08,3.900678446910888e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,2.0171682990621775e-08
1807,0.0,1.1387820464392462e-08
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,0.0,9.036122072814123e-09
1810,0.0,1.4040760554223652e-08
1811,0.0,0.0
1812,0.0,1.8670457180292033e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,3.113746815941454e-09,0.0
1818,0.0,1.1921177378582115e-09
1819,1.2421260464634543e-08,1.035105001712111e-09
1820,4.746592452420373e-09,8.306536791735653e-09
1821,0.0,2.9584463767662328e-09
1822,1.0025615893027862e-09,6.015369535816717e-09
1823,0.0,0.0
1824,0.0,0.0
1825,8.805443041381977e-10,1.584979791857677e-08
1826,0.0,7.927186018719112e-09
1827,0.0,2.1199728195142598e-08
1828,0.0,1.8344602503717056e-09
1829,8.573175946935407e-09,1.2859763920403111e-08
1830,1.0436835840010872e-09,1.1480519646056564e-08
1831,0.0,9.510635834431014e-08
1832,0.0,2.3000948701223933e-08
1833,8.108539617524002e-09,3.8225973497674204e-08
1834,0.0,3.5471215964477665e-08
1835,0.0,3.025235173481633e-08
1836,0.0,2.8899226123257904e-08
1837,1.3915781860163179e-09,3.826840000442644e-08
1838,0.0,1.7042836475411605e-08
1839,0.0,1.188550780018005e-08
1840,5.095750932326837e-09,1.2739377552861697e-08
1841,0.0,2.5040138851295524e-08
1842,7.379091560011375e-09,4.427455024824667e-08
1843,0.0,3.603215859016018e-08
1844,0.0,3.6773358802477674e-08
1845,0.0,1.897277535078956e-08
1846,0.0,1.7563504428608212e-08
1847,3.235934187273415e-09,1.4022381478184798e-08
1848,0.0,2.011305433313737e-08
1849,0.0,1.5920887719289567e-08
1850,0.0,1.6293590476834652e-08
