year,voulut_VERB amener_VERB,voulut_VERB ramener_VERB
1800,3.144164484325529e-09,5.65949598296811e-08
1801,2.3811825844433088e-09,2.6193008650921e-08
1802,0.0,5.370816325012129e-08
1803,0.0,1.950339267864365e-08
1804,0.0,3.707776485839531e-08
1805,0.0,0.0
1806,0.0,1.4408345627714425e-08
1807,2.8469551160981155e-09,3.9857372513552036e-08
1808,9.064295980465431e-09,8.611080914988634e-08
1809,0.0,4.51806094758922e-08
1810,0.0,6.084329839950442e-08
1811,5.0141535368197765e-09,8.273353557797236e-08
1812,2.6672082320544632e-09,4.000812481308458e-08
1813,5.751483289628823e-09,5.176335093892703e-08
1814,6.293354282149721e-09,8.496028414128887e-08
1815,0.0,5.664169577812572e-08
1816,6.952811659743929e-09,3.9399267848239106e-08
1817,0.0,2.80237220096069e-08
1818,1.4305412854298538e-08,6.079800130009971e-08
1819,1.0351049795076506e-08,3.001804671498576e-08
1820,8.306536791735653e-09,8.187871713971617e-08
1821,0.0,2.5639868894700157e-08
1822,3.308453244699194e-08,3.5089655625597516e-08
1823,8.894418535021487e-09,4.348382276475604e-08
1824,6.736890156844311e-09,4.378978601948802e-08
1825,0.0,4.842993561737785e-08
1826,2.642395191543301e-09,6.429828403042848e-08
1827,9.217273055917019e-10,3.041700225026034e-08
1828,0.0,3.66892045633449e-08
1829,1.971830521085849e-08,3.600733933240008e-08
1830,4.174734336004349e-09,4.5922078584226256e-08
1831,1.5591206548037917e-08,3.1182413096075834e-08
1832,0.0,6.3590853471851e-08
1833,0.0,2.0850531967653296e-08
1834,2.14694217959277e-08,3.173740381612333e-08
1835,7.563087933704082e-10,6.050470346963266e-08
1836,1.1425274948351216e-08,4.032450107160912e-08
1837,1.2524203896191466e-08,3.75726116885744e-08
1838,1.2624323808552163e-08,5.112851297894849e-08
1839,1.6080392128969834e-08,5.663094881924735e-08
1840,6.3696887764308485e-09,4.267691267045848e-08
1841,7.704658244733764e-09,6.035315891494974e-08
1842,2.683306021822318e-09,4.427455024824667e-08
1843,1.6539351221922516e-08,4.784597962270709e-08
1844,5.488561161115513e-09,5.4885614275690386e-08
1845,1.1160455670733427e-08,5.0780073479472776e-08
1846,1.6392604607062822e-08,4.507965911670908e-08
1847,1.4561703842730367e-08,5.9325458323655766e-08
1848,1.367687652020777e-08,4.022610866627474e-08
1849,2.9327951622803994e-08,3.9383248662261394e-08
1850,1.0862393651223101e-08,3.2587180953669304e-08
1851,6.449438760824933e-09,5.4175284702751014e-08
1852,1.8229528109259263e-08,4.362065553209504e-08
1853,1.3735443005202796e-08,3.1054046445433414e-08
1854,1.0910895298366086e-08,4.2604447969551984e-08
1855,1.751289246954002e-08,5.678422709820552e-08
1856,2.9509978460851016e-08,3.9346637947801355e-08
1857,1.5620829074691756e-08,5.174399575480493e-08
1858,1.1255455234504552e-08,4.208561321661364e-08
1859,9.165912473463322e-09,2.800695320104296e-08
1860,1.1442959468865865e-08,2.4716793944890014e-08
1861,1.0375120318428799e-08,2.6880993431177558e-08
1862,1.671654992208005e-08,3.162590545002786e-08
1863,1.897955925755923e-08,3.346395871517416e-08
1864,1.582260189536555e-08,3.643993196078554e-08
1865,8.943004559114343e-09,2.9653119071326728e-08
1866,1.3623716377253459e-08,1.897589108068587e-08
1867,5.82337378318698e-09,3.4454963326879806e-08
1868,1.333765986544222e-08,2.1241458370013788e-08
1869,1.0255390314739543e-08,5.274200631788517e-08
1870,1.204150201772336e-08,1.77755516972411e-08
1871,8.496941816815706e-09,1.5931766128574054e-08
1872,9.675742873582749e-09,2.7817760539505798e-08
1873,1.5563610844537834e-08,2.095101514498765e-08
1874,7.169530746864439e-09,2.0313670745508716e-08
1875,9.154443425529735e-09,3.1468399441791917e-08
1876,1.4510435519810017e-08,1.0278225381910033e-08
1877,8.658742167710898e-09,2.9068635498674666e-08
1878,6.039088784604019e-09,3.5026715750063886e-08
1879,1.4051448005147904e-08,2.7491964260661916e-08
1880,3.2089231272180996e-09,1.8611753915820373e-08
1881,6.972507571312292e-10,1.9523021421719022e-08
1882,4.6587693702804245e-09,1.9300616216355593e-08
1883,5.687405213450347e-09,1.2638677659992936e-08
1884,4.621187876807653e-09,2.706695667598069e-08
1885,1.2246707647989297e-08,1.6758653131887513e-08
1886,9.680196200179125e-09,3.807543791367607e-08
1887,1.1752064210668323e-08,1.6322312390570914e-08
1888,6.974675947901687e-09,1.014498351992188e-08
1889,6.265136742733546e-10,6.891650361495749e-09
1890,7.209825181320184e-09,1.5075089621063853e-08
1891,1.466070642663908e-08,1.9760081571007504e-08
1892,7.522214851007902e-09,1.2537024751679837e-08
1893,2.463366621796581e-09,1.6011883374744684e-08
1894,9.452309157609307e-09,1.5753848003896564e-08
1895,1.8055843042930064e-08,1.1435367319734269e-08
1896,6.486732040400511e-09,1.2973464080801023e-08
1897,6.409385022720926e-09,2.0976168357833558e-08
1898,2.8291773368493978e-09,5.092519295146758e-09
1899,4.9748205555033564e-09,2.432134493801641e-08
1900,3.633737311048435e-09,1.0901211489056095e-08
1901,7.824234593556412e-09,1.0618603774048552e-08
1902,4.910283846193408e-10,1.4730852093691738e-09
1903,7.560307935250421e-09,2.214090244478939e-08
1904,4.837162670412454e-09,1.8811189050893518e-08
1905,7.741138396966107e-09,1.4966200723165457e-08
1906,9.773950537805831e-09,1.3374879870298173e-08
1907,7.199980611716228e-09,2.5714216533856415e-08
1908,7.858222517143076e-09,1.080505640516094e-08
1909,9.351672325408344e-09,1.870334465081669e-08
1910,1.1222716089775986e-08,5.878565634276356e-09
1911,1.5961122423746588e-09,1.0108711201439746e-08
1912,6.251305251225858e-09,1.0418842677495377e-08
1913,6.893886794756554e-09,7.42418571064718e-09
1914,1.339348720819089e-08,1.2054139020278853e-08
1915,0.0,3.534228465440492e-09
