year,peuvent_VERB accompagner_VERB,peuvent_VERB raccompagner_VERB
1853,5.6733352238325097e-08,0.0
1854,6.546537179019651e-08,5.195664454227256e-10
1855,4.351688431825096e-08,5.306937111981824e-10
1856,7.76578374939163e-08,0.0
1857,6.297146626366157e-08,0.0
1858,6.753273140702731e-08,9.787352039936081e-10
1859,7.383651023928905e-08,0.0
1860,4.439868561689764e-08,0.0
1861,5.564837124438782e-08,0.0
1862,6.957699127951855e-08,4.517986262886353e-10
1863,4.5950510951797696e-08,0.0
1864,6.904408422769848e-08,0.0
1865,5.554076309977063e-08,0.0
1866,6.179328693178832e-08,0.0
1867,9.365925990323376e-08,9.7056229719783e-10
1868,9.188165961404593e-08,0.0
1869,6.397409890723793e-08,1.953407657850903e-09
1870,1.1009373679371492e-07,5.734048791339319e-10
1871,4.142259157902117e-08,0.0
1872,6.954439868422924e-08,0.0
1873,6.883905001586754e-08,0.0
1874,8.125468298203486e-08,0.0
1875,1.0584825105297568e-07,0.0
1876,9.613163598487517e-08,0.0
1877,7.050689987408987e-08,0.0
1878,8.817069385713694e-08,0.0
1879,6.781350947449027e-08,0.0
1880,8.856628141984402e-08,0.0
1881,6.205532088188193e-08,0.0
1882,6.455723422504889e-08,6.655385131892899e-10
1883,7.64639978001469e-08,0.0
1884,7.922036360241691e-08,0.0
1885,8.314869859304963e-08,0.0
1886,6.582533274013258e-08,0.0
1887,7.899998877292091e-08,0.0
1888,5.0090857683926515e-08,0.0
1889,1.014952175637518e-07,0.0
1890,7.406456603575862e-08,0.0
1891,7.776548471838396e-08,0.0
1892,9.026658176480851e-08,0.0
1893,6.220000869916475e-08,0.0
1894,4.915200690902566e-08,0.0
1895,6.740847879882494e-08,0.0
1896,6.722613221654683e-08,5.89702897624278e-10
1897,9.963680014379861e-08,0.0
1898,7.412445057752848e-08,0.0
1899,8.733573508834525e-08,5.527578395003729e-10
1900,7.423206227485935e-08,0.0
1901,7.880122154801938e-08,0.0
1902,6.923499995536986e-08,4.910283846193408e-10
1903,9.234376818767487e-08,1.0800440541913758e-09
1904,1.0802996541769971e-07,1.0749250378694342e-09
1905,8.050783861790478e-08,0.0
1906,6.378788697247728e-08,1.0288369045596824e-09
1907,7.14855232786249e-08,0.0
1908,5.402527847309102e-08,4.911389073214423e-10
1909,6.161101850921114e-08,0.0
1910,8.01622590529405e-08,5.344150677544235e-10
1911,7.980560923215307e-08,0.0
1912,7.449472150256042e-08,1.5628263128064646e-09
1913,8.37872349279678e-08,0.0
1914,5.6922321078900495e-08,0.0
1915,4.476689596799588e-08,0.0
1916,3.735737053034427e-08,0.0
1917,6.360526327853222e-08,0.0
1918,5.972916028440522e-08,0.0
1919,5.4326307008523145e-08,0.0
1920,5.7548959375708364e-08,0.0
1921,8.330022183145047e-08,0.0
1922,5.6810101511928224e-08,0.0
1923,4.2463792482294593e-08,0.0
1924,7.86389122708897e-08,1.289162443462999e-09
1925,8.468597201272132e-08,0.0
1926,6.464760105018286e-08,0.0
1927,5.686104742608222e-08,0.0
1928,4.1133748851507335e-08,0.0
1929,6.461435475557664e-08,0.0
1930,6.512234307365361e-08,0.0
1931,4.1059283972799676e-08,0.0
1932,7.342889318806556e-08,0.0
1933,6.079451253526713e-08,0.0
1934,9.345632179247332e-08,0.0
1935,4.906996409204112e-08,0.0
1936,4.7286388138445545e-08,0.0
1937,7.554670844456268e-08,0.0
1938,7.390172385157712e-08,0.0
1939,3.6705721129237645e-08,0.0
1940,4.3108308034334186e-08,0.0
1941,4.132103725851266e-08,0.0
1942,6.371844563091145e-08,0.0
1943,4.935499831049128e-08,0.0
1944,9.960876923287287e-08,0.0
1945,3.485606470121638e-08,0.0
1946,6.26449718765798e-08,0.0
1947,4.0530959921625254e-08,0.0
1948,6.740570768215548e-08,0.0
1949,6.97007607186606e-08,0.0
1950,5.104973510583477e-08,0.0
1951,5.543929049167673e-08,0.0
1952,5.799642011083961e-08,0.0
1953,5.0636987936059086e-08,0.0
1954,6.645324646115114e-08,0.0
1955,4.880516257799172e-08,0.0
1956,6.889701609225085e-08,0.0
1957,5.301022554249357e-08,0.0
1958,7.362296372548371e-08,0.0
1959,6.588135903484726e-08,0.0
1960,8.30499971016252e-08,0.0
1961,6.80919640672073e-08,0.0
1962,6.84931293903901e-08,0.0
1963,5.754787224532265e-08,0.0
1964,5.658090529436777e-08,0.0
1965,5.1984411442163037e-08,0.0
1966,5.871419261893607e-08,0.0
1967,5.768492528090974e-08,0.0
1968,6.512552630510982e-08,0.0
1969,6.67638389018066e-08,0.0
1970,4.828661204214768e-08,0.0
1971,6.474380853660477e-08,5.138397485282553e-10
1972,6.412683717371692e-08,0.0
1973,7.001769120051904e-08,0.0
1974,7.144475944187434e-08,0.0
1975,7.025120396519924e-08,0.0
1976,6.799096752274636e-08,0.0
1977,8.756404668019968e-08,0.0
1978,7.188115347389612e-08,0.0
1979,8.660920514103054e-08,0.0
1980,7.16328969474489e-08,0.0
1981,9.108791232392832e-08,0.0
1982,9.869928874195466e-08,0.0
1983,7.894144715692164e-08,0.0
1984,6.378909489512807e-08,0.0
1985,7.579603078511354e-08,0.0
1986,7.553051517561471e-08,0.0
