year,fallut_VERB aller_VERB
1800,1.2576657582030748e-07
1801,1.262026785298076e-07
1802,8.727576528144709e-08
1803,5.070882025393075e-08
1804,2.4224138428508013e-07
1805,1.4214388954769674e-07
1806,1.440834580535011e-07
1807,3.4163463169534225e-08
1808,8.611080914988634e-08
1809,6.777091243748146e-08
1810,8.89248141788812e-08
1811,5.766276700569506e-08
1812,2.1337665856435706e-08
1813,6.326631307729258e-08
1814,7.237357380063258e-08
1815,8.361393355471591e-08
1816,6.025770460382773e-08
1817,7.940054302935096e-08
1818,7.629553522292554e-08
1819,1.449146935783574e-07
1820,1.578242034838695e-07
1821,1.4299158124231326e-07
1822,1.804610860745015e-07
1823,1.3045146829426812e-07
1824,9.179012749882531e-08
1825,1.7170613375583343e-07
1826,8.455664612938563e-08
1827,6.544264152807955e-08
1828,1.1190207516165174e-07
1829,2.1604404309982783e-07
1830,9.706257486641334e-08
1831,9.042899762334855e-08
1832,9.065079353831607e-08
1833,9.382738852536932e-08
1834,1.5121939611617563e-07
1835,1.285724948729694e-07
1836,1.2164557006144605e-07
1837,1.3707045809496776e-07
1838,1.634849979836872e-07
1839,9.29866175169991e-08
1840,1.8917975808108167e-07
1841,1.1428576129901558e-07
1842,1.5764422300890146e-07
1843,1.1045923997698992e-07
1844,9.440325499099345e-08
1845,9.486387853030465e-08
1846,1.0713737452761052e-07
1847,6.25613978399997e-08
1848,1.1906928421012708e-07
1849,7.960444037280467e-08
1850,9.233034603539636e-08
1851,1.4769214828902477e-07
1852,1.1914298170268012e-07
1853,1.313825066517893e-07
1854,1.278133510140833e-07
1855,1.0879220724291372e-07
1856,1.382309591235753e-07
1857,1.4888603061535832e-07
1858,1.463209144958455e-07
1859,1.0846328990510301e-07
1860,9.108595833140498e-08
1861,1.046943935989475e-07
1862,1.0752807355629557e-07
1863,9.889349428249261e-08
1864,9.637403053375238e-08
1865,8.189908839995041e-08
1866,7.395731671522299e-08
1867,8.977701071444244e-08
1868,1.1361710505752853e-07
1869,9.181015769854639e-08
1870,9.862564098739313e-08
1871,1.1895718898813357e-07
1872,1.1066630634104513e-07
1873,1.2690328787812177e-07
1874,1.1292011237173938e-07
1875,1.1214193307296227e-07
1876,1.2031568985548802e-07
1877,1.0266794703284177e-07
1878,1.080996838709325e-07
1879,1.1118972054191545e-07
1880,7.123809098175116e-08
1881,1.1016562240229177e-07
1882,9.317539451103585e-08
1883,1.0110942127994349e-07
1884,1.1156868140460574e-07
1885,7.605849816627597e-08
1886,9.938334244452562e-08
1887,1.2013221351026004e-07
1888,7.672143453874014e-08
1889,8.583237587345138e-08
1890,7.734175966334078e-08
1891,8.668938988876107e-08
1892,7.396844381446499e-08
1893,9.91505046954444e-08
1894,1.2035940244459198e-07
1895,9.44922504686474e-08
1896,9.31730568254352e-08
1897,8.040864685199267e-08
1898,7.808530000374958e-08
1899,7.296403481404923e-08
1900,7.890400866017444e-08
1901,5.588739071527016e-08
1902,6.530677865157486e-08
1903,6.156250975664079e-08
1904,6.610788716443494e-08
1905,5.625227217365136e-08
1906,7.922044176211784e-08
1907,8.434263065737468e-08
1908,8.39847515976544e-08
1909,7.041258953677243e-08
1910,7.80245983378336e-08
1911,4.0966881442727754e-08
1912,6.668059171488494e-08
1913,8.643873172786698e-08
1914,7.366418230958516e-08
1915,8.482148672328549e-08
1916,7.251725264723063e-08
1917,6.141197417264266e-08
1918,7.006689628497043e-08
1919,8.65537757022139e-08
1920,6.13350792377787e-08
1921,8.330022183145047e-08
1922,6.861480272846165e-08
1923,6.369568694708505e-08
1924,9.926550603722717e-08
1925,8.908524051776112e-08
1926,8.916910587686289e-08
1927,8.58490309951776e-08
1928,6.969884935870141e-08
1929,8.689517017046455e-08
