year,peuvent_VERB éveiller_VERB,peuvent_VERB réveiller_VERB
1800,1.8864987794131594e-08,3.772997558826319e-08
1801,2.6193008650921e-08,9.524730337773235e-09
1802,2.2378401354217203e-08,5.370816325012129e-08
1803,0.0,1.1702034896643454e-08
1804,0.0,2.4718509905596875e-08
1805,1.9900143755080535e-08,1.7057265822018053e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,5.693910232196231e-09,1.4234775136401367e-08
1808,0.0,4.5321478125970316e-08
1809,0.0,1.8072244145628247e-08
1810,2.3401267590372754e-09,2.574139479349924e-08
1811,0.0,1.0028307073639553e-08
1812,8.00162425207418e-09,6.401299401659344e-08
1813,0.0,8.052076339026826e-08
1814,9.440030979135372e-09,4.405347908686963e-08
1815,2.1577788444915313e-08,4.8550024445148665e-08
1816,2.7811246638975717e-08,1.1588019432906549e-08
1817,1.556873407970727e-09,1.0898113522728181e-08
1818,0.0,3.2187177367859476e-08
1819,0.0,4.140420006848444e-09
1820,1.542642635854463e-08,4.153268307049984e-08
1821,1.1833785507064931e-08,7.88919063410276e-09
1822,1.0025615893027862e-09,3.408709403629473e-08
1823,1.2847492847356534e-08,1.7788837070042973e-08
1824,3.452656116564867e-08,2.863178316658832e-08
1825,1.6730341556581152e-08,1.8491430608946757e-08
1826,5.284790383086602e-09,2.1139161532346407e-08
1827,3.6869092223668076e-09,2.488663675137559e-08
1828,1.559291185060374e-08,1.834460228167245e-08
1829,1.7146351893870815e-08,3.0006116702452346e-08
1830,1.982998831806526e-08,2.817945699007396e-08
1831,9.354723218280014e-09,1.2472964883158966e-08
1832,3.5177919244233635e-08,4.464889968858188e-08
1833,8.108539617524002e-09,2.0850531967653296e-08
1834,2.5203233278148218e-08,1.0267983796552471e-08
1835,1.5882484660778573e-08,2.7227116561334697e-08
1836,1.1425274948351216e-08,3.427582484505365e-08
1837,4.5226290268374214e-08,4.0355768504696243e-08
1838,2.3354999711955315e-08,5.23909449157145e-08
1839,8.38977065598101e-09,3.915226187700682e-08
1840,3.05745047057826e-08,3.3759349093998026e-08
1841,3.467096121312352e-08,2.0545755319290038e-08
1842,2.683306021822318e-08,2.5491406319133603e-08
1843,1.8311423488626133e-08,1.5357969118667825e-08
1844,2.25031016043431e-08,2.7991662321369404e-08
1845,2.7901139176833567e-08,2.3436957263811564e-08
1846,4.039605983052752e-08,1.9319854160926297e-08
1847,1.6179670936367074e-08,1.88762818709165e-08
1848,1.930853166243196e-08,8.84974404868899e-09
1849,1.4245005175439474e-08,2.6814127807028854e-08
1850,3.6660580349234806e-08,2.5119284430275002e-08
1851,3.289213879043018e-08,1.6768540334055615e-08
1852,1.9531636752390114e-08,1.3672145193766028e-08
1853,1.7318601663873778e-08,7.166318205520383e-09
1854,1.4028294081924741e-08,1.454786069388092e-08
1855,3.980202833986368e-08,1.9104973603134567e-08
1856,2.7439103433835044e-08,1.0872097000458325e-08
1857,1.9526035899275485e-08,2.5383847912507917e-08
1858,1.2234189661342043e-08,1.5170396494568195e-08
1859,3.3099126994784456e-08,4.073738679721828e-08
1860,1.327383358784573e-08,2.334363813361051e-08
1861,2.782418562219391e-08,1.4147890858851042e-08
1862,2.84633134839396e-08,1.355395884417021e-08
1863,2.6970951694238465e-08,1.6482248454963155e-08
1864,1.6781548595190543e-08,1.1507347075223606e-08
1865,1.97687466396701e-08,1.0825742080555756e-08
1866,1.9949013108089275e-08,1.8489329178805747e-08
1867,2.6690463172940326e-08,6.308654931785895e-09
1868,1.5807597009143137e-08,5.433861360870651e-09
1869,4.49283774628384e-08,2.6371003158942585e-08
1870,2.0069171213776826e-08,1.490852596930381e-08
1871,3.611200227737754e-08,2.0180236148803488e-08
1872,2.116568786902917e-08,1.9351485747165498e-08
1873,2.9331422624068182e-08,1.4366410283628284e-08
1874,2.2703515512034755e-08,8.364453130127458e-09
1875,3.2612703648737806e-08,1.3159512590732447e-08
1876,4.292670396921494e-08,3.083467703390852e-08
1877,3.030559980743419e-08,3.216104360603822e-08
1878,2.0532901601200138e-08,2.8987624745013818e-08
1879,5.803859082220697e-08,1.710611030603104e-08
1880,2.0537108014195837e-08,7.059631101924424e-09
1881,3.69542902944886e-08,2.5798277292210514e-08
1882,3.261138559196297e-08,1.5972924316542958e-08
1883,5.181857787306399e-08,1.516641390253426e-08
1884,1.7824582698722224e-08,1.3203393933736152e-08
1885,4.060750313783501e-08,1.8047780159236027e-08
1886,3.613939725255477e-08,1.7424351739236954e-08
1887,2.7421483750345033e-08,1.5016526688782506e-08
1888,3.233713385952797e-08,2.1558090423923204e-08
1889,3.257871128425904e-08,3.759081934617825e-08
1890,3.604912635069013e-08,3.2771931834929546e-09
1891,1.784781566982474e-08,1.2748440525456317e-08
1892,3.63573704476039e-08,1.0656471260972467e-08
1893,1.3548516086814288e-08,1.7243566574620672e-08
1894,2.079507943619774e-08,6.9316934414587195e-09
1895,3.189865793729041e-08,9.027921521465032e-09
1896,2.358811634906033e-08,1.6511680911435178e-08
1897,3.903898004864459e-08,7.574727511894253e-09
1898,3.1120951149432585e-08,1.1316709347397591e-08
1899,3.2612710754165164e-08,1.492446166651007e-08
1900,4.6200373304827735e-08,1.6092265298084385e-08
1901,3.4650181390816215e-08,2.9620316865930363e-08
1902,3.83002145554201e-08,1.276673788908056e-08
1903,2.4841012802312434e-08,1.0800440541913758e-08
1904,2.042357571951925e-08,1.7736262236667244e-08
1905,3.4061010012464976e-08,1.4450125540577119e-08
1906,3.600929332492342e-08,2.0576738535282857e-08
1907,2.5714216533856415e-08,1.8514235478050978e-08
1908,3.094175227147389e-08,2.1118973236866623e-08
1909,4.400786934866119e-08,1.7053048750881317e-08
1910,3.313373397872965e-08,1.4429207162436342e-08
1911,3.937076797910777e-08,1.0640748726586935e-08
1912,2.5526164293410147e-08,8.335073964360618e-09
1913,5.939348568517744e-08,1.4318072061314524e-08
1914,3.0135346662518714e-08,1.5402511266415786e-08
1915,2.1205371680821372e-08,3.534228465440492e-09
1916,2.0876177231343718e-08,1.8678685265172135e-08
1917,4.605898240583883e-08,9.869782324756216e-09
1918,3.9053681177847466e-08,1.4932290071101306e-08
1919,3.314825391953491e-08,1.1049418269237776e-08
1920,2.5745588771997063e-08,8.329454459499175e-09
1921,1.5145495524393482e-08,8.330022005509363e-09
1922,3.9103056792555435e-08,1.1804696775641332e-08
1923,3.1847843473542525e-08,1.8047112249064412e-08
1924,3.2229060309418855e-08,1.1602462102189293e-08
1925,3.519416935660047e-08,5.499089184013428e-09
1926,3.78968714187522e-08,1.2260752413340015e-08
1927,3.0102906833917586e-08,1.4493992672726108e-08
1928,3.999114284169991e-08,1.1426041446327417e-08
1929,5.013182757807044e-08,6.684243825105796e-09
1930,3.2561171536826805e-08,1.995684684175103e-08
1931,2.2810713318222042e-08,5.7026783295555106e-09
1932,3.9454331357546835e-08,9.863582839386709e-09
1933,2.408838994938378e-08,1.3764794637438627e-08
1934,3.9539216345474415e-08,1.0783422155213884e-08
1935,3.231436807027421e-08,1.0771455727365264e-08
1936,3.15242587589637e-08,1.576212937948185e-08
1937,1.510934133364117e-08,6.295559185076627e-09
1938,1.8151300906765755e-08,6.482607339819424e-09
1939,1.5294050470515685e-08,4.588215141154706e-09
1940,3.296517903095264e-08,0.0
1941,2.3612020783048138e-08,1.7709016475464523e-08
1942,2.1239483061208375e-08,9.102635090130207e-09
1943,4.3548528338988035e-08,3.193558839598154e-08
1944,2.2492303131116387e-08,6.4263723231761105e-09
1945,2.6142048525912287e-08,1.089252066321933e-08
1946,4.037120149291695e-08,6.960552134671616e-09
1947,2.26496545963073e-08,7.152522574216391e-09
1948,2.391815279167986e-08,1.195907639583993e-08
1949,3.239612667016445e-08,1.0798709482173763e-08
1950,2.0207187034770868e-08,9.571825110299415e-09
1951,3.731490494374157e-08,1.0661401539380222e-08
1952,3.690681538159879e-08,4.2179215675730575e-09
1953,2.5857186614075545e-08,2.1547654771580937e-09
1954,3.518113089739927e-08,5.863521668203475e-09
1955,2.1586897602787758e-08,1.3139850985055546e-08
1956,3.401245152190313e-08,6.976913269340912e-09
1957,1.236905244894615e-08,6.184526224473075e-09
1958,3.6397871383542224e-08,1.6544486669545222e-08
1959,2.0927018340444192e-08,3.100299128533379e-09
1960,2.2146666722733244e-08,6.920833239831836e-09
1961,3.47407969059077e-08,1.042223907177231e-08
1962,2.917300001570311e-08,5.7077609305622445e-09
1963,3.427008365974871e-08,5.1728425987107585e-09
1964,3.1636634645337836e-08,3.6503808864551957e-09
1965,2.954903344232207e-08,1.3132904541635071e-08
1966,2.9357096309468034e-08,8.308612464702492e-09
1967,2.1200442290592036e-08,8.874604162656397e-09
1968,2.6948494991074767e-08,8.533690198930799e-09
1969,2.2254612375149918e-08,6.8126366770115965e-09
1970,2.5292987260172595e-08,6.898087434592526e-09
1971,1.3873672877195986e-08,2.569198631618974e-09
1972,1.9494558856081312e-08,1.2825367434743384e-08
1973,3.528450420731133e-08,5.513203671370093e-09
1974,1.5751600912494723e-08,1.2938814464291681e-08
1975,1.4849848462006321e-08,5.140332159925265e-09
1976,2.1140049710766107e-08,4.570821499072508e-09
1977,1.23412418062685e-08,8.22749424145286e-09
1978,2.1386128423728223e-08,8.316828115084718e-09
1979,1.9896710057309974e-08,9.363157360553487e-09
1980,1.1370301145063877e-08,4.548120546843393e-09
1981,2.0874313833019187e-08,6.958104314946922e-09
1982,3.600351305976801e-08,9.311253101884631e-09
1983,2.5261265079734585e-08,3.157658134966823e-09
1984,3.2474446243213606e-08,4.639206796497319e-09
1985,2.2257564680217e-08,3.609334831011779e-09
1986,2.1580147446798037e-08,1.2588419195935785e-08
1987,2.3832186002437084e-08,1.099947066762752e-08
1988,2.6984492862425213e-08,1.0194141530917022e-08
1989,1.8659616074501173e-08,1.0427432250992297e-08
1990,2.3429199913493903e-08,7.628111475810329e-09
1991,2.05151273746651e-08,5.8614650910726596e-09
1992,1.7080827419135858e-08,9.91789939064347e-09
1993,2.3264671966671813e-08,8.862731881720265e-09
1994,2.3737170451454404e-08,1.002236071911966e-08
1995,1.626735190995987e-08,9.760411145975922e-09
1996,1.7081895009596337e-08,9.074756945892659e-09
1997,1.1987236092636522e-08,1.1987236092636522e-08
1998,1.954932926651054e-08,1.0966696883940585e-08
1999,1.7366764026860437e-08,1.828080442578539e-08
2000,2.2973763336153752e-08,1.0161472552283612e-08
2001,1.621048362210331e-08,1.2267393323384113e-08
2002,2.584920721915296e-08,1.3581786362237835e-08
2003,3.2501997537792704e-08,1.750107614384433e-08
2004,1.8940601975714344e-08,9.250062049659391e-09
2005,2.2518747755384538e-08,1.306087415997581e-08
2006,3.006059756671675e-08,1.4412615101377924e-08
2007,1.677681460421354e-08,5.991719120856942e-09
2008,2.3415918093405708e-08,1.1495087548496485e-08
2009,2.0026408975581944e-08,1.5735034608610476e-08
2010,2.7870378005445673e-08,1.6533276081531767e-08
2011,2.141424282342541e-08,2.332622983658439e-08
2012,2.008509092377153e-08,1.974466634635519e-08
2013,2.147626254611623e-08,1.4224537991935904e-08
2014,1.7323561252169384e-08,1.797319448826329e-08
2015,1.6402658786773827e-08,1.5959342292148904e-08
2016,2.195620396605591e-08,1.9263461936702697e-08
2017,1.861552334503358e-08,1.9621769098421282e-08
2018,1.4456214003644163e-08,1.7295826992835828e-08
2019,1.632632162795744e-08,1.3265136544760026e-08
