year,ait_VERB apporté_VERB,ait_VERB rapporté_VERB
1800,1.3519907327008696e-07,1.9179402954705438e-07
1801,1.2144030847593967e-07,8.096020565062645e-08
1802,1.991677720525331e-07,5.818384352096473e-08
1803,7.411289004721766e-08,4.8758479920252285e-08
1804,1.9527622896475805e-07,1.038177401824214e-07
1805,1.2224374756897305e-07,1.5351540127994667e-07
1806,1.8442682403474464e-07,8.645007198992971e-08
1807,1.2811298688575334e-07,7.402083213037258e-08
1808,2.1754310353117035e-07,1.11037628869326e-07
1809,1.3780086760561971e-07,5.421673421324158e-08
1810,2.854954743725102e-07,1.2402671245581587e-07
1811,1.2535383575595915e-07,9.27618373225414e-08
1812,1.0135391192989118e-07,1.0935553973467904e-07
1813,2.415623043816595e-07,9.202373263406116e-08
1814,9.44003133440674e-08,1.2586708564299443e-08
1815,9.710004889029733e-08,4.8550024445148665e-08
1816,1.6918508549679245e-07,3.244645441213834e-08
1817,9.963989811012652e-08,7.7843672841027e-08
1818,2.098127254157589e-07,1.323250700124845e-07
1819,1.759678553980848e-07,1.552657522552181e-07
1820,1.4595771347103437e-07,9.967844505354151e-08
1821,1.4595002539863344e-07,1.2524090209353744e-07
1822,1.9048670196752937e-07,1.2431763707354548e-07
1823,1.1266263300058199e-07,1.1365089847004128e-07
1824,1.625274705929769e-07,7.663212642228245e-08
1825,1.5849796852762665e-07,1.5849796852762665e-07
1826,1.6206691100251192e-07,1.1714619319036501e-07
1827,1.9356274094661785e-07,1.1060727445055818e-07
1828,2.2013523448549677e-07,1.164882235116238e-07
1829,2.3061843990035413e-07,1.431720448863416e-07
1830,2.066493465235908e-07,1.3463518655498774e-07
1831,1.8241711075006606e-07,1.3564348932959547e-07
1832,1.420646782435142e-07,1.312406965325863e-07
1833,1.8649642186119308e-07,5.79181431703546e-08
1834,1.7548917696785793e-07,8.214387037241977e-08
1835,1.5277437626082246e-07,8.092504089063368e-08
1836,1.1559690449303162e-07,9.073012563476368e-08
1837,1.3985361135837593e-07,1.3985361135837593e-07
1838,1.634849979836872e-07,9.152634561360173e-08
1839,1.789817645203584e-07,9.857979677008188e-08
1840,1.363113426577911e-07,1.0573683084658114e-07
1841,1.4959877603359928e-07,8.796151718115652e-08
1842,1.2678620464612322e-07,9.12324082946725e-08
1843,2.492716362212377e-07,6.792947715439368e-08
1844,1.394094510942523e-07,5.762989374602512e-08
1845,1.2946128435942228e-07,1.0490828827869336e-07
1846,1.674387419825507e-07,6.322861167973315e-08
1847,1.7258315665458213e-07,7.388716483092139e-08
1848,1.6251347290108242e-07,6.516629724728773e-08
1849,1.0641856817983353e-07,6.452149392544015e-08
1850,1.5954140053509036e-07,6.924776130290411e-08
1851,1.65750577707513e-07,9.41618054639548e-08
1852,1.2890879474980466e-07,5.4037528229855525e-08
1853,1.355628569399414e-07,8.062107781370287e-08
1854,1.413220758195166e-07,9.45610949543152e-08
1855,1.294892655323565e-07,8.225752878843196e-08
1856,1.889674052790724e-07,6.73034605824796e-08
1857,1.713409716330716e-07,4.9791392342513063e-08
1858,1.90853370440891e-07,6.410715513993637e-08
1859,1.5887580673279444e-07,6.772590666059841e-08
1860,1.565396843261624e-07,6.499600857523546e-08
1861,1.150695183582684e-07,5.0932406736592384e-08
1862,1.721352731465231e-07,4.337266901188741e-08
1863,1.388504529131751e-07,6.592899381985262e-08
1864,1.2418345818332455e-07,6.760566151342573e-08
1865,1.5203107750494382e-07,7.20147212973643e-08
1866,1.7905455251820968e-07,6.422609288847525e-08
1867,1.6499558341820375e-07,6.890992665375961e-08
1868,1.7289559650635056e-07,6.91582400236257e-08
1869,1.4259876479627565e-07,5.518376511304268e-08
1870,1.5825975197003572e-07,8.31437105830446e-08
1871,8.815577245968598e-08,7.116188527334089e-08
1872,1.1489944995446422e-07,4.535504416480762e-08
1873,1.640165265825999e-07,6.225444337815134e-08
1874,1.601195265266142e-07,7.229277088072195e-08
1875,1.4933185354948364e-07,6.579756473001908e-08
1876,1.511503739948239e-07,8.887641911314859e-08
1877,1.7503029425824934e-07,7.359930975781026e-08
1878,1.3285995237311e-07,5.072834596830944e-08
1879,1.8694535697250103e-07,9.408361023588441e-08
1880,1.283569304177945e-07,6.610381575455904e-08
1881,1.58973179509303e-07,6.972507549107831e-08
1882,1.5307385581309063e-07,5.989846840748214e-08
1883,1.2449098107936152e-07,5.750598575104959e-08
1884,1.855076874335282e-07,7.261866841190567e-08
1885,1.9336907541855908e-07,5.220964993668531e-08
1886,1.877958055729323e-07,6.001721430948237e-08
1887,1.5669418473862606e-07,4.7661149693567495e-08
1888,1.5090662941474875e-07,6.02358412038484e-08
1889,1.3595347070349817e-07,6.766347837583453e-08
1890,1.8286738168171723e-07,6.161123167203186e-08
1891,1.6381746092974936e-07,5.4818293904190796e-08
1892,1.322656117963561e-07,6.581937839200691e-08
1893,1.8413665259231493e-07,5.2962381147381166e-08
1894,1.2729108789244492e-07,3.7809236630437226e-08
1895,1.2338159649516456e-07,5.777869915846168e-08
1896,1.5804037900579715e-07,4.2458609073037223e-08
1897,1.8004544699579128e-07,4.5448366847722355e-08
1898,1.7201398350152886e-07,5.488604415404552e-08
1899,1.2492327527979796e-07,5.3617512207893014e-08
1900,1.536551792469254e-07,4.5162163786471865e-08
1901,1.2351112843589362e-07,4.5827658112784775e-08
1902,1.3552383393289347e-07,4.959386856739911e-08
1903,1.425658098241911e-07,3.132127801563911e-08
1904,1.891868066650204e-07,4.72967016662551e-08
1905,1.584352986583326e-07,5.418797144329801e-08
1906,2.3714690655651793e-07,5.041300710217911e-08
1907,1.8874234797294775e-07,5.297128780057392e-08
1908,1.7140747843313875e-07,8.447589294746649e-08
1909,1.7933206208908814e-07,3.190570296851547e-08
1910,2.1911017711317982e-07,4.11499598840237e-08
1911,1.7397623253145866e-07,3.032613093978398e-08
1912,1.7972503485452762e-07,4.7926675961207366e-08
1913,1.612108917470323e-07,5.674198888527826e-08
1914,1.8884817620801186e-07,3.147469485043075e-08
1915,1.814237293729093e-07,4.005459075528961e-08
1916,2.219467347686077e-07,2.966614687238689e-08
1917,2.478412000073149e-07,5.592876561877347e-08
1918,1.8607929064273776e-07,2.6418664589300533e-08
1919,1.7126598095273948e-07,4.4197673076951105e-08
1920,1.893057941515508e-07,5.1491177543994127e-08
1921,2.0294963576361624e-07,4.316466117870732e-08
1922,1.6157679283423931e-07,3.024953443286904e-08
1923,1.8047111893793044e-07,5.8387715995422695e-08
1924,1.4567535799869802e-07,2.4494086758863887e-08
1925,1.9466774858756253e-07,4.5092530598367375e-08
1926,1.894843535410473e-07,3.901148559748435e-08
1927,1.505145377223016e-07,5.686104742608222e-08
1928,1.6567759075769573e-07,2.5137291359556002e-08
1929,2.2280812572716968e-07,4.4561623724348465e-08
1930,2.2792819720507396e-07,5.146765857944047e-08
1931,1.6765874022439675e-07,3.877821086462063e-08
1932,1.6877686448424356e-07,6.904507898752854e-08
1933,2.0303072290062119e-07,5.735331143341682e-08
1934,2.1566845020970504e-07,4.7926320689839486e-08
1935,2.046576526026911e-07,3.8298509252854274e-08
1936,1.5519634644078906e-07,5.2136272188363364e-08
1937,1.8508943355755036e-07,6.673292318737367e-08
1938,1.9188517796919768e-07,5.186085871855539e-08
1939,2.0799907929358596e-07,4.282334131744392e-08
1940,1.3693227174371714e-07,6.085878823114399e-08
1941,1.741386483899987e-07,3.836953510472085e-08
1942,1.608132293995368e-07,4.5513175450651033e-08
1943,2.1483940315647487e-07,3.193558839598154e-08
1944,1.4459337194239197e-07,4.819779064746399e-08
1945,1.895298566978454e-07,4.574858536443571e-08
1946,1.8097435372510517e-07,5.8468636154884734e-08
1947,1.8358140607688256e-07,5.245183132274178e-08
1948,1.0545731043976048e-07,4.240036233227329e-08
1949,1.4038322149190208e-07,4.712163814701853e-08
1950,1.7761053072717914e-07,3.828730044119766e-08
1951,1.4073050635943218e-07,5.757156884556025e-08
1952,1.3181005442675087e-07,6.959570697517847e-08
1953,2.0578009696237132e-07,3.770839640537815e-08
1954,1.3681550115052232e-07,4.88626810124515e-08
1955,1.7551086273215333e-07,4.974372203037092e-08
1956,1.8227186160402198e-07,4.0117249966442614e-08
