year,devant_VERB accompagner_VERB
1800,1.8864987794131594e-08
1801,0.0
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,8.528632911009026e-09
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,1.6842225392110777e-09
1825,0.0
1826,7.927186018719112e-09
1827,0.0
1828,2.7516904310687096e-09
1829,0.0
1830,7.305785310052215e-09
1831,1.091384405071949e-08
1832,8.117981842303834e-09
1833,1.1583628500844156e-09
1834,1.1201436889152205e-08
1835,3.781543966852041e-09
1836,4.032449929525228e-09
1837,4.174734669071256e-09
1838,6.312161904276081e-10
1839,9.788065469251706e-09
1840,3.821813088222825e-09
1841,3.852329122366882e-09
1842,1.2745703159566801e-08
1843,2.3627644285539873e-09
1844,4.390849017710252e-09
1845,6.696273757711424e-09
1846,6.439951683034906e-09
1847,1.0786447290911383e-09
1848,0.0
1849,6.703531951757213e-09
1850,2.7155984128057753e-09
1851,3.2247193804124663e-09
1852,1.9531636308300904e-09
1853,5.971931837933653e-09
1854,5.195664620760709e-09
1855,6.8990182455763716e-09
1856,3.1063134287023786e-09
1857,5.857810903009408e-09
1858,6.851146261421803e-09
1859,7.638259802433822e-09
1860,1.0069804545764782e-08
1861,7.545542191067511e-09
1862,7.6805766469068e-09
1863,6.493007020935693e-09
1864,4.794728170054441e-09
1865,1.0355057256106193e-08
1866,1.0704348518686402e-08
1867,1.455843445796745e-08
1868,6.421836395986702e-09
1869,8.790334682373668e-09
1870,1.3761717099214366e-08
1871,1.274541272522356e-08
1872,4.837871325769072e-09
1873,1.6760813181804224e-08
1874,8.961913877669758e-09
1875,2.1169650921137873e-08
1876,1.209202959984168e-08
1877,2.968711676487601e-08
1878,2.113681046855831e-08
1879,1.649517855639715e-08
1880,1.2193908105473383e-08
1881,2.8587281875047665e-08
1882,2.728707926280549e-08
1883,1.0742875922176154e-08
1884,1.3203393933736152e-08
1885,3.3517306263775026e-08
1886,1.1616235084943582e-08
1887,1.9586773092328258e-08
1888,3.297119732792453e-08
1889,2.0674951528576457e-08
1890,1.5075089621063853e-08
1891,2.2309770031370135e-08
1892,2.1312942521944933e-08
1893,2.0938616174248637e-08
1894,2.3945849747519787e-08
1895,1.1435367319734269e-08
1896,1.7691087705884456e-08
1897,3.029891004757701e-08
1898,2.093591255913907e-08
1899,1.713549302451156e-08
1900,1.661137005726232e-08
1901,2.179608138419553e-08
1902,1.816805017540446e-08
1903,1.7820726228023887e-08
1904,1.7198800605910947e-08
1905,2.4255568220610257e-08
1906,1.4403716441790948e-08
1907,3.805704196224724e-08
1908,2.7503778810000767e-08
1909,1.980354014108343e-08
1910,1.8170112525695004e-08
1911,3.1922244847493175e-08
1912,2.81308754068732e-08
1913,1.9090762748419365e-08
1914,1.4732836284281348e-08
1915,2.9451904026700504e-08
1916,1.3184954683609362e-08
1917,2.52227767560953e-08
1918,4.135095466040184e-08
1919,2.9465114792515124e-08
1920,1.8930579770426448e-08
1921,2.499006690470651e-08
1922,1.4018077365562931e-08
1923,2.5478275045287546e-08
1924,1.804827398643738e-08
1925,2.3096173862313663e-08
1926,1.3375366592072169e-08
1927,1.3379070296082318e-08
1928,4.113374862946273e-08
1929,1.893869061575515e-08
1930,2.3107928015519974e-08
1931,3.763767697506637e-08
1932,4.164623845781534e-08
1933,4.817677989876756e-08
1934,2.516131836216573e-08
1935,3.231436807027421e-08
1936,2.9099314957647948e-08
1937,2.2664012888640173e-08
1938,2.9819993585533666e-08
1939,3.8235125288110794e-08
1940,3.550096039361961e-08
1941,3.5418032950929046e-08
1942,1.2136847082899749e-08
1943,1.7419411690866582e-08
1944,4.4984606262232774e-08
1945,4.357008087652048e-09
1946,1.6705325123211878e-08
1947,2.9802176726434482e-08
1948,2.3918152569635254e-08
1949,2.2579119018928395e-08
1950,1.914365022059883e-08
1951,3.3050344683260846e-08
1952,2.6362009464264702e-08
1953,1.939288907237824e-08
1954,1.3681550115052232e-08
1955,1.220129064449793e-08
1956,1.4825940475304833e-08
1957,1.767007518083119e-08
1958,2.7298403537656668e-08
1959,2.1702094343822864e-08
1960,2.145458255498056e-08
1961,3.54356138876355e-08
1962,2.600202120284223e-08
1963,1.2932106940866106e-08
1964,2.6161064425878067e-08
1965,1.9152151253809535e-08
1966,3.5450078428311826e-08
1967,2.1693477236794934e-08
1968,3.368561962702188e-08
1969,2.043791091921321e-08
1970,4.8746485958872654e-08
1971,3.237190426830239e-08
1972,4.001514497531389e-08
1973,2.3706776208776148e-08
1974,3.037808582462276e-08
1975,5.9399393848025284e-08
1976,3.199575004941835e-08
1977,3.819908195312749e-08
1978,3.861384378911481e-08
1979,4.037861744965454e-08
1980,3.581644764105718e-08
1981,3.542307780435294e-08
1982,2.669225906970496e-08
1983,2.8418922992656803e-08
1984,6.146948960950027e-08
1985,4.271046094572739e-08
1986,3.896415634585537e-08
1987,3.299841111470414e-08
1988,7.075933439182336e-08
1989,3.6770419264975374e-08
1990,8.826814479334644e-08
1991,4.6891720728581276e-08
1992,2.093778761480536e-08
1993,4.043621260052532e-08
1994,3.9034457388620325e-08
1995,3.7414911779887206e-08
1996,2.7224270615633372e-08
1997,5.082588216964723e-08
1998,3.433052953027982e-08
1999,2.833524703760304e-08
2000,3.048441687969472e-08
2001,4.205963327619244e-08
2002,3.1982915593697925e-08
2003,2.416815370054337e-08
2004,3.3916894182084434e-08
2005,3.467887310648621e-08
2006,3.088417449559344e-08
2007,2.8760252845927425e-08
2008,4.0871420026178384e-08
2009,2.62250594573743e-08
2010,2.692562084405381e-08
2011,2.5620612270627063e-08
2012,2.0765940772493607e-08
2013,2.7333426189102283e-08
2014,2.0788274213145996e-08
2015,2.1722439139115757e-08
2016,2.2577605701679104e-08
2017,2.2892063356039216e-08
2018,2.090988004965766e-08
2019,1.5305927192343916e-08
