year,avaient_VERB ajouté_VERB,avaient_VERB rajouté_VERB
1800,1.4463157071986643e-07,0.0
1801,1.1191558257905854e-07,0.0
1802,9.622712582313397e-08,0.0
1803,7.606323038089613e-08,0.0
1804,1.2853624298259092e-07,0.0
1805,7.675770063997334e-08,0.0
1806,8.06867319624871e-08,0.0
1807,1.9643989901396708e-07,0.0
1808,9.290903335568146e-08,0.0
1809,1.8524050915402768e-07,0.0
1810,1.263668423234776e-07,0.0
1811,9.526891631139733e-08,0.0
1812,1.9203899626063503e-07,0.0
1813,1.35159851311073e-07,0.0
1814,1.321604372606089e-07,0.0
1815,8.091670622434322e-08,0.0
1816,9.965696534663948e-08,0.0
1817,1.2454987086130132e-07,0.0
1818,1.680886043686769e-07,0.0
1819,1.656167967212241e-07,0.0
1820,1.6731738128328288e-07,0.0
1821,9.762873531826699e-08,0.0
1822,1.9048670196752937e-07,0.0
1823,1.2353358158634364e-07,0.0
1824,1.5831692223855498e-07,0.0
1825,1.6025906290906278e-07,0.0
1826,1.1802698907104059e-07,0.0
1827,1.843454668915001e-07,0.0
1828,1.6051527040872315e-07,0.0
1829,2.220452586243482e-07,0.0
1830,1.3985359714752121e-07,0.0
1831,2.1983601072861347e-07,0.0
1832,1.4477066656581883e-07,0.0
1833,1.285782786908385e-07,0.0
1834,1.0081293311259287e-07,0.0
1835,2.0193445493532636e-07,0.0
1836,1.7608364544230426e-07,0.0
1837,1.3567887435783632e-07,0.0
1838,1.8747121544038237e-07,0.0
1839,1.5451159640633705e-07,0.0
1840,2.2994575488155533e-07,0.0
1841,2.2536124788530287e-07,0.0
1842,1.8045233218799694e-07,0.0
1843,2.2505331287447916e-07,0.0
1844,2.1624931889618892e-07,0.0
1845,1.584784712349574e-07,0.0
1846,2.1017659435074165e-07,0.0
1847,2.2813335931459733e-07,0.0
1848,1.8584462679882563e-07,0.0
1849,1.9188860278518405e-07,0.0
1850,2.0095427544220001e-07,0.0
1851,2.199258659629777e-07,0.0
1852,1.9401424822262925e-07,0.0
1853,1.4571513418104587e-07,0.0
1854,1.9431784892276482e-07,0.0
1855,2.833904488852568e-07,0.0
1856,1.775775899659493e-07,0.0
1857,1.4351637389609095e-07,0.0
1858,1.7519360540063644e-07,0.0
1859,2.3118467140648136e-07,0.0
1860,2.581531646228541e-07,0.0
1861,1.329901806457201e-07,0.0
1862,2.0059859195953322e-07,0.0
1863,1.7031656796007155e-07,0.0
1864,1.6445916628526902e-07,0.0
1865,1.8309624749690556e-07,0.0
1866,1.6494428223268187e-07,0.0
1867,1.7761290393991658e-07,0.0
1868,1.4375034140812204e-07,0.0
1869,2.275719879207827e-07,0.0
1870,1.869299950385539e-07,0.0
1871,1.667524855974989e-07,0.0
1872,1.765823043342607e-07,0.0
1873,1.6461511620491365e-07,0.0
1874,1.5115760731987393e-07,0.0
1875,1.636356756762325e-07,0.0
1876,1.3240772034350812e-07,0.0
1877,1.564758491667817e-07,0.0
1878,1.642632128096011e-07,0.0
1879,1.3990354830184515e-07,0.0
1880,1.7328184753750975e-07,0.0
1881,1.8058794637454412e-07,0.0
1882,1.6971232241758116e-07,0.0
1883,1.59879277816799e-07,0.0
1884,1.293932569979006e-07,0.0
1885,1.23756208836312e-07,0.0
1886,1.342320530284269e-07,0.0
1887,1.351487384226857e-07,0.0
1888,9.70114015785839e-08,0.0
1889,1.3282090094435262e-07,0.0
1890,1.0945825579256052e-07,0.0
1891,1.0262494498647357e-07,0.0
1892,9.026658176480851e-08,0.0
1893,1.471861565960353e-07,0.0
1894,1.1216739892461192e-07,0.0
1895,8.847363375252826e-08,0.0
1896,1.0260830407560206e-07,0.0
1897,1.0779420023254715e-07,0.0
1898,1.1146958911467664e-07,0.0
1899,1.1718466197407906e-07,0.0
1900,8.980521926105212e-08,0.0
1901,1.1456914705831878e-07,0.0
1902,6.923499995536986e-08,0.0
1903,1.0800440719549442e-07,0.0
1904,8.599400302955473e-08,0.0
1905,9.237759002189705e-08,0.0
1906,1.0545578277287859e-07,0.0
1907,7.25140907320565e-08,0.0
1908,1.1050625658981517e-07,0.0
1909,8.911593596394596e-08,0.0
1910,9.352263674600181e-08,0.0
1911,7.820950287396045e-08,0.0
1912,7.449472150256042e-08,0.0
1913,7.052976513932663e-08,0.0
1914,1.0781757708855366e-07,0.0
1915,6.597226587246041e-08,0.0
1916,1.1317085579776176e-07,0.0
1917,8.224818515145671e-08,0.0
1918,9.074237539152818e-08,0.0
1919,9.760319130691641e-08,0.0
1920,1.0449679876955997e-07,0.0
1921,1.0450391130234493e-07,0.0
1922,9.07486068513208e-08,0.0
1923,8.280439800500972e-08,0.0
1924,9.539802192648494e-08,0.0
1925,1.1108159725381483e-07,0.0
1926,9.808601930672012e-08,0.0
1927,1.2933101345424802e-07,0.0
1928,1.1540301869672476e-07,2.2852082448565625e-09
1929,9.91496165170247e-08,0.0
1930,1.0608639655629304e-07,0.0
1931,7.52753521737759e-08,0.0
1932,8.76762911161677e-08,0.0
1933,8.602996359741155e-08,0.0
1934,8.147474517272713e-08,0.0
1935,5.744776387928141e-08,0.0
1936,6.789839801513153e-08,0.0
1937,8.058315614789535e-08,0.0
1938,5.575042294481136e-08,0.0
1939,9.176430637580779e-08,1.5294050470515685e-09
1940,9.382397081481031e-08,0.0
1941,6.788455664263893e-08,2.9515025978810172e-09
1942,1.0012898599143227e-07,0.0
1943,8.419382169222445e-08,0.0
1944,4.4984606262232774e-08,0.0
1945,1.0892519952676594e-07,0.0
1946,6.682130049284751e-08,0.0
1947,1.0490366264548356e-07,0.0
1948,9.0236667915633e-08,0.0
1949,7.657266820615405e-08,0.0
1950,1.0741715072981606e-07,0.0
1951,9.275419188270462e-08,0.0
1952,6.959570697517847e-08,0.0
1953,7.326202933199966e-08,0.0
1954,7.036226179479854e-08,0.0
1955,7.226918086189471e-08,0.0
1956,5.6687419203171885e-08,0.0
1957,6.537928243233182e-08,0.0
1958,5.707848060865217e-08,8.272243445794913e-10
1959,5.735553543217975e-08,7.750747821333448e-10
1960,5.259833457671448e-08,0.0
1961,7.365049015106706e-08,2.08444772553662e-09
1962,7.039571414679813e-08,1.2683912808952869e-09
1963,7.371300370095923e-08,0.0
1964,7.48328119470898e-08,2.4335873316516654e-09
1965,6.511731953651179e-08,5.472043373977442e-10
