year,pouvaient_VERB établir_VERB,pouvaient_VERB rétablir_VERB
1800,6.288328968651058e-09,0.0
1801,1.4287095950749062e-08,2.6193008650921e-08
1802,3.3567602031325805e-08,0.0
1803,5.851017448321727e-09,0.0
1804,2.4718509905596875e-08,1.4831105232815389e-08
1805,4.8328921309348516e-08,0.0
1806,2.305335300434308e-08,8.645007376628655e-09
1807,5.4092147649953404e-08,5.693910232196231e-09
1808,3.3991110370834576e-08,2.2660739951163578e-09
1809,6.325285539787728e-08,1.8072244145628247e-08
1810,1.6380887757350138e-08,0.0
1811,7.521229861140455e-09,0.0
1812,4.800974906515876e-08,5.3344164641089264e-09
1813,4.026038169513413e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,5.1247248222807684e-08,2.1577788444915313e-08
1816,5.0987285504788815e-08,0.0
1817,3.89218364205135e-08,7.784366928831332e-09
1818,3.337929754820834e-08,9.536941902865692e-09
1819,2.4842520929269085e-08,1.449147024601416e-08
1820,2.7292905713238724e-08,3.5599443393152796e-09
1821,3.550135829755163e-08,6.903041693817613e-09
1822,2.90742860897808e-08,1.5038423839541792e-08
1823,3.656594316225892e-08,1.7788837070042973e-08
1824,2.863178316658832e-08,3.03160057057994e-08
1825,2.6416328680056722e-08,1.6730341556581152e-08
1826,5.549030035467695e-08,6.1655889282974385e-09
1827,5.346018383534101e-08,4.7008093417844066e-08
1828,5.6868266540277546e-08,1.7427371545863934e-08
1829,6.601345603485242e-08,1.457439946506156e-08
1830,4.4878394334091354e-08,1.6698937344017395e-08
1831,2.3386808933878456e-08,1.5591206103948707e-09
1832,5.817886972181441e-08,2.976593194148336e-08
1833,2.7800709290204395e-08,4.6334514003376626e-09
1834,3.080395316601425e-08,1.3068342852307069e-08
1835,4.840376277570613e-08,3.781543966852041e-09
1836,3.5619976301859424e-08,1.5457725766054864e-08
1837,4.0355768504696243e-08,9.74104708006962e-09
1838,3.3454458758797045e-08,1.9567702125300457e-08
1839,1.8876983531868063e-08,5.5931801412612e-09
1840,4.58617570586739e-08,1.2102408852854296e-08
1841,4.3017674755674307e-08,3.2102742686390684e-09
1842,3.6224630406422875e-08,2.0124794275488966e-08
1843,3.1306630177141415e-08,1.4767278067040479e-08
1844,4.610391357573462e-08,1.6465683927435748e-08
1845,3.682950477923441e-08,5.022205318283568e-09
1846,7.962121628679597e-08,5.269050973311096e-09
1847,3.9909856752728956e-08,1.77976389181822e-08
1848,5.390298696283935e-08,2.413566457803995e-09
1849,3.854530916669319e-08,8.379414939696517e-10
1850,6.517436190733861e-08,1.2220192857625989e-08
1851,2.1283147688677673e-08,4.514607354622058e-09
1852,7.682443481371592e-08,1.9531636308300904e-09
1853,3.1651239851271384e-08,2.9859659189668264e-09
1854,3.013485283531736e-08,1.7145692865483397e-08
