year,aurait_VERB apporté_VERB,aurait_VERB rapporté_VERB
1800,4.7162465932615305e-08,4.4018303668735825e-08
1801,3.095537337571841e-08,9.524730337773235e-09
1802,4.923248297927785e-08,3.1329761895904085e-08
1803,2.5354410126965377e-08,1.3652374342143503e-08
1804,4.943701981119375e-08,2.4718509905596875e-08
1805,5.685755510853596e-08,2.55858996212055e-08
1806,1.152667650217154e-08,8.645007376628655e-09
1807,1.6512339584551228e-07,1.1387820464392462e-08
1808,4.078933102391602e-08,1.5862518409903714e-08
1809,4.292158095609011e-08,9.036122072814123e-09
1810,3.978215445954447e-08,1.4040760554223652e-08
1811,1.0529722516139373e-07,3.760615285841595e-08
1812,6.13457871168066e-08,5.3344164641089264e-09
1813,7.764502640839055e-08,4.3136125782439194e-08
1814,3.776012391654149e-08,3.1466772298927026e-08
1815,9.440282155992463e-08,5.394447111228828e-09
1816,3.9399267848239106e-08,3.0128852301913867e-08
1817,8.874178547557676e-08,4.826307531402563e-08
1818,4.768470773797162e-08,4.053200441944682e-08
1819,8.69488232524418e-08,3.9333990287104825e-08
1820,7.357218123615894e-08,3.678609061807947e-08
1821,7.396116075142345e-08,4.536284592404627e-08
1822,9.323822780515911e-08,3.208197085768916e-08
1823,1.0179167730939298e-07,2.2730180404550993e-08
1824,9.094802067011187e-08,5.3053010873327366e-08
1825,1.2239566160587856e-07,2.289415235168235e-08
1826,8.631824499616414e-08,4.4039921931471326e-08
1827,9.217273344575005e-08,4.2399456390285195e-08
1828,1.1098484264948638e-07,1.1923991571904935e-08
1829,1.2516836989107105e-07,3.3435387791769244e-08
1830,7.723258477199124e-08,7.931995327226105e-08
1831,9.042899762334855e-08,2.9623292263636358e-08
1832,1.2176973029909277e-07,6.088486514954639e-08
1833,9.846084481068829e-08,1.3900354645102198e-08
1834,9.241185949804276e-08,2.7070139907436896e-08
1835,7.941242330389287e-08,2.7227116561334697e-08
1836,1.3239878171589226e-07,5.5782226837663984e-08
1837,8.836521203647862e-08,5.4967337348443834e-08
1838,1.0983161757849302e-07,4.797243136067664e-08
1839,9.927894950578775e-08,2.866504900111977e-08
1840,8.981260890550402e-08,5.6690229399691816e-08
1841,1.1878015016009158e-07,4.494383887276854e-08
1842,1.2678620464612322e-07,4.628702754416736e-08
1843,8.033399012674636e-08,3.898561473647533e-08
1844,1.1196664928547762e-07,6.476502534269457e-08
1845,1.0769839775548462e-07,3.2923345827384765e-08
1846,1.2352997202924598e-07,5.327596142024049e-08
1847,1.5694280364186852e-07,3.9909856752728956e-08
1848,1.3998685233218566e-07,4.34441957963827e-08
1849,1.8183330041665613e-07,4.608678239037545e-08
1850,1.6904600386169477e-07,3.1229383523623255e-08
1851,1.1415506406819986e-07,6.578427758086036e-08
1852,8.398603768000612e-08,5.6641745516117226e-08
1853,1.2063301824127848e-07,5.4941772020811186e-08
1854,9.092412511790826e-08,3.4291385730966795e-08
1855,1.5496256366986927e-07,4.617035287424187e-08
1856,1.0302606767709221e-07,4.970101485923806e-08
1857,1.1959697587826668e-07,6.053070933376148e-08
1858,1.0325656063514543e-07,5.529853908115001e-08
1859,1.425808591193345e-07,6.416138376152958e-08
1860,1.0298663966068489e-07,5.950339243554481e-08
1861,1.1035355385047296e-07,6.790988038574142e-08
1862,1.296662048844155e-07,3.4788495639759276e-08
1863,1.3485475847119233e-07,3.446288232566985e-08
1864,1.2753976363910624e-07,4.554991406280351e-08
1865,1.0543331541157386e-07,3.3418594114209554e-08
1866,1.0266442984629975e-07,4.135770836910524e-08
1867,8.977701071444244e-08,4.707226963773792e-08
1868,9.583355620179645e-08,5.532658775564414e-08
1869,1.001121390231674e-07,6.983432143670143e-08
1870,9.461180638936639e-08,4.587239033071455e-08
1871,1.391374269132939e-07,3.186353225714811e-08
1872,1.2336572297044768e-07,5.865918950576088e-08
1873,1.0894527946447852e-07,3.1725821969530443e-08
1874,1.218820244730523e-07,8.364452952491774e-08
1875,1.4933185354948364e-07,5.778742462325681e-08
1876,1.1971108904162975e-07,5.501873445723504e-08
1877,1.298811298511282e-07,2.4739264858908427e-08
1878,1.5339284686888277e-07,4.891661831152305e-08
1879,9.89710713383829e-08,5.742765907257308e-08
1880,9.1775198995947e-08,7.059630746653056e-08
1881,8.436734333372442e-08,5.159655458442103e-08
1882,1.1780031883290576e-07,4.858431168486277e-08
1883,9.163041170268116e-08,7.456819872686538e-08
1884,1.2147123129579995e-07,5.149323811792783e-08
1885,1.2568989404826425e-07,5.0920522909336796e-08
1886,1.3939481391389563e-07,5.0337018109303244e-08
1887,1.1164461000134906e-07,5.223139609711325e-08
1888,1.1286294210322012e-07,6.657645457153194e-08
1889,1.1778457320588132e-07,4.698852507090123e-08
1890,1.0683650231158026e-07,6.816561892719619e-08
1891,1.1027400859120462e-07,4.9081492647928826e-08
1892,1.341461626225282e-07,5.2655504845233736e-08
1893,1.570396221950432e-07,7.75960486976146e-08
1894,1.235101763086277e-07,4.600123659770361e-08
1895,1.0051086007933918e-07,7.04177907095982e-08
1896,1.0496711411178694e-07,6.781583294923621e-08
1897,1.1362091356659221e-07,5.4188436848789934e-08
1898,1.4259053671139554e-07,5.149102833001962e-08
1899,1.111043275159318e-07,6.522542150833033e-08
