year,put_VERB accompagner_VERB
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,0.0
1804,0.0
1805,0.0
1806,1.729001475325731e-08
1807,5.693910232196231e-09
1808,0.0
1809,1.8072244145628247e-08
1810,1.8721014072298203e-08
1811,3.760615285841595e-08
1812,4.000812481308458e-08
1813,0.0
1814,3.4613449884091096e-08
1815,4.045835311217161e-08
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,1.035105001712111e-09
1820,7.119888678630559e-09
1821,1.0847637454958203e-08
1822,1.4035862250239006e-08
1823,9.882686891060644e-10
1824,4.378978601948802e-08
1825,0.0
1826,1.6735169694470642e-08
1827,9.217273166939322e-09
1828,1.7427371545863934e-08
1829,1.7146351893870815e-08
1830,2.7135772739939057e-08
1831,6.236482441579483e-09
1832,6.764984572527055e-09
1833,6.950177322551099e-09
1834,6.534171426153534e-09
1835,3.781543966852041e-09
1836,2.9571300075303952e-08
1837,1.2524203896191466e-08
1838,1.4517972601879592e-08
1839,1.6080392128969834e-08
1840,1.46502836528839e-08
1841,5.1364388298225094e-09
1842,1.6770663080478698e-08
1843,8.860366662588604e-09
1844,1.097712254427563e-09
1845,1.2834524554250493e-08
1846,9.952652035849496e-09
1847,1.9954928376364478e-08
1848,4.82713291560799e-09
1849,1.6758828991214614e-08
1850,3.394498016007219e-09
1851,5.8044946626978344e-09
1852,5.859490670445666e-09
1853,1.911018188138769e-08
1854,1.2469595134234623e-08
1855,7.429711956774554e-09
1856,2.0708756931497874e-09
1857,4.881508974818871e-09
1858,1.2723557318849998e-08
1859,2.5460866748261424e-09
1860,1.1900677776566226e-08
1861,6.13075279431996e-09
1862,1.1294965851504912e-08
1863,8.990317823531768e-09
1864,3.3563094525845827e-09
1865,1.1296426905005319e-08
1866,1.0704348518686402e-08
1867,5.338092634588065e-09
1868,1.1855697756857353e-08
1869,3.4184632902167778e-09
1870,4.587239033071455e-09
1871,0.0
1872,2.4189357183956872e-09
1873,1.1373408881354408e-08
1874,2.9873046258899194e-09
1875,4.577221712764867e-09
1876,8.464420275799966e-09
1877,1.793596560162314e-08
1878,1.2078177569208037e-08
1879,1.7717043832021773e-08
1880,1.0268554007097919e-08
1881,1.045876096839038e-08
1882,3.3276925659464496e-09
1883,5.0554711528150165e-09
1884,5.281357573494461e-09
1885,1.0957580620640783e-08
1886,1.097088819790315e-08
1887,7.1818169189441505e-09
1888,5.07249175996094e-09
1889,5.6386229019267375e-09
1890,5.898947996740844e-09
1891,3.1871101313640793e-09
1892,1.191017329205124e-08
1893,1.23168328869383e-08
1894,1.3863386882917439e-08
1895,8.426059849853118e-09
1896,5.897029087265082e-09
1897,9.905413378419325e-09
1898,9.619203211741478e-09
1899,1.5477219506010442e-08
1900,9.34389543516545e-09
1901,8.941982265753268e-09
1902,3.928227076954727e-09
1903,2.1600881083827517e-09
1904,6.449550227216605e-09
1905,4.64468330463319e-09
1906,1.0802787109298606e-08
