year,pourront_VERB envoyer_VERB,pourront_VERB renvoyer_VERB
1800,8.489244152087849e-08,0.0
1801,4.524246932646747e-08,0.0
1802,2.9091921760482364e-08,8.951360541686881e-09
1803,2.3404069793286908e-08,0.0
1804,2.9662210465630778e-08,4.943701892301533e-09
1805,2.2743021688143017e-08,5.685755422035754e-09
1806,2.305335300434308e-08,2.881669125542885e-09
1807,9.679647661187119e-08,2.562259560079383e-08
1808,4.985362878073829e-08,1.3596443970698147e-08
1809,5.6475762733043666e-08,0.0
1810,1.8487001796074765e-07,0.0
1811,1.7549536934780008e-08,7.521229861140455e-09
1812,3.467370746079723e-08,8.00162425207418e-09
1813,1.7254450312975678e-08,8.627225156487839e-09
1814,5.034683425719777e-08,0.0
1815,1.0788894222457657e-08,8.091670444798638e-09
1816,7.648093003354006e-08,6.257530316133852e-08
1817,9.808302792180257e-08,0.0
1818,5.0068944545955674e-08,0.0
1819,4.34744116262209e-08,1.0351049795076506e-08
1820,4.865257352548724e-08,5.933240565525466e-09
1821,5.818278125957477e-08,1.1833785507064931e-08
1822,2.7069162911175226e-08,6.015369535816717e-09
1823,5.5343047478118024e-08,3.9530747564242574e-09
1824,1.9368560089105813e-08,1.2631669044083083e-08
1825,4.3146670236637874e-08,3.522177216552791e-09
1826,4.580151724553616e-08,1.4092774947016551e-08
1827,3.410390903013649e-08,3.041700225026034e-08
1828,1.7427371545863934e-08,2.8434133270138773e-08
1829,9.687688873327716e-08,1.3717081692732336e-08
1830,3.652892388572582e-08,1.0436835840010872e-09
1831,2.9623292263636358e-08,1.091384405071949e-08
1832,5.682587200794842e-08,1.3529969367098715e-09
1833,3.59092489077284e-08,1.2741991461950875e-08
1834,1.2601616106167057e-07,3.733812370398937e-09
1835,6.882410019670715e-08,7.563087933704082e-09
1836,8.468145296092189e-08,8.736974699274924e-09
1837,6.679574937606958e-08,4.174734336004349e-09
1838,3.3454458758797045e-08,1.4517972601879592e-08
1839,4.194885150354821e-08,6.9914749545318955e-09
1840,5.286841542329057e-08,5.095750932326837e-09
1841,5.008027770259105e-08,8.988767952189392e-09
1842,2.5491406319133603e-08,6.708265054555795e-09
1843,3.7804230856863796e-08,8.860366662588604e-09
1844,3.622450606144412e-08,5.488561161115513e-09
1845,4.185170965342877e-08,1.0044410636567136e-08
1846,7.025401771443285e-08,8.781752214304106e-09
1847,4.7460368080010085e-08,6.47186837454683e-09
1848,1.0297883790144624e-07,1.045878850192139e-08
1849,7.122502410084053e-08,2.5976186535103807e-08
1850,4.820187271548093e-08,1.3577992064028876e-09
1851,2.644269869733762e-08,4.514607354622058e-09
1852,3.059956199535918e-08,1.3021090872200602e-08
1853,2.329053394589664e-08,7.166318205520383e-09
1854,3.3252252507054436e-08,1.0910895298366086e-08
1855,4.0332722051061864e-08,5.306937111981824e-09
1856,3.572260709461261e-08,5.694908100650764e-09
1857,3.270611159678083e-08,7.810414537345878e-09
1858,4.4532452392331834e-08,6.8511463169329545e-09
1859,4.53203412575931e-08,1.1202780925145817e-08
1860,5.40107691904268e-08,8.696649622663699e-09
1861,6.649509032286005e-08,5.187560159214399e-09
1862,4.517986340601965e-08,4.9697850279528666e-09
1863,7.641769883548477e-08,3.496234635136375e-09
1864,5.370095124135332e-08,1.0548401263577034e-08
1865,6.071829261600215e-08,1.1767110841276462e-08
1866,2.432806489593986e-08,9.731225825149181e-10
1867,4.610171089325377e-08,6.308654931785895e-09
1868,5.186867824136243e-08,6.421836395986702e-09
1869,5.9578933786497146e-08,8.790334682373668e-09
1870,5.963410387721524e-08,4.013834153937523e-09
1871,2.549082545044712e-08,5.3105884134652115e-09
1872,5.865918950576088e-08,3.628403577593531e-09
1873,2.5141218884527916e-08,1.1972008939764578e-09
1874,2.8678122987457755e-08,1.0156835372754358e-08
1875,3.3757011408397375e-08,8.010138330405425e-09
1876,8.222580305528027e-08,4.836811839936672e-09
1877,3.030559980743419e-08,1.8554447978047506e-09
1878,5.254007007238215e-08,6.039088784604019e-09
1879,7.270097057698877e-08,7.331190321480108e-09
1880,4.4924924225142604e-08,3.8507077526617195e-09
1881,1.0598211730439289e-07,3.4862537301449947e-09
1882,5.257754409626614e-08,5.324308105514319e-09
1883,9.099848341520556e-08,6.319338829996468e-09
1884,6.667713847718915e-08,2.6406787867472303e-09
1885,7.412481295432372e-08,5.80107206715752e-09
1886,8.905779935730607e-08,1.2906927748801422e-09
1887,3.3297514079322355e-08,1.3057849024278312e-08
1888,4.818867083145051e-08,5.706553452000662e-09
1889,3.821733329800736e-08,1.8795409673089125e-09
1890,4.0637196718762425e-08,1.3108772956016423e-09
1891,3.4420789774003424e-08,5.736798147637501e-09
1892,3.13425623232888e-08,1.4417578242387208e-08
1893,7.082179109829667e-08,0.0
1894,4.4110773700367645e-08,3.150769645188234e-09
1895,2.768562623600701e-08,3.0093072478365457e-09
1896,5.484237064479203e-08,7.076434549446731e-09
1897,3.3212266714599536e-08,2.9133566670225264e-09
1898,4.639851169940812e-08,5.092519295146758e-09
1899,5.085372123403431e-08,2.7637891975018647e-09
1900,3.633737222230593e-08,6.22926377147337e-09
1901,5.7005138387467014e-08,5.029864968975062e-09
1902,5.352209342390779e-08,7.365425602756659e-09
1903,3.834156458992766e-08,4.860198465905796e-09
1904,5.320879026271541e-08,2.1498500757388683e-09
1905,6.605771574186292e-08,1.0321518084666081e-09
1906,5.041300710217911e-08,7.201858220895474e-09
1907,5.348557152728972e-08,1.5428529565042481e-09
1908,4.371136341774218e-08,4.4202499438483756e-09
1909,3.685659066832159e-08,4.400786846048277e-09
1910,3.954671612405036e-08,7.481810726517324e-09
1911,4.5223181643905264e-08,6.384448969498635e-09
1912,4.219631222213138e-08,1.5628263128064646e-09
1913,4.401481490390324e-08,0.0
1914,6.094036564263661e-08,3.3483718020477227e-09
1915,2.9451904026700504e-08,1.1780761921542648e-09
1916,4.394984642885902e-08,5.493730803607377e-09
1917,3.61891991929042e-08,0.0
1918,1.6080926812378493e-08,1.1486376294556067e-09
1919,3.775218004875569e-08,9.207848705727883e-09
1920,3.8618381381638756e-08,2.2716695191604686e-09
1921,3.4077363153528495e-08,5.300923255902035e-09
1922,2.8036154731125862e-08,2.2133805899215986e-09
1923,4.458698299458774e-08,4.246379248229459e-09
1924,2.9650736976805092e-08,5.156649773851996e-09
1925,1.7597084678300234e-08,2.1996355847875293e-09
1926,2.5636119005412183e-08,4.458455382660986e-09
1927,3.0102906833917586e-08,8.919379901328739e-09
1928,3.313552099371009e-08,1.1426041224282812e-09
1929,4.0105462062456354e-08,2.2280812750352652e-09
1930,1.995684684175103e-08,2.100720708497761e-09
1931,3.307553342324354e-08,1.1405356659111021e-09
1932,3.287861005674131e-08,3.287861094491973e-09
1933,5.735331143341682e-08,1.1470662197865522e-09
1934,3.714289675826876e-08,1.7972370258689807e-08
1935,3.351119559624749e-08,1.9149254626427137e-08
1936,2.7886843056990074e-08,2.0612015205756506e-08
1937,2.6441348666139675e-08,5.0364472592434595e-09
1938,4.2785206488815675e-08,7.779128452511941e-09
1939,2.141167065872196e-08,1.070583532936098e-08
1940,7.607348528892999e-09,7.607348528892999e-09
1941,2.9515025978810172e-09,1.7709016475464523e-08
1942,2.1239483061208375e-08,0.0
1943,2.0322646676618206e-08,2.9032352077962287e-09
1944,4.177142187700156e-08,3.855823393905666e-08
1945,1.3071024262956144e-08,1.742803235060819e-08
1946,3.480275978517966e-08,2.7842208538686464e-09
1947,2.5033829231801974e-08,3.5762612871081956e-09
1948,1.195907639583993e-08,2.174377566888097e-09
1949,2.3560819073509265e-08,2.945102384188658e-09
1950,2.3397795700930146e-08,3.190608444114673e-09
1951,2.0256663901818683e-08,2.1322803522849654e-09
1952,2.1089608281954497e-08,1.0544803918932644e-09
1953,3.124409886368085e-08,7.54167928107563e-09
1954,1.8567819282111486e-08,9.772536113672459e-10
1955,9.385607846468247e-09,2.815682353940474e-09
1956,3.226822542501395e-08,1.744228317335228e-09
1957,2.297109880089465e-08,1.7670075402875796e-09
1958,2.6471179026543723e-08,8.272243445794913e-10
1959,3.952881399982289e-08,2.325224457422337e-09
1960,1.5225833038812198e-08,1.3841666701708277e-09
1961,2.640300600376122e-08,1.3896318540318475e-09
1962,8.8787386332001e-09,2.5367825617905737e-09
1963,1.4871922360271128e-08,3.879631726988464e-09
1964,2.4335873760605864e-08,1.2167936658258327e-09
1965,1.9699356812452606e-08,5.472043373977442e-10
1966,3.0464910594218964e-08,2.215629901769489e-09
1967,2.7116845657815247e-08,1.9721342336964653e-09
1968,1.527081394669949e-08,1.7965663401398047e-09
1969,5.4046918052108595e-08,2.7250546263957176e-09
1970,3.587005537042387e-08,1.3796175313274261e-09
1971,1.6956711590410123e-08,0.0
1972,1.0260293947794707e-08,0.0
1973,1.6539610570021068e-08,3.3079223804577396e-09
1974,1.2938814464291681e-08,5.625571675160757e-10
1975,1.313640396460869e-08,1.1422960355389478e-09
1976,1.1427053969725876e-08,1.142705374768127e-09
1977,2.11564152863275e-08,0.0
1978,1.841583241457556e-08,1.1881182704343018e-09
1979,2.3407892513205297e-08,3.5111840102075575e-09
