year,devraient_VERB établir_VERB,devraient_VERB rétablir_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,7.801356893821776e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,1.3336041604361526e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,3.1053151161586356e-09,0.0
1820,4.746592452420373e-09,0.0
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,3.3684450784221553e-09,8.421112696055388e-10
1825,9.68598712347557e-09,0.0
1826,8.80798456392995e-09,0.0
1827,5.530363722527909e-09,0.0
1828,2.7516904310687096e-09,0.0
1829,5.143905745796928e-09,1.714635211591542e-09
1830,1.0436835840010872e-09,0.0
1831,1.2472964883158966e-08,1.5591206103948707e-09
1832,9.470978667991403e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,3.733812370398937e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,9.409050427677812e-09,0.0
1837,4.174734336004349e-09,0.0
1838,8.837027110075724e-09,0.0
1839,2.7965900706306e-09,0.0
1840,5.732719632334238e-09,6.369688665408546e-10
1841,1.0272877659645019e-08,3.852329122366882e-09
1842,6.708265054555795e-09,4.024959032733477e-09
1843,4.7255288571079745e-09,5.906911071384968e-10
1844,3.841992946007622e-09,4.390849017710252e-09
1845,3.348136878855712e-09,0.0
1846,9.367202125076801e-09,0.0
1847,5.9325460100012606e-09,0.0
1848,8.84974404868899e-09,0.0
1849,4.1897072478036534e-09,0.0
1850,1.3577992064028876e-09,0.0
1851,6.449438760824933e-09,0.0
1852,4.557382027314816e-09,6.510545436100301e-10
1853,8.957897534855874e-09,0.0
