year,devaient_VERB acheter_VERB,devaient_VERB racheter_VERB
1800,9.432493897065797e-09,0.0
1801,4.0480102825313224e-08,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,1.581321384946932e-08
1810,1.1700633351097167e-08,0.0
1811,7.521229861140455e-09,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,2.070210003424222e-09,2.070210003424222e-09
1820,5.933240565525466e-09,0.0
1821,1.4792232327920374e-08,0.0
1822,9.023054303725075e-09,0.0
1823,1.680056804787e-08,3.9530747564242574e-09
1824,1.2631669044083083e-08,8.421112696055388e-10
1825,1.3208164340028361e-08,4.4027217427355936e-09
1826,1.4973572604048968e-08,0.0
1827,8.295545583791863e-09,0.0
1828,2.7516904310687096e-09,2.7516904310687096e-09
1829,0.0,0.0
1830,2.400472176589119e-08,3.1310507520032616e-09
1831,1.5591206103948707e-09,0.0
1832,1.2176972319366541e-08,6.764984572527055e-09
1833,4.6334514003376626e-09,1.6217079235048004e-08
1834,2.8003592777992026e-09,1.4001796166951408e-08
1835,4.5378527602224494e-09,1.2100940693926532e-08
1836,1.4113575197427508e-08,6.72075017860152e-09
1837,2.7831564608504777e-08,1.3219993100221927e-08
1838,1.199310784016916e-08,2.5248647617104325e-09
1839,1.5381244722334486e-08,0.0
1840,1.2102408852854296e-08,0.0
1841,1.2841097074556274e-08,1.926164561183441e-09
1842,1.609983613093391e-08,6.037438549100216e-09
1843,2.4809025944705354e-08,4.134837805480629e-09
1844,3.622450606144412e-08,9.879410178825765e-09
1845,3.1807299905040054e-08,5.580227946389016e-10
1846,3.1614305839866574e-08,1.1709002656346001e-09
1847,5.986478157637976e-08,1.6179670936367074e-09
1848,3.942158599556933e-08,2.413566457803995e-09
1849,1.3407063903514427e-08,4.1897072478036534e-09
1850,2.1045888587423178e-08,3.394498016007219e-09
1851,2.0638204034639784e-08,0.0
1852,1.3672145193766028e-08,3.906327261660181e-09
1853,1.911018188138769e-08,5.971931837933653e-10
1854,1.4028294081924741e-08,5.7152309551611324e-09
1855,2.600399184871094e-08,1.0083180512765466e-08
1856,1.7602443946884705e-08,3.6240324075009767e-09
1857,2.3431244500216053e-08,4.393358121745905e-09
1858,6.361778659424999e-09,6.361778659424999e-09
1859,2.2405561850291633e-08,1.018434669930457e-09
1860,2.7920821210614122e-08,5.034902272882391e-09
1861,2.263662679524714e-08,2.357981809808507e-09
1862,1.7168348520613108e-08,4.517986429419807e-09
1863,2.447364266799923e-08,1.9978483312144135e-09
1864,1.2945765348604255e-08,9.589455896019672e-10
1865,1.0825742080555756e-08,9.413688495385486e-09
1866,1.216403244796993e-08,1.216403244796993e-08
1867,3.494024269912188e-08,7.279217228983725e-09
1868,1.2349684830326169e-08,2.9639244392143382e-09
1869,3.5161338729494673e-08,1.953407657850903e-09
1870,2.465641024684828e-08,2.2936195165357276e-09
1871,3.186353225714811e-08,9.559059321873065e-09
1872,1.0885210954825197e-08,0.0
1873,2.8732820567256567e-08,2.9930022904522957e-09
1874,2.0911132381229436e-08,1.7923826867161097e-09
1875,1.6592428764283795e-08,9.7265964171811e-09
1876,1.4510435519810017e-08,1.209202959984168e-09
1877,3.463496867084359e-08,6.80329748092845e-09
1878,1.268208649207736e-08,3.6234530931267273e-09
1879,2.1382637882538802e-08,1.221865053580018e-09
1880,2.1178893305773272e-08,1.9253538763308597e-09
1881,2.4403776777148778e-08,3.4862537301449947e-09
1882,1.9966154951589488e-08,7.986462158271479e-09
1883,1.2638677659992936e-08,5.687405213450347e-09
1884,1.1883054540362536e-08,7.2618666635548834e-09
1885,2.4493415295978593e-08,4.511945039809007e-09
1886,3.1621972595985426e-08,4.5174246565693466e-09
1887,3.656197833379338e-08,1.1752064210668323e-08
1888,3.043495055976564e-08,0.0
1889,1.7542383545787743e-08,5.012109394186837e-09
1890,1.9007721618891082e-08,7.209825181320184e-09
1891,1.9122660788184476e-08,2.5496880162734215e-09
1892,2.0686091062316336e-08,1.2537024751679837e-09
1893,2.7097032173628577e-08,0.0
1894,2.2685540557176864e-08,1.1342770278588432e-08
1895,2.166701307260155e-08,0.0
1896,2.7716035688740703e-08,2.358811590497112e-09
1897,3.612562338162206e-08,5.826713556089658e-10
1898,2.093591255913907e-08,1.6975064687230201e-09
1899,1.9346524382513053e-08,2.7637891975018647e-09
1900,1.5054054003371675e-08,3.114631885736685e-09
1901,2.3472702892490815e-08,2.235495566438317e-09
1902,2.3078333910575566e-08,1.4730852093691738e-09
1903,1.3500550899436803e-08,4.860198465905796e-09
1904,1.6123875568041512e-08,9.13686282189019e-09
1905,1.7030505006232488e-08,5.160758931310738e-09
1906,1.5432553013283723e-08,6.6874399351490865e-09
1907,1.9542804707839423e-08,6.685696440911215e-09
1908,2.701263923654551e-08,2.4556945366072114e-09
1909,3.190570296851547e-08,4.400786846048277e-09
1910,1.8170112525695004e-08,1.1222716089775986e-08
1911,2.6601870928288918e-08,2.128149656499545e-09
1912,1.510732161591477e-08,1.5628263128064646e-09
1913,2.1742257771961704e-08,3.181793939432964e-09
1914,2.4777952134513725e-08,3.3483718020477227e-09
1915,1.5314990164938536e-08,0.0
1916,4.394984820521586e-09,3.2962386153911893e-09
1917,1.973956464951243e-08,1.0966424435210342e-09
1918,1.2635013924011673e-08,5.743188147278033e-09
1919,1.749491218561161e-08,2.762354567309444e-09
1920,3.104614876292544e-08,7.572231730534895e-10
1921,2.196096815509918e-08,7.572747429129834e-10
1922,2.4347187377316004e-08,3.6889677978990676e-09
1923,1.6985516992917837e-08,1.0615948120573648e-09
1924,1.5469948877466777e-08,2.578324886925998e-09
1925,2.4195990988573612e-08,0.0
1926,1.7833821530643945e-08,5.57306911730393e-09
1927,8.919379901328739e-09,6.689535148041159e-09
1928,1.1426041446327417e-08,0.0
1929,1.5596569369336066e-08,0.0
1930,2.6259009189288918e-08,2.100720708497761e-09
1931,2.3951248095954725e-08,5.7026783295555106e-09
1932,2.6302888755935783e-08,2.1919073223131136e-09
1933,1.4911860191091364e-08,5.735331320977366e-09
1934,3.1152108448395666e-08,2.3963160344919743e-09
1935,2.0346082152400413e-08,2.393656828303392e-09
1936,1.576212937948185e-08,1.2124714565686645e-09
1937,2.5182236740306507e-08,1.0072894518486919e-08
1938,9.075650453382877e-09,2.5930428915188486e-09
1939,2.4470480752825097e-08,4.588215141154706e-09
1940,2.2822046474857416e-08,7.607348528892999e-09
1941,1.4757512545315876e-08,0.0
1942,1.8205270180260413e-08,9.102635090130207e-09
1943,1.7419411690866582e-08,5.806470415592457e-09
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,3.267756198965799e-08,0.0
1946,2.3665876369705074e-08,0.0
1947,1.6689218895749036e-08,3.5762612871081956e-09
1948,2.0656587551570738e-08,1.0871887834440486e-09
1949,2.4542520904446974e-08,9.817008317369869e-10
1950,2.5524867552917385e-08,8.508289184305795e-09
1951,1.7058242818279723e-08,2.1322803522849654e-09
1952,1.5817205323287453e-08,1.0544803918932644e-09
1953,2.8011951869189033e-08,1.0773827385790469e-09
1954,1.3681550115052232e-08,1.9545072227344917e-09
1955,1.6894095011821264e-08,2.815682353940474e-09
1956,2.0930739808022736e-08,2.616342476002842e-09
1957,2.6505112771246786e-08,0.0
1958,1.8198935691771112e-08,6.617794756635931e-09
1959,1.5501495198577686e-08,7.750747821333448e-10
1960,2.906750040665429e-08,2.7683333403416555e-09
1961,1.598076693198891e-08,4.16889545107324e-09
1962,2.2831043722248978e-08,1.9025869768540815e-09
1963,2.0044765847160306e-08,1.939815863494232e-09
1964,2.5552667537454e-08,3.041984220075733e-09
1965,1.4774516721161035e-08,2.188817349590977e-09
1966,2.437192847537517e-08,1.1078149508847446e-09
1967,1.9721342781053863e-08,9.860671168482327e-10
1968,2.649935382237345e-08,3.1439910674890825e-09
1969,1.8167030546578644e-08,1.8167031212712459e-09
1970,2.6212733317265702e-08,5.058597540852361e-09
1971,2.5178147566862208e-08,3.083038491169532e-09
1972,1.9494558856081312e-08,5.130146862875051e-10
1973,2.6463379043661917e-08,1.102640756478479e-09
1974,2.193973003272731e-08,5.625571675160757e-10
1975,2.1132477101559743e-08,2.8557400888473694e-09
1976,1.9997344224975677e-08,7.427584769459372e-09
1977,2.8796231177352638e-08,4.7014254711541525e-09
1978,2.316830638449119e-08,4.752473081737207e-09
1979,2.1652301285257636e-08,3.5111840102075575e-09
1980,1.2507331170752423e-08,2.2740602734216964e-09
1981,1.8344094243616382e-08,2.5302198114474095e-09
1982,1.8622506203769262e-08,1.8622506869903077e-09
1983,1.3893695083311286e-08,1.2630632095778083e-09
1984,3.073474630355122e-08,1.1598016991243298e-09
1985,1.7445119127046382e-08,2.4062232206745193e-09
1986,2.0980699844130868e-08,2.997242676272549e-09
1987,1.8332450224534114e-08,4.277571630240118e-09
1988,2.4585871116755698e-08,1.798966087207532e-09
1989,1.8659616074501173e-08,2.1952488715726304e-09
1990,1.471135746555774e-08,1.6345953479657283e-09
1991,1.6998249918742658e-08,3.5168792322792797e-09
1992,2.5345743281945943e-08,3.856960972825618e-09
1993,3.268132431344384e-08,2.7696036575264316e-09
1994,2.3737170451454404e-08,3.6924485691258724e-09
1995,1.7351842629409475e-08,0.0
1996,1.4412848692302305e-08,3.2028553142993132e-09
1997,2.3015493511024943e-08,1.917957792585412e-09
1998,1.6688451509594415e-08,3.814503379828693e-09
1999,2.0108885223635298e-08,3.656160929565999e-09
2000,2.87172046142814e-08,3.5344251969604557e-09
2001,1.796296800193886e-08,2.190605918883648e-09
2002,3.023042793870445e-08,5.257465574004527e-09
2003,1.8334461060476315e-08,7.083769126836614e-09
2004,1.9381081628466745e-08,2.2023955992267474e-09
2005,1.9816498664226856e-08,2.251874686720612e-09
2006,1.6471560115860484e-08,5.7650457740976435e-09
2007,1.2382886716011399e-08,1.997239706952314e-09
2008,1.3623806971452268e-08,2.1287198670449925e-09
2009,2.336414262060771e-08,3.814554005998616e-09
2010,1.747803501928047e-08,1.8895172093635892e-09
2011,1.873746313663105e-08,3.82397197240536e-10
2012,1.327658516458996e-08,2.382976926895708e-09
2013,2.147626254611623e-08,2.2313000336282585e-09
2014,2.425298539776577e-08,2.5985342766432495e-09
2015,1.6402658786773827e-08,1.994917786518613e-09
2016,1.3670844012381167e-08,2.899876117012923e-09
2017,1.5345229087415646e-08,3.2702947017071438e-09
2018,1.626323964387666e-08,1.8070267504555204e-09
2019,1.3265136544760026e-08,2.2958890344426663e-09
