year,grand_ADJ enseignement_NOUN,grand_ADJ renseignement_NOUN
1800,1.2576658381391326e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,6.627838899930794e-08,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,3.7761129112467984e-08,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,1.5526575580793178e-08,1.035105001712111e-09
1820,7.119888678630559e-09,0.0
1821,1.4792232327920374e-08,0.0
1822,2.90742860897808e-08,0.0
1823,1.1859224713361982e-08,6.917880934764753e-09
1824,1.1789557774477544e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,3.2260455640198415e-08,0.0
1828,1.559291185060374e-08,0.0
1829,1.7146351893870815e-08,0.0
1830,3.3397874021900975e-08,0.0
1831,3.585977381703742e-08,0.0
1832,1.0147476814381662e-07,0.0
1833,1.4711207541040494e-07,0.0
1834,8.307732457524253e-08,0.0
1835,6.126101226300307e-08,0.0
1836,8.669767481706003e-08,0.0
1837,9.601889416899212e-08,0.0
1838,4.102905393210676e-08,0.0
1839,8.110111338055503e-08,0.0
1840,1.0382592563473736e-07,0.0
1841,1.181380921977393e-07,0.0
1842,1.301403358411335e-07,0.0
1843,1.2995204201615707e-07,0.0
1844,1.5807056286121224e-07,0.0
1845,1.1104653907523243e-07,7.254296274794569e-09
1846,1.4870433617808487e-07,1.7563503984519002e-09
1847,1.1865092108820363e-07,0.0
1848,1.4642302859080303e-07,0.0
1849,2.1702684982471965e-07,0.0
1850,1.805872917870488e-07,0.0
1851,1.8832360937359738e-07,0.0
1852,1.5495098026896414e-07,0.0
1853,1.6840847649746138e-07,0.0
1854,1.2937204696417126e-07,1.558699391779328e-09
1855,2.478339631295512e-07,3.1841622671890946e-09
1856,1.9310915888581803e-07,0.0
1857,2.1185749021768174e-07,0.0
1858,1.7519360429041342e-07,4.893676130990343e-09
1859,1.5480206627671578e-07,0.0
