year,devait_VERB avoir_VERB
1800,2.5058991468540626e-06
1801,1.9859062376781367e-06
1802,1.7119476751759066e-06
1803,2.090763700834941e-06
1804,3.448232064329204e-06
1805,2.376645852564252e-06
1806,2.244820279884152e-06
1807,4.014206751890015e-06
1808,2.9187033305788646e-06
1809,3.4450215480319457e-06
1810,3.4563672670628875e-06
1811,4.206875019008294e-06
1812,3.5180476061213994e-06
1813,4.172701210336527e-06
1814,3.763425866054604e-06
1815,4.169907697360031e-06
1816,3.8078230772953248e-06
1817,4.060325863974867e-06
1818,4.595613972924184e-06
1819,3.957206445193151e-06
1820,4.478410119190812e-06
1821,4.733514288091101e-06
1822,5.277483978716191e-06
1823,4.857340627495432e-06
1824,4.727612576971296e-06
1825,4.847396212426247e-06
1826,5.206399691815022e-06
1827,5.793977834400721e-06
1828,5.2722389227710664e-06
1829,6.2644198806083295e-06
1830,6.255839252844453e-06
1831,5.508373305929126e-06
1832,6.429441327782115e-06
1833,5.9018589126935694e-06
1834,5.729535132559249e-06
1835,5.913578661420615e-06
1836,5.53588188267895e-06
1837,5.626846359518822e-06
1838,5.809082722407766e-06
1839,5.870042514288798e-06
1840,6.658872734988108e-06
1841,6.546391432493692e-06
1842,6.885363291075919e-06
1843,6.396003300324082e-06
1844,7.304177415790036e-06
1845,6.9401294240378775e-06
1846,6.615586698899278e-06
1847,6.6795073507819325e-06
1848,6.88349155097967e-06
1849,7.425837338814745e-06
1850,6.5418767007940914e-06
1851,6.126967036834685e-06
1852,5.890090505999979e-06
1853,6.137354375823634e-06
1854,5.735494141845265e-06
1855,6.342320375551935e-06
1856,5.973441147943959e-06
1857,6.358653536153724e-06
1858,6.291310000960948e-06
1859,6.526638571813237e-06
1860,6.499601113318931e-06
1861,6.635360932705225e-06
1862,6.51855043543037e-06
1863,6.2497688304574694e-06
1864,6.267188837227877e-06
1865,6.119368208601372e-06
1866,6.467859293479705e-06
1867,6.52848711979459e-06
1868,6.021212357154582e-06
1869,6.211348136275774e-06
1870,6.660097824351396e-06
1871,7.083262971718796e-06
1872,6.771205789846135e-06
1873,6.430166195059428e-06
1874,6.547574230353348e-06
1875,6.166661933093565e-06
1876,6.134286650194554e-06
1877,6.052460776118096e-06
1878,6.0741153902199585e-06
1879,5.979196430416778e-06
1880,6.1874457060184795e-06
1881,5.966374828858534e-06
1882,6.059062798158266e-06
1883,5.768292794527952e-06
1884,6.123073944763746e-06
