year,tout_DET enseignement_NOUN,tout_DET renseignement_NOUN
1800,2.2009151834367913e-08,1.2576657937302116e-08
1801,7.143547975374531e-09,1.1905912700171939e-08
1802,8.951360541686881e-09,1.3427040812530322e-08
1803,3.510610468993036e-08,5.851017448321727e-09
1804,5.6852570651244605e-08,1.4831105232815389e-08
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,4.3225035994964855e-08,5.76333825108577e-09
1807,1.7081730696588693e-08,1.1387820464392462e-08
1808,2.4926814390369145e-08,9.064295980465431e-09
1809,1.3554183553310395e-08,2.9367397402779716e-08
1810,4.680253340438867e-08,0.0
1811,1.0028307073639553e-08,2.0056614147279106e-08
1812,0.0,2.6672082320544632e-09
1813,2.300593315851529e-08,1.7254450312975678e-08
1814,2.8320094713762956e-08,3.1466771410748606e-09
1815,4.315557688983063e-08,2.4275012222574333e-08
1816,7.879853392012137e-08,9.270415546325239e-09
1817,2.80237220096069e-08,2.490997452753163e-08
1818,3.337929754820834e-08,9.536941902865692e-09
1819,5.693077653745604e-08,3.622867339458935e-08
1820,4.153268484685668e-08,1.898636980968149e-08
1821,2.5639869338789367e-08,5.9168927535324656e-09
1822,2.606660132187244e-08,1.303330066093622e-08
1823,5.929612001409623e-08,1.1859224713361982e-08
1824,4.7158231097910175e-08,4.8000342367515714e-08
1825,4.490775884491427e-08,3.169959583715354e-08
1826,5.460950180946611e-08,1.5854372037438225e-08
1827,1.5300673084084337e-07,2.7651819500817965e-08
1828,1.0915038206604777e-07,3.485474309172787e-08
1829,9.087566876786468e-08,5.401101077495696e-08
1830,1.1376150776953864e-07,2.5048406016026092e-08
1831,1.792988690851871e-07,7.171954763407484e-08
1832,1.4341767062830968e-07,6.088486081967659e-08
1833,1.366868098706675e-07,3.1275796175123105e-08
1834,1.3068342985533832e-07,3.4537765314368585e-08
1835,1.5277437626082246e-07,3.932805725526123e-08
1836,1.041716295446804e-07,6.115882911217341e-08
1837,1.1550098921730978e-07,4.1051557264637495e-08
1838,2.0072675255278227e-07,3.5348106663946055e-08
1839,1.6709625061395172e-07,7.550793279520462e-08
1840,1.3758527295237855e-07,7.51623243644417e-08
1841,1.8298563020380243e-07,7.640452537316378e-08
1842,2.4283920119216873e-07,6.574100064327126e-08
1843,2.864851857964368e-07,6.084118098215185e-08
1844,2.607066695858862e-07,1.0263609873106816e-07
1845,2.204190008292528e-07,6.919482392619969e-08
1846,2.306673465568565e-07,8.079211499811834e-08
1847,2.8422289499729914e-07,6.256139428728602e-08
1848,2.856053686883797e-07,7.482056119112457e-08
1849,3.2428336460554874e-07,1.1060827476150337e-07
1850,3.4352319744357374e-07,7.739455210042934e-08
1851,2.2379552300222372e-07,9.287191460316535e-08
1852,3.1641250419767175e-07,1.0351767487648544e-07
1853,2.2096148377670488e-07,5.673335201628049e-08
1854,2.1977660491501183e-07,7.01414701875791e-08
1855,2.032556842834765e-07,9.12793147733737e-08
1856,3.2409205719119427e-07,5.746680020735084e-08
1857,2.2503756813563314e-07,5.418474913199134e-08
1858,2.9117372690734555e-07,1.1206518091277928e-07
1859,2.0012240753430888e-07,9.114990628944497e-08
1860,2.5632229139205265e-07,1.0481751422375396e-07
1861,2.66451950281521e-07,8.818852342828976e-08
1862,2.1460435029041491e-07,1.0481728218714181e-07
1863,2.1277084893966958e-07,1.1537574151621044e-07
1864,3.456998918238696e-07,1.006892886845634e-07
1865,2.4852138036379756e-07,1.1014015788290976e-07
1866,2.0824823754317379e-07,9.29332095722657e-08
1867,2.3924360270655143e-07,1.0093847890857433e-07
1868,2.93922511218625e-07,1.2152090023143103e-07
1869,2.524779354473594e-07,1.308783135200997e-07
1870,3.136524568958521e-07,7.45426320669651e-08
1871,3.7386542572903636e-07,1.3807530940823654e-07
1872,3.9428650921990993e-07,1.3062253012563474e-07
1873,3.741252889710722e-07,1.5862911961761483e-07
1874,2.7483201936462365e-07,1.0097089298000128e-07
1875,2.9694726810802763e-07,1.499040157559861e-07
1876,3.101605461353074e-07,1.318031221941851e-07
1877,2.46774169543329e-07,1.298811387329124e-07
1878,3.1463652838681355e-07,1.388990455986061e-07
1879,4.2337625139055035e-07,1.0935692351665693e-07
1880,4.09458577266264e-07,1.1937194077660251e-07
1881,3.5420337241021116e-07,8.157833919497648e-08
1882,3.4208678290070793e-07,1.224590893134092e-07
1883,2.767870377340387e-07,1.586154119159744e-07
