year,petit_ADJ apport_NOUN,petit_ADJ rapport_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,4.0480102825313224e-08
1802,0.0,4.0281122437590966e-08
1803,0.0,1.5602713787643552e-08
1804,0.0,3.460591457837836e-08
1805,0.0,8.528632911009026e-09
1806,0.0,0.0
1807,0.0,4.27043254092041e-08
1808,0.0,2.039466551195801e-08
1809,0.0,6.777091243748146e-08
1810,0.0,2.8081521108447305e-08
1811,0.0,4.011322829455821e-08
1812,0.0,4.800974906515876e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,9.270415546325239e-09
1817,0.0,5.4490570278176165e-08
1818,0.0,1.9073883805731384e-08
1819,0.0,2.173720581311045e-08
1820,0.0,1.3053129244156025e-08
1821,0.0,2.465372084259343e-08
1822,0.0,3.0076847679083585e-08
1823,0.0,2.4706716672540097e-08
1824,0.0,2.105278085196005e-08
1825,0.0,1.4088708866211164e-08
1826,0.0,1.2331177856594877e-08
1827,0.0,3.3182182335167454e-08
1828,0.0,1.3758452155343548e-08
1829,0.0,2.0575622983187714e-08
1830,0.0,5.844628248041772e-08
1831,0.0,3.1182413096075834e-08
1832,0.0,2.3000948701223933e-08
1833,0.0,1.7375443306377747e-08
1834,0.0,8.401078055442213e-09
1835,0.0,3.1764969321557146e-08
1836,0.0,3.091545153210973e-08
1837,0.0,1.6003149028165353e-08
1838,0.0,4.229148586887277e-08
1839,0.0,1.6080392239992136e-08
1840,0.0,2.165694112932215e-08
1841,0.0,2.8892468861840825e-08
1842,0.0,2.4820581145945653e-08
1843,0.0,1.8902115428431898e-08
1844,1.6465684371524958e-09,2.030767731753258e-08
1845,0.0,4.8547981634783355e-08
1846,0.0,1.5807152919933287e-08
1847,0.0,2.9123407685460734e-08
1848,0.0,2.896279838182636e-08
1849,0.0,2.6814127807028854e-08
1850,0.0,1.6972489191857676e-08
1851,0.0,3.418202609850596e-08
1852,0.0,2.278690836021724e-08
1853,0.0,1.3138249599364826e-08
1854,3.117398783558656e-09,1.2469595134234623e-08
1855,0.0,2.1227748447927297e-08
1856,0.0,1.2942972915652717e-08
1857,0.0,4.6862489000432106e-08
1858,1.468102750479261e-09,4.306435030798639e-08
1859,0.0,3.615443122662043e-08
1860,0.0,1.2358396972445007e-08
1861,0.0,2.782418562219391e-08
1862,1.8071945051545413e-09,3.5240294238292336e-08
1863,0.0,5.1944056722597054e-08
1864,0.0,7.479775376850739e-08
1865,4.706844358715045e-10,4.23615986733239e-08
1866,0.0,2.1408697037372804e-08
1867,4.85281148598915e-10,5.629261323747414e-08
1868,0.0,2.5687345917013715e-08
1869,0.0,3.027781758646597e-08
1870,0.0,1.548193218070537e-08
1871,0.0,3.717412155879174e-08
1872,1.2094678591978436e-09,3.3260366905096816e-08
1873,1.7958012854535355e-09,2.8732820567256567e-08
1874,0.0,1.1949218503559678e-08
1875,4.005069165202713e-09,1.4303817685856757e-08
1876,1.813804439976252e-09,3.748529309177684e-08
1877,6.184815992682502e-10,3.710889728836264e-08
1878,0.0,2.959153455606156e-08
1879,0.0,3.9710613464194466e-08
1880,2.5671385017744797e-09,3.786529134686134e-08
1881,3.4862537301449947e-09,3.974329487732575e-08
1882,0.0,4.991538915533056e-08
1883,5.687405213450347e-09,1.2701870844011864e-07
1884,1.9805090900604227e-09,5.0833065756705764e-08
1885,1.2891271383708158e-09,2.127059772760731e-08
1886,3.2267319927115068e-09,3.484870347847391e-08
1887,1.9586774424595887e-09,3.1991731930247624e-08
1888,0.0,1.8387781963724592e-08
1889,1.1903759755682586e-08,2.380751951136517e-08
1890,6.554386478008212e-10,4.522526708683472e-08
1891,4.461953917456185e-09,5.8005402703287245e-08
1892,1.2537024751679837e-08,4.0118478983330874e-08
1893,6.15841644346915e-09,2.7097032173628577e-08
1894,6.301539290376468e-10,4.0329851902498604e-08
1895,6.018614495673091e-10,3.370423939941247e-08
1896,2.948514543632541e-09,3.538217541176891e-08
1897,0.0,4.4283024247526726e-08
1898,1.13167097914868e-09,3.847681284696591e-08
1899,0.0,3.2612710754165164e-08
1900,5.19105292084987e-09,3.0627212765921286e-08
1901,2.794369402536745e-09,3.4650181390816215e-08
1902,2.9461704187383475e-09,3.2898900326205904e-08
1903,3.2401321625741275e-09,5.4542223182352245e-08
1904,3.2247751136083025e-09,3.33226779503093e-08
1905,1.5482277682110634e-09,6.244518790943232e-08
1906,3.600929110447737e-09,6.635998062165527e-08
1907,3.0857059130084963e-09,4.217131532868734e-08
1908,2.9468334439286537e-09,7.465311568921607e-08
1909,4.400786846048277e-09,4.8408654862441836e-08
1910,9.085056262847502e-09,4.595969449461279e-08
1911,0.0,5.1607629170113967e-08
1912,5.209421227725386e-10,5.365703970028335e-08
1913,1.3787773589513108e-08,4.0302722548180014e-08
1914,2.0090231700464756e-09,5.893134513712539e-08
1915,1.1780761921542648e-09,4.947920118070215e-08
1916,3.2962386153911893e-09,4.065360870164625e-08
1917,2.1932848870420685e-09,6.360526327853222e-08
1918,3.44591288836682e-09,5.6283244731503146e-08
1919,5.524709134618888e-09,1.8415697411455767e-08
