year,voudront_VERB appliquer_VERB
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,0.0
1803,1.1702034896643454e-08
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,6.227493631882908e-09
1818,1.1921177378582115e-09
1819,4.140420006848444e-09
1820,1.1866481131050932e-09
1821,1.1833785507064931e-08
1822,9.023054303725075e-09
1823,5.929612356680991e-09
1824,4.210556348027694e-09
1825,1.7610886082763955e-09
1826,9.688783109140786e-09
1827,9.217273055917019e-10
1828,9.172301251858528e-10
1829,1.0287811491593857e-08
1830,2.1917355041978226e-08
1831,4.677361609140007e-09
1832,2.976593194148336e-08
1833,6.950177322551099e-09
1834,1.8669061851994684e-09
1835,6.050470346963266e-09
1836,1.6129799718100912e-08
1837,1.3915781860163179e-09
1838,6.312161904276081e-10
1839,6.9914749545318955e-09
1840,1.9109065441114126e-09
1841,0.0
1842,3.3541325272778977e-09
1843,1.7720733769266417e-09
1844,1.6465684371524958e-09
1845,3.9061593959388574e-09
1846,1.7563503984519002e-09
1847,3.775256551818984e-09
1848,1.6090443422100975e-09
1849,1.6758829879393033e-09
1850,3.394498016007219e-09
1851,1.9348316282474798e-09
1852,1.0416872697760482e-08
1853,7.763511611358354e-09
1854,1.558699391779328e-09
1855,2.1227748447927297e-09
1856,1.2425253714809514e-08
1857,4.881508974818871e-09
1858,1.468102750479261e-09
1859,6.619825576592575e-09
1860,4.119465657481669e-09
1861,7.073945429425521e-09
1862,5.421583626485926e-09
1863,9.989241656072068e-10
1864,4.794728170054441e-09
1865,2.3534221238463715e-09
1866,3.4059290943133647e-09
1867,5.82337378318698e-09
1868,2.9639244392143382e-09
1869,5.371870948067681e-09
1870,0.0
1871,2.3366590440332402e-08
1872,0.0
1873,1.7958012854535355e-09
1874,1.7326366119618797e-08
1875,5.721527140956084e-10
1876,6.04601479992084e-09
1877,1.2369631985365004e-09
1878,1.2078177347163432e-09
1879,3.0546627449723474e-09
