year,peut_VERB appeler_VERB,peut_VERB rappeler_VERB
1800,4.2666310946515296e-06,1.6349655140857067e-07
1801,3.2693637876946013e-06,2.881230898310605e-07
1802,3.770760713450727e-06,2.5958945570891956e-07
1803,3.0269263788795797e-06,2.1648764914061758e-07
1804,3.225765567549388e-06,1.2853624298259092e-07
1805,3.6843694033450447e-06,2.5301611117356515e-07
1806,3.325446186863701e-06,2.9104859322615084e-07
1807,3.5046016364503885e-06,2.6761378535411495e-07
1808,3.469359398877714e-06,2.991217797898571e-07
1809,3.3953228921745904e-06,2.0783080856290326e-07
1810,3.4587073969305493e-06,1.0062544930633521e-07
1811,3.2215937153523555e-06,9.777599530025327e-08
1812,3.4647034681256628e-06,2.1070944455914287e-07
1813,3.7557185805781046e-06,2.444380413635372e-07
1814,2.7313158170727547e-06,1.1013369771717407e-07
1815,3.201604386049439e-06,2.1038343334112142e-07
1816,3.4787233289534925e-06,2.4798362119327066e-07
1817,3.3644034829194425e-06,1.588010860587019e-07
1818,3.4797917578544e-06,2.6584226020531787e-07
1819,3.859906428260729e-06,2.4946029952843674e-07
1820,2.958313643830479e-06,2.3376968272259546e-07
1821,3.0314215564430924e-06,3.1063689220900415e-07
1822,3.4548272651591105e-06,1.9249182514613494e-07
1823,2.9371344680839684e-06,1.4329896202980308e-07
1824,2.89181002699479e-06,2.1894892654472642e-07
1825,3.4667029922275105e-06,1.4881199206229212e-07
1826,2.8555484732351033e-06,1.9201405621060985e-07
1827,2.8767108233296312e-06,1.511632774509053e-07
1828,2.8259860300750006e-06,2.1371461400576663e-07
1829,3.5407217637839494e-06,1.7746474156865588e-07
1830,3.3898843412316637e-06,2.0038724812820874e-07
1831,2.7534069886314683e-06,1.3096612860863388e-07
1832,3.930455932277255e-06,2.1512651926514081e-07
1833,3.552698899511597e-06,1.9808004481092212e-07
1834,3.2176128570426954e-06,1.894909757993446e-07
1835,2.911788897108636e-06,1.9058981592934288e-07
1836,2.792471605062019e-06,1.875089310487965e-07
1837,3.14635826725862e-06,1.5794412888681109e-07
1838,2.8202739486005157e-06,1.773717457353996e-07
1839,3.0643636819149833e-06,1.5171501388522302e-07
1840,3.3173339488712372e-06,2.2102820196323592e-07
1841,3.2096322684083134e-06,1.9839494314055628e-07
1842,3.2568627830187324e-06,2.025896037594066e-07
1843,3.4112410958186956e-06,1.7011903707953024e-07
1844,3.251423777328455e-06,1.9758820712922898e-07
1845,3.337534280944965e-06,1.4117976832039858e-07
1846,3.627449132181937e-06,1.885149458757951e-07
1847,3.0746768970857374e-06,1.833696074982072e-07
1848,2.925242597484612e-06,1.5366373418146395e-07
1849,3.0249686915340135e-06,1.6591241092100972e-07
1850,2.756332378339721e-06,1.8941298662866757e-07
1851,3.1892475362838013e-06,1.7735956703290867e-07
1852,3.23834524351696e-06,1.5299781352950959e-07
1853,3.3383098525519017e-06,1.6960287041456468e-07
1854,3.32886224896356e-06,1.517134080586402e-07
1855,3.2096354516397696e-06,1.4806354897700658e-07
1856,3.1063134429132333e-06,1.739535520073332e-07
1857,3.2554783047089586e-06,1.6890021470317151e-07
1858,3.3399339827155927e-06,2.2608783467603644e-07
1859,3.4906847758975346e-06,1.7517076855710911e-07
1860,3.161003178320243e-06,2.416753090983548e-07
1861,3.30258944813977e-06,2.0090006103146152e-07
1862,3.0839773899060674e-06,1.996949947624671e-07
1863,3.2549944535276154e-06,2.402412633273343e-07
1864,3.6085123156226473e-06,2.1240644798581343e-07
1865,3.672279945021728e-06,1.7791872153338772e-07
1866,3.4837787552532973e-06,1.420758906078845e-07
1867,3.446466735113063e-06,2.1012674267240072e-07
1868,3.499406830087537e-06,2.158724896617059e-07
1869,3.737845645446214e-06,2.002242780463348e-07
1870,3.5080911402474158e-06,1.7775550986698363e-07
1871,3.4901188428193564e-06,1.9967812647792016e-07
1872,3.645336164481705e-06,2.29194156986523e-07
1873,3.386282742212643e-06,2.1370036051848729e-07
1874,3.5662442314787768e-06,2.3002245086445328e-07
1875,3.3236351555387955e-06,1.9968129549852165e-07
1876,3.7201129998720717e-06,2.557464142682875e-07
1877,3.5643095088744303e-06,1.9234778392274166e-07
1878,3.2242694487649715e-06,2.1740719091667415e-07
1879,3.2348877994081704e-06,2.6025725219369633e-07
1880,3.445099764576298e-06,2.1243070591481228e-07
1881,3.1913166367303347e-06,2.3427625706062827e-07
1882,3.581262717489153e-06,2.402593963779509e-07
1883,3.3536732644279255e-06,2.3823908179565478e-07
1884,3.455988462519599e-06,2.1719583287449495e-07
1885,3.416186928006937e-06,2.4880154114725883e-07
1886,3.157034598189057e-06,1.9424926733790926e-07
1887,3.433561460042256e-06,2.2524790210809442e-07
1888,3.16396676680597e-06,2.434796044781251e-07
1889,3.260377070546383e-06,2.111351022904273e-07
1890,3.254252987971995e-06,2.0384142374041403e-07
1891,3.4459033031453146e-06,2.2246027242545097e-07
1892,3.227030219932203e-06,2.902321227793436e-07
1893,3.0490321023535216e-06,2.802079563934967e-07
1894,3.1079191558092134e-06,2.873501898648101e-07
1895,2.9888440167269437e-06,2.341241014391926e-07
1896,3.1944205147738103e-06,3.048764085633593e-07
1897,2.8492629553511506e-06,2.8434362775442423e-07
1898,3.190180450474145e-06,2.2746586125776957e-07
1899,3.2618240766169038e-06,2.65323762960179e-07
1900,3.106326175839058e-06,3.0575301934732124e-07
1901,3.178874749210081e-06,3.297355988252093e-07
1902,3.0070577849983238e-06,2.641732805841457e-07
1903,3.1764095638209255e-06,3.277933728895732e-07
1904,3.2532607292523608e-06,3.3322675108138355e-07
1905,3.031429969269084e-06,2.7558454007703403e-07
1906,3.0710782539244974e-06,3.0710782539244974e-07
1907,3.0003348001628183e-06,3.1319916615757393e-07
1908,2.9537093269027537e-06,3.192402857621346e-07
1909,2.787348421406932e-06,3.317093160148943e-07
1910,2.9414204618660733e-06,3.4576655139062495e-07
1911,2.8804506655433215e-06,3.8838732052681735e-07
1912,2.93082030111691e-06,4.2613066852936754e-07
1913,3.0036133011890342e-06,3.4151253203162923e-07
1914,2.87558168565738e-06,3.6966025618312415e-07
