year,pouvant_VERB acheter_VERB,pouvant_VERB racheter_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,4.7623651688866175e-09
1802,2.2378401354217203e-08,0.0
1803,0.0,1.950339223455444e-09
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,2.5935023018064385e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,0.0,0.0
1811,1.7549536934780008e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,1.556873407970727e-09,1.0898113522728181e-08
1818,3.5763532135746345e-09,0.0
1819,2.070210003424222e-09,4.140420006848444e-09
1820,2.3732962262101864e-08,4.746592452420373e-09
1821,1.972297702934611e-08,3.94459531705138e-09
1822,6.015369535816717e-09,1.0025615893027862e-09
1823,2.174191138237802e-08,3.9530747564242574e-09
1824,2.4421225930382207e-08,2.5263338088166165e-09
1825,6.163809906922779e-09,1.7610886082763955e-09
1826,6.1655889282974385e-09,6.1655889282974385e-09
1827,2.2121454890111636e-08,2.7651818612639545e-09
1828,1.3758452155343548e-08,1.8344602503717056e-09
1829,3.0006116702452346e-08,2.571952872898464e-09
1830,1.1480519646056564e-08,1.0436835840010872e-09
1831,1.091384405071949e-08,9.354723218280014e-09
1832,3.2471927369215337e-08,2.705993873419743e-09
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,1.213489042584115e-08,1.8669061851994684e-09
1835,8.31939672707449e-09,7.563087933704082e-09
1836,2.4866775305554256e-08,2.016224964762614e-09
1837,3.409366655660051e-08,1.3915781860163179e-09
1838,6.312161904276081e-10,3.1560809521380406e-09
1839,2.23727205650448e-08,0.0
1840,2.8026629905752998e-08,6.369688665408546e-10
1841,1.219904177673925e-08,5.778493683550323e-09
1842,6.037438549100216e-09,0.0
1843,3.7804230856863796e-08,5.31621990873532e-09
1844,2.195424464446205e-08,1.097712254427563e-09
1845,9.48638767539478e-09,3.348136878855712e-09
1846,2.0490753982471688e-08,7.610851504580296e-09
1847,1.833696039454935e-08,5.9325460100012606e-09
1848,3.8617065323265365e-08,4.02261068899179e-09
1849,2.1786478399121734e-08,1.005529792763582e-08
1850,1.2220192857625989e-08,8.82569484161877e-09
1851,1.5478653025979838e-08,1.9348316282474798e-09
1852,3.059956199535918e-08,1.1718981340891332e-08
1853,1.1943863675867306e-08,0.0
1854,2.0263090760863633e-08,8.832629738719788e-09
1855,1.326734277995456e-08,1.5920811335945473e-09
1856,6.73034605824796e-09,2.5885946719483854e-09
1857,9.274867096564776e-09,3.4170564155999728e-09
1858,2.6425849952715907e-08,1.2723557318849998e-08
1859,9.165912473463322e-09,3.055304009791371e-09
1860,1.0069804545764782e-08,3.661747127736703e-09
1861,3.3483342321005694e-08,4.715963730639317e-10
1862,1.8523744316212287e-08,9.035972525772706e-10
1863,1.39849385405455e-08,4.994620828036034e-10
1864,2.1576274988888144e-08,2.8768367688059016e-09
1865,2.5416959203994338e-08,3.294791106611683e-09
1866,1.8489329178805747e-08,0.0
1867,2.038180824115443e-08,8.249779526181555e-09
