year,pouvant_VERB assurer_VERB,pouvant_VERB rassurer_VERB
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,1.5602713787643552e-08,0.0
1804,9.887403784603066e-09,0.0
1805,2.2743021688143017e-08,1.7057265822018053e-08
1806,2.881669125542885e-09,0.0
1807,3.4163463169534225e-08,5.693910232196231e-09
1808,0.0,0.0
1809,2.25903047379461e-08,0.0
1810,1.4040760554223652e-08,1.4040760554223652e-08
1811,2.757784400841956e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,3.4508900625951355e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,0.0,8.091670444798638e-09
1816,2.3176038865813098e-09,0.0
1817,1.71256075987003e-08,3.113746815941454e-09
1818,1.4305412854298538e-08,0.0
1819,6.624672010957511e-08,3.1053151161586356e-09
1820,3.085285271708926e-08,3.5599443393152796e-09
1821,1.1932401378089708e-07,0.0
1822,2.7169420491190976e-07,0.0
1823,3.9530747564242574e-09,0.0
1824,5.052667617633233e-09,0.0
1825,5.283265824829186e-09,0.0
1826,5.284790383086602e-09,6.1655889282974385e-09
1827,1.8434546111834038e-09,6.452091305675367e-09
1828,1.0089530988466322e-08,0.0
1829,1.457439946506156e-08,8.57317605795771e-10
1830,1.2524203008013046e-08,1.0436835840010872e-09
1831,9.354723218280014e-09,0.0
1832,1.0823975493678972e-08,0.0
1833,4.6334514003376626e-09,0.0
1834,1.7735608537350345e-08,0.0
1835,5.142899794918776e-08,0.0
1836,2.2850549896702432e-08,0.0
1837,1.4750729349088942e-07,0.0
1838,9.531364497661343e-08,2.5248647617104325e-09
1839,4.47454411300896e-08,2.0974426639952526e-09
1840,1.7835128929277744e-08,0.0
1841,4.173356416004026e-08,2.5682194149112547e-09
1842,9.391571076378114e-09,2.683306021822318e-09
1843,2.3627643841450663e-08,0.0
1844,1.1525978393933656e-08,0.0
1845,1.897277535078956e-08,0.0
1846,2.6930706553685013e-08,0.0
1847,2.8044762956369595e-08,5.393223645455691e-10
1848,1.126331028444838e-08,3.218088684420195e-09
1849,1.3407063903514427e-08,2.513824481908955e-09
1850,4.616517301769818e-08,0.0
1851,4.2566295377355345e-08,0.0
1852,1.2370036550635177e-08,6.510545436100301e-10
1853,1.6124216628554677e-08,2.388772735173461e-09
1854,4.624141425324524e-08,0.0
1855,1.963566731433275e-08,0.0
1856,2.5368226630462232e-08,1.0354378465748937e-09
1857,2.4895696171256532e-08,0.0
1858,2.202154192332273e-08,0.0
1859,4.53203412575931e-08,0.0
1860,1.876645328025006e-08,0.0
1861,4.5744847909645614e-08,0.0
1862,1.1746764450037972e-08,0.0
1863,6.193329937786984e-08,1.9978483312144135e-09
1864,2.828889478223573e-08,0.0
1865,2.447559133145205e-08,0.0
1866,3.5518972651971126e-08,0.0
1867,5.435148864307848e-08,0.0
1868,2.420538258718352e-08,0.0
1869,1.2208797528501236e-08,0.0
1870,2.408300403544672e-08,0.0
1871,1.805600113868877e-08,0.0
