year,devait_VERB accompagner_VERB,devait_VERB raccompagner_VERB
1800,1.5720821977538435e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,5.1171799242411e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.1103124819555887e-07,0.0
1808,5.4385775882792586e-08,0.0
1809,4.969867006821005e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,9.777599530025327e-08,0.0
1812,1.0135391192989118e-07,0.0
1813,8.339650747757332e-08,0.0
1814,7.866692897096073e-08,0.0
1815,6.74305908887618e-08,0.0
1816,6.952811304472561e-08,0.0
1817,7.940054302935096e-08,0.0
1818,3.457141417584353e-08,0.0
1819,8.9019032145643e-08,2.070210003424222e-09
1820,6.289234733003468e-08,0.0
1821,3.4515210245444905e-08,0.0
1822,1.1930482912703155e-07,0.0
1823,6.423746157224741e-08,0.0
1824,6.905312233129735e-08,0.0
1825,9.15766094067294e-08,0.0
1826,7.927185663447744e-08,0.0
1827,1.7973682986394124e-07,0.0
1828,1.0456423638061096e-07,9.172301251858528e-10
1829,1.2602568233432976e-07,0.0
1830,6.053365098068753e-08,1.0436835840010872e-09
1831,8.419251429359065e-08,1.5591206103948707e-09
1832,7.441482807735156e-08,0.0
1833,1.4016190164056752e-07,0.0
1834,1.1481473194407954e-07,9.334530925997342e-10
1835,9.756383434478266e-08,1.5126175867408165e-09
1836,8.669767481706003e-08,0.0
1837,9.323574090558395e-08,0.0
1838,1.0983161757849302e-07,0.0
1839,1.2794399140148016e-07,1.3982950353153e-09
1840,1.2102408675218612e-07,6.369688665408546e-10
1841,1.2134836424593232e-07,6.420548537278137e-10
1842,9.726984018243456e-08,6.708265054555795e-10
1843,9.864541539172933e-08,0.0
1844,1.2678576410962705e-07,0.0
1845,9.095771247302764e-08,1.1160455892778032e-09
1846,1.4226438338482694e-07,1.7563503984519002e-09
1847,1.407631344818583e-07,0.0
1848,1.0217431878345451e-07,4.02261068899179e-09
1849,8.714591359648693e-08,8.379414939696517e-10
1850,9.776154286100791e-08,0.0
1851,1.025460747428042e-07,0.0
1852,8.984552835045179e-08,6.510545436100301e-10
1853,8.420423824873069e-08,5.971931837933653e-10
1854,1.1482418216246515e-07,0.0
1855,1.003011078637428e-07,0.0
1856,1.1493359863834485e-07,5.177189232874468e-10
1857,1.2496663259753404e-07,9.763018171682347e-10
1858,1.1108644315527272e-07,0.0
1859,1.41053206448305e-07,0.0
1860,1.2037993712965545e-07,0.0
1861,1.1365472829538703e-07,0.0
1862,8.538994222817564e-08,4.517986262886353e-10
1863,9.98924178929883e-08,0.0
1864,1.1363505336703383e-07,4.794727948009836e-10
1865,1.1531768961958733e-07,4.706844358715045e-10
1866,1.0898973101802767e-07,0.0
1867,9.851207494193659e-08,0.0
1868,1.457262897019973e-07,0.0
1869,1.1085588624837328e-07,0.0
1870,1.4392462333034928e-07,0.0
1871,8.178306387662815e-08,0.0
1872,1.0522370530452463e-07,0.0
1873,1.0595228161491832e-07,0.0
1874,1.505601545659374e-07,0.0
1875,1.5905845884844894e-07,0.0
1876,1.148742825307636e-07,0.0
1877,7.174386240649255e-08,0.0
1878,1.0266450800600069e-07,0.0
1879,1.1852090864294951e-07,1.221865053580018e-09
1880,1.0525268123728893e-07,0.0
1881,1.0877111833451636e-07,0.0
1882,1.3044554236785189e-07,0.0
1883,1.2449098107936152e-07,3.159669414998234e-09
1884,8.714239640994492e-08,0.0
1885,1.1150950030014428e-07,0.0
1886,1.3358669548324542e-07,0.0
1887,9.466941008895446e-08,1.3057849246322917e-09
1888,8.496423475889969e-08,0.0
1889,8.395283401796405e-08,0.0
1890,1.1208000927354078e-07,6.554386478008212e-10
1891,1.2302244556394726e-07,0.0
1892,1.3038506097018399e-07,0.0
1893,8.313862309705655e-08,0.0
1894,1.0838647312993999e-07,0.0
1895,8.787176852820267e-08,0.0
1896,1.1322295279114769e-07,0.0
1897,1.1653427378632841e-07,0.0
1898,1.1486460493870254e-07,0.0
1899,1.0944604866836016e-07,5.527578395003729e-10
1900,7.630848131157109e-08,0.0
1901,1.1289252910273717e-07,0.0
1902,1.0115184778669573e-07,0.0
1903,8.640352433531007e-08,5.400220270956879e-10
1904,8.814384955257992e-08,0.0
1905,1.1869745719650382e-07,0.0
1906,9.773950893077199e-08,0.0
1907,8.948547502996007e-08,1.5428529565042481e-09
1908,9.282525326170799e-08,0.0
1909,7.756386821711203e-08,0.0
1910,5.9320072409718705e-08,0.0
1911,1.2130452375913592e-07,5.320374141248863e-10
1912,1.146072676760923e-07,5.209421227725386e-10
1913,9.545381374209683e-08,0.0
1914,9.710278447983e-08,0.0
1915,7.539687629787295e-08,0.0
1916,7.031975712834537e-08,0.0
1917,9.211796481167767e-08,0.0
1918,3.675640414257941e-08,2.2972752589112133e-09
1919,9.668240608107226e-08,0.0
1920,1.0525402416305951e-07,7.572231730534895e-10
1921,7.19411019645122e-08,0.0
1922,8.263288009402459e-08,0.0
1923,5.944930947521243e-08,0.0
1924,9.153053071031536e-08,0.0
1925,9.128487477028102e-08,0.0
1926,6.241837269271855e-08,0.0
1927,1.0368778902147824e-07,0.0
1928,1.0968999220040132e-07,0.0
1929,1.0137770090068443e-07,0.0
1930,7.142450186847782e-08,1.0503603542488804e-09
1931,8.211856794559935e-08,0.0
1932,9.644391951724174e-08,1.0959536611565568e-09
1933,6.882397229901471e-08,0.0
1934,1.0064527344866292e-07,0.0
1935,8.617164581892212e-08,0.0
1936,7.63857030960935e-08,0.0
1937,7.80649358489427e-08,0.0
1938,8.9459980756601e-08,1.2965214457594243e-09
1939,7.188203454688846e-08,0.0
1940,6.593035806190528e-08,0.0
1941,7.37875680556499e-08,0.0
1942,7.282108072104165e-08,0.0
1943,8.709705667797607e-08,0.0
1944,9.639558129492798e-08,0.0
1945,9.149717072887142e-08,2.178504043826024e-09
1946,8.909506732379668e-08,0.0
1947,9.775114051535638e-08,0.0
1948,1.0545731043976048e-07,0.0
1949,9.227987618487532e-08,0.0
1950,7.551106762093696e-08,0.0
1951,7.676209179408033e-08,0.0
1952,8.752187596883232e-08,0.0
1953,6.572035005092403e-08,0.0
