year,doit_VERB établir_VERB,doit_VERB etablir_VERB,doit_VERB rétablir_VERB
1800,4.527596786374488e-07,0.0,7.231578535993322e-08
1801,4.78617721455521e-07,2.3811825844433088e-09,7.143547975374531e-08
1802,4.5875722776145267e-07,2.2378401354217203e-09,1.2979472785445978e-07
1803,5.324425842445635e-07,0.0,4.4857802805609026e-08
1804,6.006598027852306e-07,2.4718509461507665e-09,6.921182915675672e-08
1805,5.884757001695107e-07,0.0,7.960057502032214e-08
1806,4.6394873720601026e-07,2.881669125542885e-09,6.051504897186533e-08
1807,7.914535444797366e-07,8.540865792383556e-09,8.256169792275614e-08
1808,3.6483791632235807e-07,6.798221985349073e-09,8.837688625362716e-08
1809,3.185232912983338e-07,0.0,3.388545621874073e-08
1810,4.844062573283736e-07,2.3401267590372754e-09,5.3822915901946544e-08
1811,3.0335630185618356e-07,0.0,6.016983888912364e-08
1812,5.281072503748874e-07,0.0,3.7340914360584065e-08
1813,4.3998846877002507e-07,0.0,1.7254450312975678e-08
1814,2.7690759907272877e-07,3.1466771410748606e-09,6.608021863030444e-08
1815,3.749140660147532e-07,0.0,5.933891955578474e-08
1816,5.840361723130627e-07,0.0,6.025770460382773e-08
1817,3.985595924405061e-07,0.0,9.963989811012652e-08
1818,3.993594361872965e-07,0.0,5.0068944545955674e-08
1819,5.765534751844825e-07,2.070210003424222e-09,5.693077653745604e-08
1820,4.390597894143866e-07,5.933240565525466e-09,7.475883023744245e-08
1821,4.4278081645643397e-07,1.97229765852569e-09,3.155676253641104e-08
1822,5.00278247272945e-07,1.0025615893027862e-09,5.81485721795616e-08
1823,3.7060075896988565e-07,9.882686891060644e-10,1.581229902569703e-08
1824,3.738973930467182e-07,0.0,4.0421340941065864e-08
1825,3.768729754938249e-07,2.641632912414593e-09,3.258013947515792e-08
1826,2.9242508503557474e-07,2.642395191543301e-09,5.549030035467695e-08
1827,5.00497947086842e-07,1.8434546111834038e-09,8.019027575301152e-08
1828,3.760643494388205e-07,2.7516904310687096e-09,3.3020285172824515e-08
1829,3.875075549331086e-07,0.0,2.914879893012312e-08
1830,3.64245579476119e-07,0.0,3.339787468803479e-08
1831,3.913392845333874e-07,1.5591206103948707e-09,6.704218691311326e-08
1832,3.8560412463084504e-07,1.3529969367098715e-09,5.276687886635045e-08
1833,3.7067610492158565e-07,1.1583628500844156e-09,4.40177885252524e-08
1834,5.096653694636188e-07,1.8669061851994684e-09,5.2273371409228275e-08
1835,4.583231429933221e-07,0.0,3.403389570166837e-08
1836,3.555276748556935e-07,0.0,3.36037508930076e-08
1837,2.901440439018188e-07,6.957890930081589e-10,4.0355768504696243e-08
1838,3.5663714470501873e-07,1.8936485712828244e-09,6.627769977285425e-08
1839,3.558660921498813e-07,0.0,3.775396706373613e-08
