year,voudraient_VERB apporter_VERB,voudraient_VERB rapporter_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,1.9900143755080535e-08,0.0
1806,1.4408345627714425e-08,5.76333825108577e-09
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,4.000812481308458e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,8.306536791735653e-09,0.0
1821,0.0,0.0
1822,1.0025615893027862e-09,1.0025615893027862e-09
1823,0.0,0.0
1824,0.0,8.421112696055388e-10
1825,0.0,0.0
1826,0.0,8.807984341885344e-10
1827,2.7651818612639545e-09,3.6869092223668076e-09
1828,2.7516904310687096e-09,0.0
1829,1.3717081692732336e-08,1.714635211591542e-09
1830,1.6698937344017395e-08,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0
1832,0.0,0.0
1833,0.0,1.1583628500844156e-09
1834,0.0,0.0
1835,7.563087933704082e-10,0.0
1836,0.0,0.0
1837,9.045257876039159e-09,0.0
1838,1.0730675015224733e-08,1.2624323808552163e-09
1839,4.194885327990505e-09,0.0
1840,0.0,0.0
1841,1.2841097074556274e-09,3.852329122366882e-09
1842,4.695785538189057e-09,0.0
1843,7.088293507706567e-09,5.906911071384968e-10
1844,0.0,0.0
1845,2.2320911785556063e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,8.629157832729106e-09,0.0
1848,0.0,0.0
1849,1.6758829879393033e-09,5.02764896381791e-09
1850,5.431196825611551e-09,0.0
1851,7.739326512989919e-09,0.0
1852,1.4323200403509873e-08,0.0
1853,5.971931837933653e-09,5.971931837933653e-10
1854,1.0391328686409906e-08,0.0
1855,1.326734277995456e-08,5.306937111981824e-10
1856,1.0354378465748937e-09,2.5885946719483854e-09
1857,6.8341128311999455e-09,0.0
1858,5.872411001917044e-09,9.787352039936081e-10
1859,5.601390462572908e-09,0.0
1860,1.0527522853465143e-08,0.0
1861,3.772770984511453e-09,0.0
1862,1.581295272501393e-08,0.0
1863,6.493007020935693e-09,0.0
1864,1.1507347075223606e-08,2.3973640850272204e-09
1865,4.23615986733239e-09,0.0
1866,7.784980660119345e-09,3.8924903300596725e-09
1867,1.358787216076962e-08,0.0
1868,1.333765986544222e-08,4.93987406535723e-10
1869,2.9301114867763545e-09,2.441759683335931e-09
1870,3.4404292748035914e-09,0.0
1871,1.1683295220166201e-08,0.0
1872,1.0885210954825197e-08,0.0
1873,1.496501056408306e-08,0.0
1874,1.0156835372754358e-08,0.0
1875,1.716458086775674e-09,5.721527140956084e-10
1876,6.04601479992084e-09,0.0
1877,5.566334504436554e-09,0.0
1878,4.22736201599605e-09,0.0
1879,3.0546627449723474e-09,0.0
1880,1.6044616302224313e-08,0.0
1881,1.3945015142624584e-09,1.3945015142624584e-09
1882,2.6621540527571597e-09,0.0
1883,3.159669414998234e-09,6.319338941018771e-10
1884,5.941527270181268e-09,0.0
1885,8.379326565943757e-09,0.0
1886,5.808117542471791e-09,0.0
1887,9.793386546164129e-09,1.3057849246322917e-09
1888,8.242799331981132e-09,3.804368819970705e-09
1889,1.8795409673089125e-09,1.8795409673089125e-09
1890,2.6217545912032847e-09,1.3108772956016423e-09
1891,6.3742202627281586e-09,0.0
1892,6.8953633913793055e-09,5.014809900671935e-09
1893,6.15841644346915e-09,6.158416554491453e-10
1894,6.301539290376468e-10,0.0
1895,5.416753268150387e-09,0.0
1896,4.1279202278587945e-09,1.7691086373616827e-09
