year,étaient_VERB à_ADP,étaient_VERB a_ADP,étaient_VERB ras_ADJ,etaient_VERB à_ADP,etaient_VERB a_ADP
1800,4.401830210554181e-06,1.8864986905953174e-08,6.288328968651058e-09,9.432493897065797e-09,0.0
1801,4.538534085440915e-06,7.143547975374531e-09,0.0,4.7623651688866175e-09,0.0
1802,3.5939713143307017e-06,2.4616241489638924e-08,2.2378401354217203e-09,2.0140561218795483e-08,2.2378401354217203e-09
1803,3.8051118735893397e-06,3.315576746487636e-08,3.900678446910888e-09,5.851017448321727e-09,0.0
1804,5.532002433028538e-06,2.719036040765843e-08,2.4718509461507665e-09,0.0,0.0
1805,4.4178318603371736e-06,5.117179879832179e-08,0.0,8.528632911009026e-09,0.0
1806,5.0198677854496054e-06,4.3225037771321695e-08,0.0,8.645007376628655e-09,0.0
1807,6.058320650481619e-06,5.124519120158766e-08,0.0,3.131650672116848e-08,0.0
1808,3.7775453165522777e-06,2.7192887941396293e-08,0.0,2.2660739062985158e-08,0.0
1809,5.073782631370705e-06,2.4849335034105025e-08,0.0,6.7770917766551975e-09,0.0
1810,4.046079084218945e-06,2.8081520664358095e-08,0.0,7.020380277111826e-09,0.0
1811,5.926729500060901e-06,5.515569068137438e-08,0.0,2.5070768572277302e-08,0.0
1812,4.747630555357318e-06,3.200649834056435e-08,0.0,5.3344164641089264e-09,0.0
1813,5.20796811542823e-06,3.45088981834607e-08,0.0,1.4378708002027452e-08,0.0
1814,5.89687306273845e-06,7.237357557698942e-08,0.0,1.8880061958270744e-08,0.0
1815,7.4146673796349205e-06,5.664169577812572e-08,0.0,1.0788894222457657e-08,0.0
1816,6.394269348675152e-06,2.5493642752394408e-08,2.3176038865813098e-09,1.622322720606917e-08,0.0
1817,6.8829372139589395e-06,1.0586738918849647e-07,6.227493631882908e-09,3.113746815941454e-09,0.0
1818,7.089524387993151e-06,1.3709353607893604e-07,0.0,1.668964877410417e-08,2.384235475716423e-09
1819,6.882413345010718e-06,1.1386154818993077e-07,1.7596784473994376e-08,1.7596784473994376e-08,1.035105001712111e-09
1820,8.509453437000047e-06,9.611849449697729e-08,0.0,1.898636980968149e-08,0.0
1821,7.599262971780263e-06,9.664258326935737e-08,7.88919063410276e-09,1.577838126820552e-08,9.86148829262845e-10
1822,8.821539267955814e-06,8.421517350143404e-08,1.2030739071633434e-08,1.4035862250239006e-08,1.0025615893027862e-09
1823,8.968538168119267e-06,6.028439081262604e-08,1.2847492847356534e-08,1.680056804787e-08,1.9765373782121287e-09
1824,8.07332071417477e-06,6.821101283804865e-08,1.9368560089105813e-08,1.431589158329416e-08,0.0
1825,8.682166480866726e-06,4.3146670236637874e-08,1.7610886082763955e-09,1.1447076175841175e-08,0.0
1826,8.674984201206826e-06,5.72518965569202e-08,2.642395191543301e-09,1.5854372037438225e-08,0.0
1827,9.34539275476709e-06,4.7008091641487226e-08,2.7651818612639545e-09,1.474763688946723e-08,0.0
1828,9.189728189085145e-06,4.677873732816806e-08,9.172301251858528e-10,3.66892045633449e-08,0.0
1829,1.0456702511874028e-05,6.172686917160775e-08,8.57317605795771e-10,1.800366966620004e-08,8.57317605795771e-10
1830,1.0139386176888365e-05,9.184415450391725e-08,0.0,9.39315203396518e-09,0.0
1831,9.000803402159363e-06,1.0602019973049437e-07,7.795603274018958e-09,1.5591206548037917e-08,0.0
1832,8.779597010288853e-06,5.953186432705593e-08,0.0,3.2471927369215337e-08,0.0
1833,1.0826059224200435e-05,8.571884868580071e-08,2.3167257001688313e-09,1.6217079235048004e-08,0.0
1834,9.440944268135354e-06,8.121042105457832e-08,4.667265685043276e-09,1.120143711119681e-08,0.0
