year,peut_VERB ouvrir_VERB,peut_VERB rouvrir_VERB
1800,4.181738688657788e-07,6.288328968651058e-09
1801,4.833800630876794e-07,0.0
1802,3.737193026154273e-07,0.0
1803,3.003522408562276e-07,0.0
1804,3.856087573694822e-07,0.0
1805,4.1221727542506414e-07,2.842877711017877e-09
1806,2.795219131712656e-07,8.645007376628655e-09
1807,2.932363827312656e-07,0.0
1808,3.285807395059237e-07,4.5321479902327155e-09
1809,3.2530039106859476e-07,4.518061036407062e-09
1810,3.3463811632827856e-07,1.4040760554223652e-08
1811,3.635261407453072e-07,5.0141535368197765e-09
1812,3.707419580223359e-07,8.00162425207418e-09
1813,3.105801056335622e-07,5.751483289628823e-09
1814,2.234140765722259e-07,3.776012391654149e-08
1815,2.9669459422621003e-07,1.0788894222457657e-08
1816,3.1519414278591285e-07,0.0
1817,1.9149543106777855e-07,9.341240669868967e-09
1818,3.1471907391278364e-07,1.1921176934492905e-08
1819,3.105315045104362e-07,3.1053151161586356e-09
1820,3.8210069419619686e-07,8.306536791735653e-09
1821,2.8302471832830634e-07,1.3806083387635226e-08
1822,2.747018754689634e-07,1.0025615893027862e-08
1823,3.3699961932143196e-07,7.906149512848515e-09
1824,3.7642374195456796e-07,5.894778887238772e-09
1825,3.601426215027459e-07,0.0
1826,3.170874265379098e-07,5.284790383086602e-09
1827,3.7145611031519365e-07,0.0
1828,3.3754068340385857e-07,3.668920500743411e-09
1829,2.640538241394097e-07,1.714635211591542e-09
1830,2.7970719429504243e-07,0.0
1831,3.5859773106494686e-07,3.1182412207897414e-09
1832,3.436612132645678e-07,9.470978667991403e-09
1833,3.1275797596208577e-07,5.791814139399776e-09
1834,3.5377871654418414e-07,8.401078055442213e-09
1835,3.19162325013167e-07,0.0
1836,2.8294357434788253e-07,5.376600054063374e-09
1837,2.859693211121339e-07,1.3915781860163179e-09
1838,3.0424621400015894e-07,1.2624323808552163e-09
1839,3.544678008893243e-07,0.0
1840,3.305868290226499e-07,3.1848443882154243e-09
1841,3.4542551929916954e-07,5.778493683550323e-09
1842,3.3943820199056063e-07,6.708265054555795e-10
1843,2.9416418101391173e-07,3.5441467538532834e-09
1844,3.627939122452517e-07,7.683985892015244e-09
1845,3.448580798703915e-07,8.37034175305007e-09
1846,3.8815343827991455e-07,1.2294452567118697e-08
1847,3.915480419891537e-07,5.9325460100012606e-09
1848,3.2422244089502783e-07,8.045221711050488e-10
1849,4.281881160750345e-07,5.02764896381791e-09
1850,3.917250808171957e-07,7.467895635215882e-09
1851,3.9728541878503165e-07,1.9348316282474798e-09
1852,3.092509075486305e-07,6.510545436100301e-10
1853,3.9653627936786506e-07,4.180352064508952e-09
1854,3.475899461591325e-07,9.871762074453727e-09
1855,3.4601231391206966e-07,4.2455496895854594e-09
