year,auront_VERB empli_VERB,auront_VERB rempli_VERB
1800,0.0,1.9493819536364754e-07
1801,0.0,1.0000967165524344e-07
1802,0.0,5.594600338554301e-08
1803,0.0,8.386458461018265e-08
1804,0.0,1.3842365831351344e-07
1805,0.0,6.254330742194725e-08
1806,0.0,3.1410192491421185e-07
1807,0.0,2.3345032218458073e-07
1808,0.0,3.4217717370665923e-07
1809,0.0,3.0496912017952127e-07
1810,0.0,2.433731935980177e-07
1811,0.0,3.209058263564657e-07
1812,0.0,1.360276229434021e-07
1813,0.0,1.4091133948568313e-07
1814,3.1466771410748606e-09,1.2901375612273114e-07
1815,0.0,1.8880564311984926e-07
1816,0.0,1.969963250303408e-07
1817,0.0,1.9927979622025305e-07
1818,0.0,2.2173389879753813e-07
1819,0.0,1.738976465048836e-07
1820,0.0,9.611849804969097e-08
1821,0.0,1.272131981977509e-07
1822,2.0051231786055723e-09,1.59407292699143e-07
1823,0.0,9.190898708766326e-08
1824,0.0,1.5579058754155994e-07
1825,0.0,1.012625929774913e-07
1826,0.0,2.369347811281841e-07
1827,0.0,2.5439672413085646e-07
1828,0.0,8.713686128203335e-08
1829,0.0,1.79179380666028e-07
1830,2.0873671680021744e-09,1.6803305413759517e-07
1831,0.0,3.024694024134078e-07
1832,0.0,1.0688675899928057e-07
1833,0.0,1.1931138033105526e-07
1834,0.0,2.398974459083547e-07
1835,0.0,1.5806853070898796e-07
1836,0.0,1.6331422614257463e-07
1837,6.957890930081589e-10,1.1063046656545339e-07
1838,2.5248647617104325e-09,1.0730675370496101e-07
1839,0.0,1.1815593126129897e-07
1840,0.0,1.229349919640299e-07
1841,0.0,8.924562422407689e-08
1842,6.708265054555795e-10,1.1001554867107188e-07
1843,0.0,1.1577545677710077e-07
1844,0.0,6.202074587235984e-08
1845,0.0,7.756516851031847e-08
1846,0.0,8.371937099127535e-08
1847,0.0,1.4345974364005087e-07
1848,8.045221711050488e-10,7.321151684891447e-08
1849,0.0,9.21735647807509e-08
1850,0.0,7.671565782629841e-08
1851,6.449438760824933e-10,1.0061124555704737e-07
1852,6.510545436100301e-10,1.3476828542025032e-07
1853,5.971931837933653e-10,6.748282999069488e-08
1854,0.0,8.001322981954218e-08
1855,0.0,9.074862816760287e-08
1856,0.0,6.523258377910679e-08
1857,0.0,5.4672902649599564e-08
1858,0.0,7.829881809584549e-08
1859,5.092173349652285e-10,1.0082503365538287e-07
1860,0.0,9.840945125461076e-08
1861,0.0,1.4006411674927222e-07
1862,0.0,1.341841908697461e-07
1863,9.989241656072068e-10,4.994620894649415e-08
1864,0.0,6.856460998960756e-08
1865,0.0,7.90749865586804e-08
1866,0.0,8.271541673821048e-08
1867,0.0,8.880645196995829e-08
1868,0.0,6.323038803657255e-08
1869,0.0,6.983432143670143e-08
1870,0.0,5.160643823387545e-08
1871,0.0,8.284518315804235e-08
1872,0.0,9.010535251263718e-08
1873,0.0,7.961386216948085e-08
1874,0.0,7.169531102135807e-08
1875,0.0,8.811151985810284e-08
1876,0.0,6.166935406781704e-08
1877,0.0,6.122967732835605e-08
1878,0.0,4.650098262004576e-08
1879,6.10932526790009e-10,7.697749992985337e-08
1880,0.0,1.01401973040538e-07
1881,0.0,4.392679642251096e-08
1882,0.0,7.254369904785563e-08
1883,0.0,7.330433504648681e-08
1884,0.0,5.0833065756705764e-08
1885,1.2891271383708158e-09,6.639005079023264e-08
1886,1.936039106809062e-09,1.0454611754084908e-07
1887,6.528924623161458e-10,5.027272109714431e-08
1888,1.268122939990235e-09,1.0271795503058456e-07
1889,0.0,4.761503902273034e-08
1890,0.0,7.996351314432104e-08
1891,0.0,9.752556451303462e-08
1892,0.0,6.769993632360638e-08
1893,0.0,1.2070496779870155e-07
1894,5.041231432301174e-09,9.137232126477102e-08
1895,0.0,6.680662067992671e-08
1896,0.0,7.253345302160596e-08
1897,0.0,4.1952336715667116e-08
1898,0.0,2.998928039232851e-08
1899,5.527578395003729e-10,4.9748205555033564e-08
1900,0.0,4.6200373304827735e-08
1901,0.0,4.470991044058792e-08
1902,4.910283846193408e-10,5.3031065760933416e-08
1903,0.0,3.6181475593366486e-08
1904,0.0,5.750849041419315e-08
1905,0.0,6.296126286997605e-08
1906,0.0,5.24706820215215e-08
1907,0.0,6.068555080673832e-08
1908,4.911389073214423e-10,5.35341406759926e-08
1909,0.0,5.3909637642846064e-08
1910,0.0,9.672912426594849e-08
1911,5.320374141248863e-10,4.9479478292369095e-08
1912,0.0,5.574080574888285e-08
1913,0.0,4.083302229673791e-08
1914,0.0,3.8841115213017474e-08
1915,0.0,5.5369582696584985e-08
1916,0.0,6.372727767711694e-08
1917,0.0,8.663475625780848e-08
1918,5.743188147278033e-09,3.331049214239101e-08
1919,1.8415696745321952e-09,4.9722380879302364e-08
1920,0.0,4.240449769099541e-08
1921,0.0,1.6660044011018726e-08
1922,0.0,2.87739485571592e-08
1923,0.0,4.2463792482294593e-08
1924,0.0,3.9964035636330664e-08
1925,0.0,1.6497267552040284e-08
1926,0.0,2.452150482668003e-08
1927,0.0,2.6758140592164636e-08
1928,0.0,2.9707706517001498e-08
1929,0.0,3.0079096546842266e-08
1930,0.0,3.886333388436469e-08
1931,0.0,3.42160717536899e-08
1932,0.0,4.4934100884574946e-08
1933,0.0,2.982372038218273e-08
1934,0.0,4.073737258636356e-08
1935,0.0,6.223507398317452e-08
1936,2.424942913137329e-09,4.243650053581405e-08
1937,0.0,3.021868266728234e-08
1938,0.0,3.3709557811789637e-08
1939,0.0,4.282334131744392e-08
1940,0.0,1.2678914806940611e-08
1941,0.0,5.60785480274717e-08
1942,0.0,1.8205270180260413e-08
1943,0.0,2.6129116648121453e-08
1944,0.0,2.5705489292704442e-08
1945,0.0,2.6142048525912287e-08
1946,0.0,2.9234318077442367e-08
1947,0.0,2.5033829231801974e-08
1948,0.0,2.2830963786191205e-08
1949,0.0,2.0615717133409817e-08
1950,1.0635361480382244e-09,3.93508372553697e-08
1951,0.0,4.371174711081949e-08
1952,0.0,3.690681538159879e-08
1953,0.0,3.770839640537815e-08
1954,0.0,2.7363100230104465e-08
1955,0.0,4.035811329572425e-08
1956,0.0,2.1802854632824165e-08
1957,0.0,2.1204090927540165e-08
1958,0.0,1.4062814024384807e-08
1959,0.0,2.015194411342236e-08
1960,0.0,2.6991250123842292e-08
1961,0.0,2.223410966450956e-08
1962,0.0,3.297817485758969e-08
1963,0.0,1.8751554975438012e-08
1964,0.0,2.007709554163739e-08
1965,0.0,1.3680108601477059e-08
1966,0.0,1.8832853498906843e-08
1967,0.0,2.218651040664099e-08
1968,0.0,2.4253646202510026e-08
1969,0.0,1.267150366857095e-07
1970,0.0,3.219107469476512e-08
1971,1.0276794970565106e-09,1.798439086542203e-08
1972,1.0260293725750103e-09,1.6416469961200164e-08
1973,1.102640756478479e-09,2.4809416743210022e-08
1974,5.625571675160757e-10,2.1377172032543967e-08
1975,0.0,2.3988217634496323e-08
1976,0.0,1.7140580510499603e-08
1977,0.0,9.402850942308305e-09
1978,0.0,7.128709622605811e-09
1979,0.0,1.8141117053005473e-08
1980,0.0,1.5349906234973787e-08
1981,0.0,1.138598904049104e-08
1982,0.0,2.4209258597807093e-08
1983,0.0,1.2630632539867293e-08
1984,0.0,1.6237223121606803e-08
1985,1.2031116103372597e-09,8.421781494405423e-09
1986,0.0,7.1933827783254856e-09
1987,6.110816852533674e-10,1.3443797186596385e-08
1988,0.0,1.139345240375178e-08
1989,0.0,2.1952487827547884e-08
1990,0.0,1.961514328741032e-08
1991,0.0,1.4067516929117119e-08
1992,0.0,1.8182815253453555e-08
1993,0.0,1.3848018731721368e-08
1994,1.5824779264761446e-09,1.793475057354499e-08
1995,0.0,7.0491861237087505e-09
1996,0.0,1.3879040139386234e-08
1997,0.0,1.5823152565985765e-08
1998,0.0,1.1920323395031573e-08
1999,0.0,2.102292562256025e-08
2000,0.0,1.8113929911578452e-08
2001,0.0,1.3143635513301888e-08
2002,4.38122149670761e-10,1.3143664823189738e-08
2003,0.0,1.5417615628621206e-08
