year,auraient_VERB accompagné_VERB
1800,0.0
1801,0.0
1802,0.0
1803,1.3652374342143503e-08
1804,2.4718509461507665e-09
1805,5.685755422035754e-09
1806,0.0
1807,1.1387820464392462e-08
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,1.1700633351097167e-08
1811,7.521229861140455e-09
1812,0.0
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,2.1577788444915313e-08
1816,0.0
1817,0.0
1818,3.337929754820834e-08
1819,2.070210003424222e-09
1820,3.441279616822612e-08
1821,1.577838126820552e-08
1822,4.010246357211145e-09
1823,1.1859224713361982e-08
1824,1.431589158329416e-08
1825,7.924898959288385e-09
1826,9.688783109140786e-09
1827,2.2121454890111636e-08
1828,2.7516904310687096e-09
1829,2.743416338546467e-08
1830,1.1480519646056564e-08
1831,0.0
1832,1.0823975493678972e-08
1833,2.548398292390175e-08
1834,2.6136685704614138e-08
1835,1.8907719834260206e-08
1836,3.49478987970997e-08
1837,2.365682938432201e-08
1838,1.830527018853445e-08
1839,3.0063343814390464e-08
1840,3.05745047057826e-08
1841,7.0626033910059505e-09
1842,1.542900918138912e-08
1843,1.594865928211675e-08
1844,1.4270259640625227e-08
1845,1.2834524554250493e-08
1846,7.610851504580296e-09
1847,2.480882876909618e-08
1848,3.218088684420195e-09
1849,7.54147322368226e-09
1850,1.0862393651223101e-08
1851,1.4188765717904062e-08
1852,2.2135854038651814e-08
1853,2.6873692604567623e-08
1854,1.8704392701351935e-08
1855,1.1144567935161831e-08
1856,2.6403665032148638e-08
1857,1.9037885934380938e-08
1858,1.7127865348243176e-08
1859,9.675129142294736e-09
1860,1.6935580049448618e-08
1861,1.4147890858851042e-08
1862,1.0843167252971853e-08
1863,1.0988165932701577e-08
1864,7.671564716815737e-09
1865,1.1767110841276462e-08
1866,8.75810357570117e-09
1867,1.6984840200962026e-08
1868,2.0253484223076157e-08
1869,1.3185501579471293e-08
1870,1.548193218070537e-08
1871,9.559059321873065e-09
1872,1.1489944995446422e-08
1873,1.1373408881354408e-08
1874,8.364453130127458e-09
1875,1.716458086775674e-08
1876,1.4510435519810017e-08
1877,2.4739263970730008e-09
1878,1.8117265909722846e-08
1879,6.720257683667796e-09
1880,6.417846254436199e-09
1881,1.324776466304911e-08
1882,7.986462158271479e-09
1883,1.3270612164717477e-08
1884,1.1222884843675729e-08
1885,2.127059772760731e-08
1886,1.677900662855336e-08
1887,7.834709769838355e-09
1888,6.974675947901687e-09
1889,5.012109394186837e-09
1890,1.1142456735058204e-08
1891,1.9760081571007504e-08
1892,4.387958441043338e-09
1893,2.3401982574000613e-08
1894,1.7014155417882648e-08
1895,6.018614495673091e-09
1896,1.47425724961181e-08
1897,4.078699600285063e-09
1898,4.52668391659472e-09
1899,6.633094074004475e-09
1900,1.1939421895590385e-08
1901,1.397184767881754e-08
1902,2.0132164380015638e-08
1903,2.1060859722865644e-08
1904,1.9886112312406112e-08
