year,puissent_VERB emporter_VERB,puissent_VERB remporter_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,3.701041606518629e-08,0.0
1808,6.798221985349073e-09,9.064295980465431e-09
1809,2.259030518203531e-09,0.0
1810,2.3401266702194334e-08,0.0
1811,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,1.3336041604361526e-08
1813,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,1.622322720606917e-08,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,2.384235475716423e-09
1819,0.0,6.210630232317271e-09
1820,1.0679833017945839e-08,4.746592452420373e-09
1821,8.875339574387908e-09,0.0
1822,8.02049271442229e-09,2.105379337535851e-08
1823,4.941343334508019e-09,3.9530747564242574e-09
1824,2.189489300974401e-08,0.0
1825,2.905796137042671e-08,7.924898959288385e-09
1826,2.7304752237000685e-08,0.0
1827,2.7651818612639545e-09,1.8434546111834038e-09
1828,1.2841221419535032e-08,0.0
1829,2.571952872898464e-09,1.1145129263923081e-08
1830,1.2524203008013046e-08,4.174734336004349e-09
1831,0.0,0.0
1832,8.117981842303834e-09,0.0
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,0.0,9.334530925997342e-10
1835,2.117664621437143e-08,2.2689263801112247e-09
1836,5.376600054063374e-09,1.3441500135158435e-09
1837,1.1132625488130543e-08,6.957891152126194e-09
1838,5.680945491803868e-09,3.787297142565649e-09
1839,2.307186797168015e-08,2.0974426639952526e-09
1840,6.369688665408546e-10,1.0828470564661075e-08
1841,1.2841097074556274e-08,4.494383976094696e-09
1842,6.708265054555795e-10,6.708265054555795e-10
1843,3.5441467538532834e-09,1.1223130869097986e-08
1844,4.9397050894128824e-09,3.841992946007622e-09
1845,1.8414752389617206e-08,1.1160455892778032e-09
1846,2.985795788390533e-08,1.1709002656346001e-09
1847,2.1572894581822766e-08,5.393223645455691e-10
1848,9.65426583121598e-09,0.0
1849,2.513824481908955e-09,1.6758829879393033e-09
1850,9.504594444820214e-09,1.1541293254424545e-08
1851,7.739326512989919e-09,5.8044946626978344e-09
1852,1.2370036550635177e-08,6.510545436100301e-10
1853,8.957897534855874e-09,2.9859659189668264e-09
1854,6.234797567117312e-09,3.63696517347023e-09
1855,6.368324534378189e-09,7.960405667972736e-09
1856,2.692138423299184e-08,4.659470143053568e-09
1857,1.3668225662399891e-08,2.9289055625270066e-09
1858,7.34051397444091e-09,3.9149408159744326e-09
1859,1.018434669930457e-08,1.5276520048956854e-09
1860,1.0985241161165504e-08,2.746310290291376e-09
1861,1.2733101684148096e-08,5.659156698811785e-09
1862,1.400575744270327e-08,4.066187830886747e-09
1863,8.490855130105501e-09,3.496234635136375e-09
1864,1.0548401263577034e-08,1.1507347075223606e-08
1865,1.2708479601997169e-08,6.589582213223366e-09
