year,veulent_VERB assurer_VERB,veulent_VERB rassurer_VERB
1800,1.5720821977538435e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,3.695740957709859e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,8.540865792383556e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,0.0
1810,5.148278958699848e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,5.3944472000466703e-08,2.1577788444915313e-08
1816,2.3176038865813098e-08,0.0
1817,2.0239355080775567e-08,1.556873407970727e-09
1818,3.9339884239097955e-08,0.0
1819,6.521161566297451e-08,0.0
1820,2.0173018810965004e-08,7.119888678630559e-09
1821,1.3806083387635226e-08,0.0
1822,2.105379337535851e-08,0.0
1823,3.9530747564242574e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,1.4088708866211164e-08,0.0
1826,1.145037931138404e-08,0.0
1827,1.3825909306319772e-08,0.0
1828,1.834460228167245e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,6.262101504006523e-09,0.0
1831,2.0268567268999504e-08,0.0
1832,6.764984572527055e-09,0.0
1833,2.4325620628928846e-08,1.1583628500844156e-09
1834,2.333632664885954e-08,9.334530925997342e-10
1835,1.5882484660778573e-08,0.0
1836,7.392825018825988e-09,2.688300027031687e-09
1837,1.0436836284100082e-08,0.0
1838,1.4517972601879592e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,2.356784811752277e-08,0.0
1841,1.5409316489467528e-08,2.5682194149112547e-09
1842,3.7566284305512454e-08,0.0
1843,2.8353174030826267e-08,0.0
1844,3.0187088384536764e-08,5.488561272137815e-10
1845,1.897277535078956e-08,1.1160455892778032e-09
1846,1.6392604607062822e-08,0.0
1847,2.534815024546333e-08,5.393223645455691e-10
1848,3.137636639394259e-08,0.0
1849,5.53041381579078e-08,2.011059585527164e-08
1850,3.055048125588655e-08,0.0
1851,3.418202609850596e-08,1.2898877521649865e-09
1852,2.018269107395554e-08,0.0
1853,1.970737528722566e-08,1.1943863675867306e-09
1854,2.8576154775805662e-08,5.195664454227256e-10
