year,voudraient_VERB avoir_VERB,voudraient_VERB ravoir_VERB
1800,4.4018303668735825e-08,0.0
1801,3.333655484993869e-08,0.0
1802,6.265952379180817e-08,0.0
1803,2.145373123596528e-08,0.0
1804,6.673997887673977e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,4.555128185756985e-08,0.0
1808,4.305540457494317e-08,0.0
1809,2.710836710662079e-08,0.0
1810,7.020380365929668e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,6.401299401659344e-08,0.0
1813,1.3803560250380542e-07,0.0
1814,6.922689976818219e-08,0.0
1815,3.236668177919455e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,6.694555310104988e-08,0.0
1818,1.0490636270787945e-07,0.0
1819,1.4594981223581271e-07,0.0
1820,1.1035827185423841e-07,0.0
1821,8.382264837791809e-08,0.0
1822,1.1028177482330648e-07,0.0
1823,9.586206317635515e-08,0.0
1824,7.494790565942822e-08,0.0
1825,8.541280038798504e-08,0.0
1826,1.0569581121444571e-07,0.0
1827,9.8624823863247e-08,0.0
1828,6.053718948351161e-08,0.0
1829,6.77280880267972e-08,0.0
1830,1.3359149875213916e-07,0.0
1831,7.639690835503643e-08,0.0
1832,3.92369123858316e-08,0.0
1833,1.042526562855528e-07,0.0
1834,8.214387037241977e-08,0.0
1835,9.453859917130103e-08,0.0
1836,1.1761312634916976e-07,6.720750067579218e-10
1837,8.766942727334026e-08,0.0
1838,1.1866864468856875e-07,2.5248647617104325e-09
1839,9.997809513606626e-08,0.0
1840,8.599079848181646e-08,0.0
1841,6.22793194793303e-08,0.0
1842,7.177843741601464e-08,0.0
1843,7.619915010081968e-08,0.0
1844,1.0647809034480815e-07,0.0
1845,7.310098482093963e-08,0.0
1846,1.200172761173235e-07,0.0
1847,1.294373674909366e-07,0.0
1848,1.2952807537658373e-07,0.0
1849,9.049767868418712e-08,0.0
1850,9.300924830313306e-08,6.788996032014438e-10
1851,1.077056239751073e-07,6.449438760824933e-10
1852,8.854341615460726e-08,0.0
1853,1.0450880694179432e-07,0.0
1854,8.416976271519161e-08,5.195664454227256e-10
1855,9.552486801567284e-08,0.0
1856,9.318940641378504e-08,0.0
1857,1.1666806898347204e-07,4.881509085841174e-10
1858,9.493731312204545e-08,4.893676019968041e-10
1859,1.1406468303221118e-07,0.0
1860,1.1351416162597161e-07,0.0
1861,1.1837069280318246e-07,0.0
1862,1.18371239921089e-07,5.421583626485926e-09
1863,1.0288918872447539e-07,0.0
1864,9.829192038068868e-08,0.0
1865,1.0119715199152779e-07,0.0
1866,1.0315099530089356e-07,0.0
1867,9.123285593659602e-08,0.0
1868,9.188165961404593e-08,0.0
1869,7.715960492760132e-08,0.0
1870,9.919904186972417e-08,5.734048791339319e-10
1871,1.0621177182201791e-07,0.0
1872,9.071008832961525e-08,0.0
1873,9.817047441629256e-08,0.0
1874,8.48394492436455e-08,0.0
1875,8.467860368455149e-08,0.0
1876,8.464420631071334e-08,6.04601479992084e-10
1877,8.34950171224591e-08,0.0
1878,6.522216011717319e-08,0.0
1879,1.0813505468831863e-07,0.0
1880,1.01401973040538e-07,0.0
1881,9.133984946174678e-08,6.972507571312292e-10
1882,5.989846840748214e-08,0.0
1883,8.783881355611811e-08,3.791603475633565e-09
1884,1.023263038746336e-07,0.0
1885,6.832373600218489e-08,0.0
1886,7.7441569601433e-08,0.0
1887,7.704131377295198e-08,6.528924623161458e-10
1888,7.101488108673948e-08,0.0
1889,6.390439466485986e-08,0.0
1890,8.32407067719032e-08,0.0
1891,6.756673087693343e-08,0.0
1892,5.328235630486233e-08,0.0
1893,7.390099909798664e-08,0.0
1894,8.759139547009909e-08,0.0
1895,6.921406736637437e-08,0.0
1896,8.432751741338507e-08,0.0
1897,9.264474698511549e-08,0.0
1898,7.808530000374958e-08,0.0
1899,5.969784666604028e-08,0.0
1900,7.994221817853031e-08,0.0
1901,7.488910114261671e-08,0.0
1902,6.972602761834423e-08,0.0
