year,pouvant_VERB enseigner_VERB,pouvant_VERB renseigner_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,2.3404069793286908e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.8721014072298203e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.0351049795076506e-08,0.0
1820,2.3732962262101864e-09,0.0
1821,5.9168927535324656e-09,0.0
1822,8.02049271442229e-09,0.0
1823,8.894418535021487e-09,0.0
1824,0.0,0.0
1825,3.522177216552791e-09,0.0
1826,2.1139161532346407e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,8.31939672707449e-09,0.0
1836,1.3441500135158435e-09,0.0
1837,7.653680356156656e-09,0.0
1838,5.680945491803868e-09,0.0
1839,6.292327547896548e-09,0.0
1840,6.369688665408546e-10,0.0
1841,2.5682194149112547e-09,0.0
1842,5.366612043644636e-09,0.0
1843,7.678984559333912e-09,0.0
1844,1.6465684371524958e-09,1.097712254427563e-09
1845,7.812318791877715e-09,0.0
1846,5.854501328173001e-10,0.0
1847,3.235934187273415e-09,0.0
1848,0.0,0.0
1849,0.0,8.379414939696517e-10
1850,0.0,0.0
1851,6.449438760824933e-10,0.0
1852,0.0,6.510545436100301e-10
1853,5.971931837933653e-10,0.0
1854,2.0782657816909023e-09,0.0
1855,2.653468555990912e-09,5.306937111981824e-10
1856,5.177189232874468e-10,0.0
1857,2.4407544874094356e-09,4.881509085841174e-10
1858,3.9149408159744326e-09,0.0
1859,1.6804172275897145e-08,0.0
1860,1.373155145145688e-09,0.0
1861,2.357981809808507e-09,0.0
1862,1.1746764450037972e-08,0.0
1863,6.493007020935693e-09,0.0
1864,5.753673537611803e-09,9.589455896019672e-10
1865,1.882737743486018e-09,0.0
1866,5.838735717134114e-09,0.0
1867,7.76449837758264e-09,4.85281148598915e-10
1868,8.89177353968762e-09,1.4819622196071691e-09
1869,1.4650557211837167e-08,0.0
1870,5.160643912205387e-09,2.2936195165357276e-09
1871,1.0621176826930423e-08,2.1242354542039266e-09
1872,7.256807155187062e-09,3.628403577593531e-09
1873,7.781805422268917e-09,4.788803575905831e-09
1874,1.3741600746186577e-08,1.7923826867161097e-09
1875,4.577221712764867e-09,5.721527140956084e-10
1876,4.232210137899983e-09,0.0
1877,6.80329748092845e-09,4.9478527941460015e-09
1878,1.6305540029293297e-08,6.039088673581716e-10
1879,1.4051448005147904e-08,6.720257683667796e-09
1880,2.5671385017744797e-09,1.9253538763308597e-09
1881,8.367009307619355e-09,1.4642266066289267e-08
1882,2.6621540527571597e-09,7.986462158271479e-09
1883,3.791603475633565e-09,4.423537092179686e-09
1884,1.0562715146988921e-08,8.582206056928499e-09
1885,3.86738152613475e-09,4.511945039809007e-09
1886,3.2267319927115068e-09,4.5174246565693466e-09
1887,2.6115698492645834e-09,5.223139698529167e-09
1888,6.974675947901687e-09,4.4384300679212174e-09
1889,3.132568426877924e-09,9.397704836544563e-09
1890,1.5730527991308918e-08,1.8352281472289178e-08
1891,4.461953917456185e-09,2.5496880162734215e-09
1892,3.761107425503951e-09,8.775916882086676e-09
1893,6.774258043407144e-09,7.390100087434348e-09
1894,1.2603078580752936e-09,8.192000855444803e-09
1895,1.0833506536300774e-08,1.1435367319734269e-08
1896,1.179405795248556e-09,2.0049897742069334e-08
1897,4.661370844871726e-09,1.4566784223291052e-08
1898,5.6583548957434e-10,2.8291773368493978e-09
1899,4.4220627160029835e-09,1.3818945987509323e-08
1900,6.22926377147337e-09,1.453494924419374e-08
1901,6.706486921359556e-09,4.470991132876634e-09
1902,6.38336894454028e-09,4.419255628107521e-09
1903,2.1600881083827517e-09,1.0260418292773466e-08
1904,1.0749250378694342e-08,1.0749250378694342e-08
1905,3.6125313851442797e-09,7.741138396966107e-09
1906,5.144184522798412e-10,5.144184633820714e-09
1907,5.142843373384665e-10,1.2342823652033985e-08
1908,2.4556945366072114e-09,1.0313916831705683e-08
1909,1.1001967115120692e-09,7.701377313651392e-09
1910,6.947395991829808e-09,1.1222716089775986e-08
1911,5.852411444351446e-09,2.2877609140437016e-08
1912,5.730363294986773e-09,2.2400511667797218e-08
1913,2.6514948014977335e-09,3.71209285532359e-09
1914,2.678697486047099e-09,8.036092680185902e-09
1915,4.712304768617059e-09,3.534228465440492e-09
1916,1.2086208478478966e-08,4.394984820521586e-09
1917,0.0,7.676496771580332e-09
1918,6.89182577673364e-09,1.378365155346728e-08
1919,3.6831393490643904e-09,6.4454939163738345e-09
1920,9.086678076641874e-09,1.2115570768855832e-08
1921,0.0,8.330022005509363e-09
1922,4.426761179843197e-09,1.0329110011753073e-08
1923,4.246379248229459e-09,9.554353752605493e-09
1924,3.867487219366694e-09,6.445812328337297e-09
1925,7.698724324711748e-09,5.499089184013428e-09
1926,8.916910765321973e-09,2.229227691330493e-09
1927,4.4596899506643695e-09,6.689535148041159e-09
1928,0.0,5.713020723163709e-09
1929,2.2280812750352652e-09,1.4482528065684619e-08
1930,1.0503603542488804e-09,1.1553964007759987e-08
1931,6.843213995466613e-09,2.167017854048936e-08
1932,1.0959536611565568e-09,9.863582839386709e-09
1933,5.735331320977366e-09,3.4411986593596566e-09
1934,2.3963160344919743e-09,2.2765002327673756e-08
1935,5.98414207075848e-09,1.4361940969820353e-08
1936,6.0623572828433225e-09,7.274828739411987e-09
1937,3.777335333410292e-09,1.3850230295986421e-08
1938,0.0,3.8895642262559704e-09
1939,3.058810094103137e-09,9.176430282309411e-09
1940,0.0,1.0143131667916805e-08
1941,8.854508237732261e-09,2.9515025978810172e-09
1942,0.0,3.034211770724937e-09
1943,5.806470415592457e-09,5.806470415592457e-09
1944,6.4263723231761105e-09,1.2852744646352221e-08
1945,4.357008087652048e-09,4.357008087652048e-09
1946,0.0,1.3921104269343232e-09
1947,2.3841741914054637e-09,3.5762612871081956e-09
1948,3.2615663503321457e-09,1.0871887834440486e-09
1949,4.908504269707237e-09,5.890204768377316e-09
1950,0.0,4.2541445921528975e-09
1951,3.1984206394497505e-09,1.8124383771578323e-08
1952,1.0544803918932644e-09,3.1634410646574906e-09
1953,5.386913581872932e-09,2.1547654771580937e-09
1954,5.863521668203475e-09,3.9090144454689835e-09
1955,1.8771215692936494e-09,1.1262729415761896e-08
1956,3.488456634670456e-09,1.0465369904011368e-08
1957,3.534015080575159e-09,3.534015080575159e-09
1958,4.1361216673863055e-09,4.9633461784992505e-09
1959,7.750747821333448e-10,1.5501495642666896e-09
1960,1.3841666701708277e-09,6.2287499602575735e-09
1961,3.47407969059077e-09,1.3896318540318475e-09
1962,3.805173953708163e-09,2.5367825617905737e-09
1963,5.1728425987107585e-09,6.466053248388448e-10
1964,5.475571551727398e-09,6.083968440151466e-09
1965,5.47204326295514e-09,4.377634699181954e-09
1966,2.215629901769489e-09,2.215629901769489e-09
1967,3.944268467392931e-09,5.916402479044791e-09
1968,3.5931326802796093e-09,3.1439910674890825e-09
1969,5.450109252791435e-09,2.2708788183223305e-09
1970,6.438214850135182e-09,2.7592350626548523e-09
1971,3.083038491169532e-09,8.221435976452085e-09
1972,5.130146973897354e-09,1.0260293725750103e-09
1973,1.102640756478479e-09,6.615844760915479e-09
1974,2.812785782069227e-09,3.3753431161187564e-09
1975,5.140332159925265e-09,2.2845920710778955e-09
1976,4.570821499072508e-09,6.2848797277581525e-09
1977,7.052138428775834e-09,1.7630346071939584e-09
